Ukrainian	Upper Sorbian	probability
e	-	1.0
kʲ	k	1.0
mʲ	mʲ	1.0
n	n	1.0
pʲ	pʲ	1.0
sʲ	s	1.0
tʲ	ʧ	1.0
w	β	1.0
z	z	1.0
ʊ	ˈu	1.0
ʍ	-	1.0
ʦʲ	ʦ	1.0
ʧ	ʧ	1.0
ˈu	ˈu	1.0
b	b	0.181
k	kʲ	0.061
r	ʀʲ	0.371
x	xʲ	0.201
ɦ	x	0.321
d	ʤ	0.292
d	d	0.562
m	m	0.652
nʲ	n	0.412
p	p	0.822
rʲ	ʀʲ	0.692
ɔ	ˈɔ	0.442
ɫ	l	0.352
ɫ	w	0.62
ʒ	ʒ	0.662
ˈi	ˈo	0.232
ˈɑ	ˈa	0.352
ˈɪ	ˈi	0.442
i	ɛ	0.493
k	k	0.783
s	s	0.973
ɔ	-	0.13
ʋʲ	ɥ	0.873
ɐ	a	0.514
ɛ	ɔ	0.594
ʋ	w	0.124
ˈɛ	ˈɔ	0.664
d	t	0.145
j	i	0.785
lʲ	l	0.95
t	ʧ	0.175
t	t	0.825
ʋ	β	0.75
ˈɔ	ˈo	0.125
k	-	0.156
ɐ	ˈɛ	0.06
ɐ	ˈa	0.426
ɛ	ˈɛ	0.406
ˈi	ˈɔ	0.216
ˈɔ	ˈe	0.106
ˈɔ	ˈɔ	0.676
ˈɛ	e	0.336
ʋ	ɥ	0.127
ʋʲ	β	0.127
ˈi	ˈɛ	0.107
ˈɑ	a	0.617
ˈɔ	ˈɛ	0.07
i	ˈe	0.338
j	-	0.168
m	mʲ	0.348
nʲ	ɲ	0.588
p	pʲ	0.178
r	ʀ	0.588
rʲ	ʀ	0.308
ɔ	ɔ	0.398
ʒ	ʃ	0.338
ˈɪ	ˈɪ	0.558
b	p	0.819
i	-	0.169
x	x	0.799
ɦ	ɦ	0.679
ˈi	ˈe	0.399
