Eastern Lombard	Occitan	probability
#>	e_#>	1.0
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#_e	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_z	<#_ʤ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʋ	<#_v	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈø	<#_ɥ	1.0
<#_ˈɔ	<#_ˈɔ	1.0
a_#>	ɔ_#>	1.0
a_l	a_l	1.0
a_m	a_m	1.0
a_s	a_s	1.0
b_j	β_l	1.0
d_e	d_ɾ	1.0
e_r	ɾ	1.0
f	ɾ	1.0
f_#>	w_#>	1.0
j_#>	l	1.0
j_ˈa	l_ˈa	1.0
j_ˈø	ˈi	1.0
k	k	1.0
k_#>	k_#>	1.0
l	-	1.0
l_#>	l_#>	1.0
l_a	l_ɔ	1.0
m	m	1.0
m_#>	m_#>	1.0
m_a	m_ɔ	1.0
n_ʤ	n_ʤ	1.0
p_#>	#>	1.0
r_k	r_k	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
t_e	t_ɾ	1.0
t_ˈa	t_ˈa	1.0
u_l	u_l	1.0
w_ˈa	ˈa	1.0
ɡ_w	ɡ	1.0
ɲ_#>	ɲ_#>	1.0
ʋ_r	β_ɾ	1.0
ʧ_#>	ʧ_#>	1.0
ˈa_#>	ˈa_#>	1.0
ˈa_d	ˈa_j	1.0
ˈa_l	ˈa_l	1.0
ˈa_m	ˈa_m	1.0
ˈa_n	ˈa_n	1.0
ˈa_ŋ	ˈa_ŋ	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈe_#>	ˈe_#>	1.0
ˈe_l	ˈi_l	1.0
ˈi_#>	ˈi_#>	1.0
ˈo_n	ˈu_n	1.0
ˈo_r	ˈɔ_r	1.0
ˈu_#>	ˈu_#>	1.0
ˈu_r	ˈu	1.0
ˈy_r	ˈy	1.0
ˈø_ʧ_#>	ˈu_l	1.0
ˈɛ_r	ˈɛ_r	1.0
j	ʎ	0.231
n	-	0.261
ˈø	ˈy	0.471
ˈɛ	j_ˈɛ	0.111
<#	<#_ˈa	0.122
<#	<#_a	0.122
j	l	0.462
s	ʤ	0.2
s	-	0.2
t	ð	0.2
t	-	0.2
ɡ	-	0.2
ˈe	ˈi	0.192
ˈo	ˈu	0.412
<#	<#_k	0.073
d	j_ɾ	0.273
d	ʤ	0.273
e	e	0.423
e	-	0.423
ɲ	ɲ_ɔ	0.333
ɲ	n	0.333
ɲ	ɲ	0.333
ˈu	ˈɔ	0.143
ˈø	ˈɔ	0.353
ˈɛ	ˈe_j	0.083
a	-	0.294
b	β	0.4
j	j	0.154
j	ʤ	0.154
r_#>	r_#>	0.4
s_#>	ʦ_#>	0.4
t_#>	t_#>	0.524
ˈi	ˈi_β	0.074
ˈi	ˈɛ	0.074
ˈo	ˈa_w	0.294
ˈy	ˈu	0.4
ˈɛ	ˈɛ	0.444
<#	<#_v	0.415
d	ð	0.455
i	i	0.5
i	e	0.5
o	-	0.125
o	w	0.25
o	u	0.625
r	r	0.25
z	z	0.5
z	-	0.5
ŋ	-	0.5
ŋ	ŋ	0.5
ˈa	ˈa_j	0.065
ˈa	ˈa	0.935
ˈɔ	ˈu	0.125
ˈɔ	ˈa_w	0.125
ˈɔ	ɥ_ˈɛ	0.25
ˈɔ	ˈɔ	0.5
a	a_β	0.176
b	-	0.6
r	ɾ	0.636
r_#>	e_#>	0.6
s	s	0.6
s_#>	s_#>	0.6
t	t	0.6
t_#>	n_#>	0.286
ʤ	ʎ	0.286
ʤ	j	0.286
ʧ	s	0.286
ʧ	ˈɛ_l	0.286
ˈi	ˈe	0.296
ˈi	ˈi	0.556
ˈo	w	0.176
ˈy	ˈy	0.6
ˈø	ɥ_ˈɔ	0.176
ˈɛ	-	0.056
ˈɛ	ˈe	0.306
e	ˈe	0.077
e	ʦ	0.077
ˈu	ˈu	0.857
<#	<#_e	0.268
r	-	0.068
ɡ	ɣ	0.8
ˈe	ˈɛ	0.538
ˈo	ˈy	0.118
a	a	0.529
n	n	0.739
t_#>	ʧ_#>	0.19
ʤ	ɡ_l	0.429
ʧ	l	0.429
ˈe	ˈe	0.269
