Old Frisian	Bavarian	probability
θ	d̥	1.0
ˈi̯uː	ˈai̯	1.0
ˈe_ɡː	ˈu_ɡ̊	1.0
ˈe_n	ˈi_n	1.0
ˈaː_n	ˈeː	1.0
ʦ	kʰ	1.0
ʣ	ˈɒː_ŋ	1.0
ɣ̥	ɡ̊	1.0
ɡ_ə	a	1.0
ə_r	ɐ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	d̥	1.0
z	s	1.0
x	x	1.0
w	ʋ	1.0
tː	ʦ	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
r_ə	ɐ	1.0
r_d	ɐ_d̥	1.0
pː	b̥͡v̥	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	-	1.0
l_d	j_d̥	1.0
j_ə	a	1.0
iː_n	eː	1.0
i	-	1.0
h	h	1.0
f_ˈu	f_ˈo	1.0
f	f	1.0
dː	d̥	1.0
d_ə	d̥_n	1.0
d	d̥	1.0
bː	ˈɑː_m	1.0
b	b̥	1.0
n	n	0.824
ˈi̯aː	ˈiɐ̯	0.797
ˈiː	ˈai̯	0.794
ˈuː	ˈau̯	0.765
k	ɡ̊	0.73
ˈi	ˈi	0.688
ɣ	ŋ	0.686
ˈu	ˈu	0.657
ˈɛː	ˈoɐ̯	0.654
r	ɐ	0.638
k_ə	x	0.635
ˈoː	ˈuɐ̯	0.621
l	l	0.621
p	fː	0.615
j	-	0.588
ə	a	0.574
v	m	0.553
s	ʃ	0.513
s	s	0.487
ˈo	ˈu	0.486
ˈa	ˈo	0.465
ˈe	ˈe	0.45
v	-	0.447
t_ə	sː	0.436
t	s	0.42
j	ɡ̊	0.412
ˈɔː	ˈo	0.401
ˈeː	ˈoː	0.399
t_ə	s_n	0.398
p	b̥͡v̥	0.385
l	j	0.379
t	ʦ	0.371
k_ə	ç	0.365
r	r	0.362
ˈeː	-	0.354
ɣ	ɡ̊	0.314
ˈaː	ˈaː	0.31
ˈo	ˈo	0.303
ˈaː	-	0.291
k	x	0.27
ˈɛː	ˈeː	0.241
ˈuː	-	0.235
ˈu	-	0.232
ˈaː	ˈou̯	0.23
ˈoː	-	0.224
ˈa	ˈɒː	0.216
ˈo	ˈi	0.211
ə	n	0.21
ˈa	ˈɑ	0.209
t	d̥	0.209
ˈiː	-	0.206
ˈi̯aː	-	0.203
ˈi	-	0.177
n	-	0.176
ˈaː	ˈoɐ̯	0.169
t_ə	s	0.166
ˈeː	ˈe	0.161
ˈoː	ˈɑ_n	0.155
ˈɔː	ˈɒ	0.15
ˈɔː	ˈoː	0.15
ˈɔː	-	0.15
ˈe	-	0.15
ˈɔː	ˈu	0.148
ˈe	ˈeː	0.139
ə	-	0.115
ˈu	ˈo	0.112
ˈa	ˈɑː	0.109
ˈɛː	-	0.105
ˈeː	ˈuɐ̯	0.086
ˈe	ˈɒː	0.08
ˈi	ˈu	0.068
ˈi	ˈiː	0.068
ˈe	ˈɒ	0.066
ə	ə	0.066
ˈe	ˈɛ	0.064
ˈe	ˈi	0.051
