Logudorese	Megleno-Romanian	probability
f	f	1.0
nː	n	1.0
o	u	1.0
p	p	1.0
rː	r	1.0
sː	-	1.0
ŭ	-	1.0
ð	t	1.0
ŋ	ŋ	1.0
ɖː	-	1.0
ʣ	ʎ	1.0
k	ʧ	0.141
k	k	0.661
s	ʃ	0.351
ɣ	ʦ	0.151
ˈe	ˈe	0.181
a	ə	0.882
d	d	0.792
e	-	0.192
n	-	0.172
u	u	0.442
ˈu	ˈo	0.2
l	l	0.523
r	l	0.053
r	r	0.773
z	s	0.113
ˈe	e̯ˈa	0.103
ˈi	ˈe	0.233
b	-	0.094
i	i	0.424
ɡ	ɡ	0.474
ˈa	ˈɔ_j	0.104
ˈe	i	0.084
ˈo	o̯ˈa	0.334
ˈo	ˈo	0.34
j	j	0.345
j	-	0.655
m	-	0.065
m	m	0.935
t	t	0.545
u	ə	0.165
β	-	0.135
β	p	0.865
t	ʦ	0.136
ˈa	ˈɔ	0.186
ˈe	ˈa	0.256
ˈo	ˈu	0.326
i	ˈi	0.187
l	r	0.427
r	ʎ	0.087
r	-	0.087
z	-	0.887
b	b	0.28
d	z	0.208
e	i	0.728
k	ʦ	0.198
n	n	0.828
u	-	0.348
ɡ	z	0.218
ɡ	-	0.308
ˈa	ˈa	0.68
ˈu	ˈu	0.8
a	-	0.069
b	v	0.579
i	-	0.389
s	s	0.649
t	p_t	0.319
ɣ	k	0.849
ˈe	ˈi	0.329
ˈi	e̯ˈa	0.359
ˈi	ˈi	0.409
