Spanish	Western Lombard	probability
d	d	1.0
f	f	1.0
i	ĩ	1.0
p	p	1.0
r	r	1.0
ŋ	ˈãː	1.0
ɟ͡ʝ	ʧ	1.0
ʝ	l	1.0
a	a	0.901
e	i	0.101
l	l	0.931
n	ˈũː	0.121
w	-	0.31
ð	d	0.801
ɾ	r	0.631
ˈa	ˈa	0.711
ˈe	-	0.111
m	-	0.152
o	u	0.392
x	j	0.152
ɲ	ɲ	0.822
ʧ	t	0.2
ˈe	ˈi	0.062
ˈe	ˈa	0.072
ˈo	ˈyː	0.162
ˈu	ˈy	0.552
e	e	0.43
ɡ	ɡ	0.793
ˈo	ˈø	0.133
β	-	0.293
β	ʋ	0.613
b	b	0.364
j	-	0.434
n	-	0.104
t	ʦ	0.054
ˈa	ˈaː	0.194
ˈe	ˈe	0.234
ˈi	ˈi	0.54
ˈu	ˈyː	0.094
s	s	0.975
ɣ	-	0.155
ɣ	ɡ	0.845
ʧ	<#_f	0.225
ˈa	-	0.095
ˈi	ˈa	0.085
b	ʋ	0.636
j	j	0.566
n	n	0.676
ˈu	ˈũː	0.116
β	b	0.06
θ	ʦ	0.066
θ	ʃ	0.176
a	-	0.087
e	-	0.237
t	t	0.917
ɡ	k	0.207
ɾ	-	0.357
ˈo	ˈu	0.507
θ	ʧ	0.287
θ	s	0.317
k	k	0.968
m	m	0.848
o	-	0.608
x	ʤ	0.848
ɲ	n	0.178
ˈe	ˈe_j	0.098
ˈe	ˈɛ	0.18
ˈi	ˈĩː	0.118
ˈi	ˈɛ	0.158
ˈo	ˈɔ	0.158
ˈu	ˈu	0.238
e	a	0.189
l	-	0.069
n	ɲ	0.099
w	w	0.69
ð	t	0.199
ʧ	ʧ	0.549
ˈe	ˈeː	0.159
ˈi	f_ˈi	0.099
θ	z	0.119
