Icelandic	Icelandic	probability
θ	d	1.0
ˈɪ_n	ˈɪ_n	1.0
ˈɛi̯	ˈeː	1.0
ˈɔː	ˈoː	1.0
ˈɑu̯	ˈɑ	1.0
ˈœːy̯	ˈoː	1.0
ˈœː	-	1.0
ˈu	ˈɔ	1.0
ˈou̯	-	1.0
ˈeːi̯	-	1.0
ˈaːu̯	-	1.0
ˈaː_ð	ˈɑ	1.0
ˈai̯	-	1.0
ʰt͡n̥	t	1.0
ʰp	p	1.0
ʰc	k	1.0
ʏ_r̥_#>	#>	1.0
ʏ_r̥	d̥	1.0
ʏ	ə	1.0
ɲ	ŋ	1.0
ɣ_a_#>	χ_#>	1.0
ɣ	χ	1.0
ɡ̊ː	χ	1.0
ɡ̊_ʏ	ə	1.0
ɡ̊_a_#>	#>	1.0
ɟ̊ː	-	1.0
ɟ̊	χ	1.0
ɛ	ə	1.0
ɑu̯	ɪ	1.0
ŋ_ɡ̊	ŋ	1.0
ç	ɦ	1.0
v_ʏ	v̥	1.0
t͡l̥	ɫ	1.0
t	t	1.0
sː	-	1.0
s_k	s	1.0
s_j	z	1.0
s_#>	z̥_#>	1.0
r̥_#>	#>	1.0
r_ð	ɾ_d̥	1.0
pʰ	p	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l̥	ɫ	1.0
kʰ_v	ʋ	1.0
kʰ	k	1.0
k_#>	k_#>	1.0
j_ˈɛː	ˈɛi̯	1.0
j_ˈuː	ˈi	1.0
i	ˈœy̯_k	1.0
h	ɦ	1.0
f_#>	v̥_#>	1.0
f	v	1.0
d̥_ʏ	d̥	1.0
cʰ	k	1.0
c	χ	1.0
b̥	b	1.0
aːu̯	i	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ɡ̊	<#_χ	1.0
<#_tʰ	<#_t	1.0
<#_r̥	<#_ɾ	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
l	ɫ	0.923
r	ɾ	0.875
r̥	ɾ	0.826
ˈoːu̯	ˈu	0.818
ɪ	-	0.818
d̥	d	0.818
t͡n̥	n	0.8
ɪ_r̥	ə_ɾ	0.778
a	ə_n	0.763
ʰt	t	0.75
v	ʋ	0.75
nː	n	0.75
k	k	0.714
ˈʏ	ˈɔ	0.692
ˈuː	ˈœy̯	0.692
ˈʏː	-	0.667
ˈɪː	ˈeː	0.667
ˈi	ˈɪ	0.667
ŋ	ŋ	0.667
j_ˈoːu̯	ˈi	0.667
ˈɑːu̯	ˈaː	0.625
ˈaː	ˈɑ	0.625
<#	<#_ʋ	0.625
#>	n_#>	0.615
ʰk	k	0.6
ɡ̊	χ_ə	0.6
n̥	n	0.6
ˈaːi̯	ˈu	0.571
s	z	0.556
ð	d̥	0.545
ˈiː	ˈɛi̯	0.526
ˈɪ	ˈɪ	0.5
ˈɛːi̯	ˈeː	0.5
ˈɔu̯	χ	0.5
ˈɔu̯	-	0.5
ˈɔ	ˈɔ	0.5
ˈɔ	ˈoː	0.5
ˈœ	ˈɑ	0.5
ˈœ	-	0.5
ˈau̯	ˈɛ	0.5
ˈau̯	-	0.5
ˈa	ˈɑ	0.467
ˈɛ	ˈɛ	0.444
s	s	0.444
ˈaːi̯	-	0.429
ʰk	ŋ_k	0.4
ɡ̊	χ	0.4
n̥	k_n	0.4
ˈɑːu̯	-	0.375
ˈaː	ˈaː	0.375
<#	<#_j	0.375
ð	d	0.364
ˈʏː	ˈoː	0.333
ˈɪː	ˈɪ	0.333
ˈɪ	ˈʏ	0.333
ˈi	-	0.333
ŋ	n	0.333
j_ˈoːu̯	ˈeː	0.333
ˈiː	-	0.316
ˈɛːi̯	ˈoː	0.3
ˈɛː	ˈeː	0.3
k	χ	0.286
ˈɛ	-	0.278
ʰt	χ_t	0.25
nː	n_d	0.25
j	ˈi	0.25
j	ˈeː	0.25
#>	d̥_#>	0.231
ɪ_r̥	ɾ	0.222
ˈɛːi̯	-	0.2
ˈɛː	ˈɛ	0.2
ˈɛː	ˈi	0.2
ˈɛː	-	0.2
ˈa	ˈɛ	0.2
ˈa	-	0.2
t͡n̥	-	0.2
ˈoːu̯	-	0.182
ɪ	ɾ	0.182
d̥	d̥	0.182
ˈɪ	-	0.167
ˈɛ	ˈɑ	0.167
v	v	0.167
ˈiː	ˈi	0.158
ˈʏ	ˈʏ	0.154
ˈʏ	ˈɑu̯	0.154
ˈuː	χ_ə	0.154
ˈuː	-	0.154
#>	z̥_#>	0.154
j	ˈɛ	0.15
j	ə	0.15
ˈa	ˈaː	0.133
a	n	0.132
ˈɛ	χ	0.111
a	ə	0.105
ˈɛː	ˈøː	0.1
j	ˈɪ	0.1
j	-	0.1
ð	ɾ	0.091
r̥	χ	0.087
r̥	w	0.087
v	-	0.083
l	-	0.077
r	ɾ_ə	0.062
r	-	0.062
