Dutch	Dutch	probability
χ_ə	ɣ_j	1.0
ˈɪ_n	ˈiː_n	1.0
ˈɔ_ɾ	ˈɔː_r	1.0
ˈøː	ˈoː	1.0
ˈyː	j_ˈuː	1.0
ˈu_t	ˈɛɪ̯_t	1.0
ˈaː_ɾ	ˈɛɪ̯	1.0
ˈaː_t	ˈɔː_t	1.0
ʋ_ˈeː	v_ˈiː	1.0
ʋ	v	1.0
ɫ_#>	l_ə_#>	1.0
ɫ	l	1.0
ɦ	h	1.0
ə_ɾ	r	1.0
ə_ɫ	ə_l	1.0
z̥_#>	s_#>	1.0
z̥	z	1.0
w	-	1.0
v̥_#>	f_#>	1.0
t	t	1.0
s_χ	s_k	1.0
p	p	1.0
n_d	n	1.0
n_#>	#>	1.0
m_ˈɛ	m_ˈɔː	1.0
m	m	1.0
j	j	1.0
i	i	1.0
d̥	d	1.0
d_ˈoː	d_ˈoː	1.0
d_ɾ	d_r	1.0
d	d	1.0
b	b	1.0
<#_χ	<#_j	1.0
<#_ɾ	<#_r	1.0
<#_ɫ	<#_l	1.0
<#_n	<#_n	1.0
k	k	0.906
z	s	0.893
ə	ə	0.885
ə_n	ə	0.882
ɾ	r	0.863
ŋ	ŋ	0.846
v	f	0.828
n	n	0.796
<#_d	<#_t	0.778
ˈœy̯	ˈuː	0.75
s	s	0.708
ˈɛi̯	ˈi	0.692
ˈʏ	ˈɛː	0.667
ˈu	ˈoːu̯	0.667
ˈɪ	ˈɪ	0.65
v̥	v_ə	0.6
ˈeː	ˈeː	0.565
χ	x	0.548
ˈɔ	ˈʊ	0.5
ˈɑu̯	ˈoː_l	0.5
ˈɑu̯	l	0.5
ˈoː_ɾ	ˈoːu̯_d	0.5
ˈoː_ɾ	ˈoːu̯	0.5
ˈi	j_ˈoː	0.5
ˈoː	ˈoː	0.462
χ	ɣ	0.452
v̥	x	0.4
ˈɛ	ˈɛ	0.353
ˈʏ	-	0.333
ˈu	ˈɛɪ̯	0.333
#>	n_#>	0.333
ˈɛi̯	ˈiː	0.308
ˈoː	ˈuː	0.308
ˈaː	ˈɛɪ̯	0.238
ˈaː	ˈɔː	0.238
ˈaː	-	0.238
ˈɛ	-	0.235
ˈi	ˈɛɪ̯	0.222
<#_d	<#	0.222
#>	x_#>	0.222
#>	s_#>	0.222
#>	d_#>	0.222
s	s_k	0.208
ˈɔ	ˈɔ	0.2
ˈɔ	-	0.2
ˈɑ	ˈaː	0.185
ˈɛ	ˈa	0.176
ˈeː	ˈoː	0.174
ˈœy̯	-	0.167
ˈi	-	0.167
ŋ	-	0.154
ˈɪ	ˈiː	0.15
ˈɑ	ˈɔː	0.148
ˈɑ	ˈoːu̯	0.148
ˈɑ	-	0.148
ˈaː	ˈoː	0.143
ˈaː	ˈiː	0.143
ˈɛ	ˈɛː	0.118
ˈɛ	ˈiː	0.118
ə_n	j_ə	0.118
ˈoː	ˈeː	0.115
ə	ɪ	0.115
ˈɑ	ˈoː	0.111
ˈɑ	ˈa	0.111
ˈi	ˈyː	0.111
z	z	0.107
v	-	0.103
ˈɪ	ˈi	0.1
ˈɪ	j_ˈʊ	0.1
ˈɔ	ˈoːu̯	0.1
k	s	0.094
ˈeː	ˈaː	0.087
ˈeː	-	0.087
ˈœy̯	ˈøː	0.083
s	k	0.083
n	ə	0.082
n	n_ə	0.082
ˈoː	-	0.077
ˈɑ	ˈɛː	0.074
ˈɑ	ˈɛ	0.074
v	ɣ	0.069
ɾ	-	0.059
