Franco-Provençal	Venetian	probability
ˈɛ_t	ˈe_k	1.0
ˈɔ	ˈo	1.0
ˈɑː	ˈa	1.0
ˈy	ˈo_r	1.0
ˈĩ	ˈi_ŋ	1.0
ˈe_n	ˈi_n	1.0
ˈe_l	ˈɛ_o	1.0
ˈaː	ˈa	1.0
ʦ	s	1.0
ʁ_ə	e_r	1.0
ʁ_o	r_o	1.0
ɲ	ɲ	1.0
ɡ_ʎ	ʤ	1.0
ɡ	ɡ	1.0
ɛ̃	e_ŋ	1.0
ɛː	a	1.0
ɛ	e	1.0
ɔ	o	1.0
ɑ̃	a_ŋ	1.0
ɑː	a_s	1.0
ð_ə	r	1.0
z	z	1.0
y	r	1.0
w_ˈɛ̃	ˈu_ɲ	1.0
w_ˈɛː	ˈo	1.0
w_ˈe	ˈɔ	1.0
u	o	1.0
s_ə	s_o	1.0
p	p	1.0
m	m	1.0
l_a	a	1.0
j_ˈɔ̃	ˈu_n	1.0
j_ˈe	ˈa	1.0
b	b	1.0
a	a	0.982
k	k	0.925
v	v	0.911
t	t	0.901
ˈa	ˈa	0.889
f	f	0.879
s	s	0.865
ˈɔ̃	ˈo_ŋ	0.848
d	d	0.794
ʒ	-	0.787
ˈi	ˈi	0.75
n	n	0.737
ˈɑ̃	ˈa_ŋ	0.704
o	o	0.688
ð	r	0.675
i	a	0.667
ʁ	r	0.657
ˈo	ˈo	0.654
e	s	0.642
ˈɛː	ˈe	0.634
ʃ	k	0.581
ˈoː	ˈɔ	0.574
ˈu	ˈɔ	0.545
ə	a	0.533
j	j	0.526
ʎ	ʧ	0.512
ˈɛ̃	ˈe_ŋ	0.5
ˈu	ˈu	0.455
ˈɛ	ˈe	0.432
ˈø	ˈɔ	0.41
w	ˈo	0.388
e	-	0.358
ˈɛ	ˈɛ	0.355
ʎ	ʤ	0.35
ə	e	0.348
l	ɰ	0.348
ˈo	ˈu	0.346
ˈø	o	0.335
i	i	0.333
l	l	0.32
ˈɑ̃	ˈa	0.296
w	ˈɔ	0.284
ˈe	ˈɛ	0.268
ˈø	-	0.255
w	-	0.229
ˈɛː	ˈɛ	0.227
ˈɛ	-	0.213
ʒ	z	0.213
l	j	0.21
j	-	0.206
d	-	0.206
ˈe	ˈi	0.204
ˈoː	-	0.19
o	e	0.181
ˈe	ˈe	0.172
ð	z	0.171
ˈɛ̃	ˈa_ŋ	0.167
ˈɛ̃	ŋ_t	0.167
ˈɛ̃	ŋ	0.167
n	e_n	0.157
ˈe	ˈa	0.155
ð	-	0.154
ˈɔ̃	ˈo	0.152
ˈɛː	ˈe_d	0.139
ʎ	j	0.138
s	-	0.135
o	-	0.131
ˈi	-	0.126
ˈi	ˈe	0.124
ˈoː	ˈɔ_s	0.122
ə	e_r	0.119
ʃ	s	0.118
ˈoː	ˈa_l	0.114
j	ˈa	0.112
ʃ	k_ˈa	0.111
n	ɲ	0.106
j	ˈɛ	0.106
t	s	0.099
ʁ	r_o	0.098
w	w	0.098
ʃ	z_e	0.096
ʃ	-	0.094
v	-	0.089
ʁ	a_r	0.085
ˈe	r	0.076
k	ʧ	0.075
l	o	0.07
f	-	0.07
ˈe	o	0.065
ˈe	ˈɛ_s	0.061
ˈa	ˈa_t	0.056
ˈa	ɡ_o	0.056
ʁ	-	0.053
l	-	0.052
j	e	0.051
f	v_e	0.051
