Bellunese	Bellunese	probability
ˈɛ_r	ˈɛ_rː	1.0
ˈɔ	ˈɔ	1.0
ˈu	ˈu	1.0
ˈo_ŋ	ˈu_ŋ	1.0
ˈe_ŋ	ˈɛ_n	1.0
ˈa_k	ˈa_kː	1.0
ˈa	ˈa	1.0
ʤ	ɡ_j	1.0
ɲ	ɲː	1.0
ŋ_#>	n_o_#>	1.0
w	w	1.0
v_ˈe	v_e	1.0
v_r	p_r	1.0
u	-	1.0
t_#>	t_e_#>	1.0
s_#>	o_#>	1.0
r_ˈe	r_ˈe	1.0
r_o	r_o	1.0
p	p	1.0
o_r	o_r	1.0
o_d	o_t	1.0
j_ˈe	ˈɛ	1.0
i	i	1.0
e_ɡ	i_k	1.0
e_r	e_r	1.0
b	b	1.0
a_v	a_p	1.0
a_d	a_t	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#	<#_a	1.0
a	a	0.958
k	k	0.947
m	m	0.92
f	f	0.9
r	r	0.898
ˈi	ˈi	0.889
ð	ʤ	0.889
v	v	0.875
n	n	0.865
ˈɛ	ˈɛ	0.857
d	d	0.857
j	j	0.765
ˈe	ˈe	0.759
s	s	0.73
ʧ	kː	0.714
o	o	0.711
l	l	0.689
ɡ	ɡ	0.684
ŋ	n	0.667
θ	ʧ	0.632
ˈo	ˈo	0.629
#>	e_#>	0.562
t	t	0.515
e	e	0.464
#>	o_#>	0.438
t	tː	0.394
z	ʧ	0.385
e	i	0.357
ɡ	k	0.316
ʧ	k_j	0.286
l	lː	0.267
ˈo	w_ˈɔ	0.257
ŋ	ŋ	0.238
j	ʎː	0.235
z	ʤ	0.231
z	-	0.231
θ	ʧː	0.211
s	sː	0.189
ˈe	ˈɛ	0.172
θ	ʦ	0.158
o	e	0.156
z	z	0.154
ˈɛ	-	0.143
d	t	0.143
v	-	0.125
ˈo	ˈɔ	0.114
ˈi	-	0.111
ð	ʣː	0.111
e	r	0.107
f	-	0.1
ŋ	m_o	0.095
o	j_o	0.089
s	ʃː	0.081
n	nː	0.081
m	mː	0.08
e	-	0.071
ˈe	ˈi	0.069
t	d	0.061
n	-	0.054
k	kː	0.053
