Gothic	Gothic	probability
θ_u	θ	1.0
θ_iː	d	1.0
ˈɔː_s	ˈi	1.0
ˈɔ_r	ˈɝ	1.0
ˈiː_s	ˈi	1.0
ˈiː	ˈaɪ̯	1.0
ˈi_ɡ	ˈeɪ̯	1.0
ˈa_h	ˈeɪ̯	1.0
ɣ_a	ˈaɪ̯	1.0
ɡʷː	ˈaʊ̯	1.0
ɡʷ	-	1.0
ɡ_l	ɫ	1.0
ɡ	-	1.0
ɔː	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	-	1.0
x_s_#>	#>	1.0
u	-	1.0
t_a	ʔ	1.0
s_ˈi	s_ˈɛ	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
p	p	1.0
nː	-	1.0
m	m	1.0
lː	ɫ	1.0
l_b	f	1.0
iː	-	1.0
i	-	1.0
e	-	1.0
d	d	1.0
b	b	1.0
aː	-	1.0
a_r	ɚ	1.0
<#_θ	<#_θ	1.0
<#_ˈu	<#	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_tʰ	1.0
<#_s	<#_s	1.0
<#_r	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_h	<#	1.0
<#_d	<#_d	1.0
#>	d_#>	1.0
a	-	0.875
f	f	0.842
oː	-	0.833
w	w	0.81
l	ɫ	0.75
ˈɛ	-	0.714
k	k	0.714
h	h	0.708
ˈɛː	ˈoʊ̯	0.7
ˈɔː	-	0.7
β	v	0.667
ˈuː	ˈaʊ̯	0.667
r	ɹ	0.64
θ	d	0.625
ˈiu̯	ˈi	0.625
ˈɔ	ˈɛ	0.6
s	s	0.6
ˈi	ˈɪ	0.577
ˈeː	ˈi	0.571
j	-	0.571
n	n	0.564
t	ʔ	0.526
ˈoː	-	0.5
ˈeː	-	0.429
j	j	0.429
ˈɔ	ˈɔ	0.4
s	-	0.4
n	-	0.4
ˈiu̯	-	0.375
ˈu	ˈʌ	0.353
β	-	0.333
ˈuː	-	0.333
ˈɛː	-	0.3
ˈɔː	ˈi	0.3
ˈu	-	0.294
ˈɛ	ˈɑ	0.286
k	-	0.286
r	ɚ	0.28
ˈoː	ˈʌ	0.25
ˈoː	ˈʊ	0.25
l	l	0.25
t	t	0.211
ˈi	ˈaɪ̯	0.192
w	-	0.19
θ	θ	0.188
θ	ð	0.188
ˈu	ˈʊ	0.176
ˈu	ˈaʊ̯	0.176
ˈa	ˈɛ	0.172
ˈa	ˈɑ	0.172
oː	ɚ	0.167
t	ɾ	0.158
f	v	0.158
ˈi	ˈi	0.154
ˈa	ˈɛə̯	0.138
ˈa	ˈæ	0.138
ˈa	ˈeɪ̯	0.138
h	-	0.125
a	ɚ	0.125
t	-	0.105
ˈa	-	0.103
h	ˈʌɪ̯	0.083
h	ˈʌ	0.083
r	ˈɔ_ɹ	0.08
ˈi	ˈɛ	0.077
ˈa	ˈoʊ̯	0.069
ˈa	ˈi	0.069
