Hessian	Hessian	probability
ˈɛ̃ː	ˈəʊ̯	1.0
ˈɔ_ɐ	ˈɔː	1.0
ˈɑ̃i̯	ˈaɪ̯_n	1.0
ˈɑː_ɣ̊	ˈeɪ̯	1.0
ˈɑː_d̥	ˈɑː_θ	1.0
ˈɑ_x	ˈaɪ̯	1.0
ˈæ_ɐ	ˈɑː	1.0
ˈæ	-	1.0
ˈõː	ˈɐ_n	1.0
ˈoĩ̯	ˈaɪ̯_n	1.0
ˈĩː	ˈiː_n	1.0
ˈeː	ˈiː	1.0
ˈãː	ˈəʊ̯_n	1.0
ˈai̯_#>	ˈiː_#>	1.0
ˈa_l	ˈɑː	1.0
ʦ_#>	t_#>	1.0
ʤ̥	k	1.0
ʣ̥	t	1.0
ʒ̊	-	1.0
ʃ_t	t	1.0
ʃ_d̥	s_t	1.0
ʃ_#>	#>	1.0
ʀ_ˈai̯	ɜː	1.0
ʀ	ɹ	1.0
ɡ̊_ə	k	1.0
ɛː	ˈiː_n	1.0
ə_#>	#>	1.0
ə	n	1.0
ɑ	-	1.0
ŋ	ŋ	1.0
z̥	t	1.0
v̥	p	1.0
v_ˈɔ	w	1.0
v_ə	v	1.0
pʰ	pʰ	1.0
p	b	1.0
oː	ˈe	1.0
n_#>	#>	1.0
n	n	1.0
m	m	1.0
l_ˈiː	l	1.0
k_n	n	1.0
j_ə_#>	ˈaɪ̯_#>	1.0
i	ɪ	1.0
h	h	1.0
b̥_#>	f_#>	1.0
b̥	b	1.0
f	f	0.92
v	w	0.833
ɡ̊	ɡ	0.778
æ̆	ə	0.773
ˈiː	ˈiː	0.75
f_#>	p_#>	0.75
s	s	0.732
kʰ	kʰ	0.727
ˈai̯	ˈaɪ̯	0.714
ʦ	tʰ	0.714
ʃ	ʃ	0.714
ˈoi̯	-	0.667
ˈi	ˈɪ	0.625
ˈu	ˈɐ	0.6
d̥	d	0.6
ˈaː	ˈiː	0.583
ˈe	ˈe	0.571
ˈau̯	ˈaʊ̯	0.545
l	l	0.525
ˈɛː	ˈeɪ̯	0.5
ˈɛː	ˈe	0.5
ˈɑ	ˈæ	0.5
ˈæː	ˈɛ	0.5
ˈæː	-	0.5
ˈoː	-	0.5
ɣ̊	k	0.5
ɣ̊	-	0.5
#>	ə_#>	0.5
#>	f_#>	0.5
l	ɫ	0.475
ɐ	ˈɜː	0.455
ˈe	-	0.429
x	k	0.429
ˈaː	ˈəʊ̯	0.417
ˈɛ	ˈe	0.4
ˈu	-	0.4
t	t	0.4
t	d	0.4
k	k	0.4
ˈo	ˈʊ	0.375
ˈo	ˈɐ	0.375
ˈɑː	ˈiː	0.364
ˈuː	ˈaʊ̯	0.333
ˈoi̯	ˈaɪ̯	0.333
ˈɛ	ˈɪ	0.3
ˈɛ	-	0.3
ˈoː	ˈɐ	0.3
k	ʤ	0.3
k	ɡ	0.3
ˈai̯	-	0.286
ʦ	t	0.286
ʃ	s	0.286
x	ˈaɪ̯	0.286
x	-	0.286
ˈɑː	ˈɑː	0.273
ˈau̯	ˈɐ	0.273
kʰ	ʧ	0.273
ˈo	-	0.25
ˈiː	ˈɪ	0.25
ˈi	ˈaɪ̯	0.25
ˈa	ˈeɪ̯	0.25
ˈa	-	0.25
f_#>	#>	0.25
ˈuː	ˈʊ	0.222
ˈuː	ˈɐ	0.222
ˈuː	ˈuː	0.222
ɡ̊	j	0.222
s	t	0.22
ˈoː	ˈe	0.2
t	θ	0.2
d̥	θ	0.2
ˈɑː	ˈɛ	0.182
ˈɑː	-	0.182
ˈau̯	-	0.182
ɐ	ˈɪ_ə	0.182
ɐ	ˈɔː	0.182
ɐ	ə	0.182
ˈɑ	ˈɒ	0.167
ˈɑ	ˈeɪ̯	0.167
ˈɑ	-	0.167
ˈa	ˈɔː	0.167
ˈa	ˈɑː	0.167
ˈa	ˈæ	0.167
v	v	0.167
æ̆	d_ə	0.136
d̥	ð	0.133
æ̆	-	0.091
f	pʰ	0.08
d̥	t	0.067
ˈi	ˈe	0.062
ˈi	-	0.062
