Galician	Galician	probability
β_ɪ	ɛ	1.0
ˈɑ	ˈa	1.0
ˈu	ˈu	1.0
ˈo_w	ˈa	1.0
ˈo_j	ˈɔ	1.0
ˈe_ɾ	ɛ_ɾ	1.0
ˈe_j	ˈe	1.0
ɾ_β	ɾ_b	1.0
ɾ_ˈe	ɾ_ˈɛ	1.0
ɾ_ɐ	ɾ_a	1.0
ɾ_n	r	1.0
ɾ_m	ɾ_m	1.0
ɾ_#>	ɾ_ɛ_#>	1.0
ɣ_ʊ	k_u	1.0
ɡ	ɡ	1.0
ɑ	a	1.0
ŋ_ɡ	m	1.0
ŋ_k	m	1.0
v	-	1.0
t_ɾ	t	1.0
t	t	1.0
s_#>	z_ɔ̆_#>	1.0
r	r	1.0
p	p	1.0
m	m	1.0
k	k	1.0
j_ʃ	s	1.0
j_#>	ɣ_ɛ_#>	1.0
f	f	1.0
a_ð	a_t	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_ʣ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_k	<#	1.0
<#_e	<#_i	1.0
b	b	0.941
ˈa	ˈa	0.891
ð	t	0.857
d	d	0.857
ɐ	a	0.851
ʊ	u	0.838
ɪ	ɛ	0.75
w	-	0.75
ˈi	ˈi	0.735
#>	ɛ_#>	0.733
l	l	0.7
s	s	0.688
β	β	0.667
u	u	0.667
n	n	0.652
a	a	0.65
ˈɛ	ˈɛ	0.625
ʃ	ɡ	0.625
θ	k	0.615
ɾ	ɾ	0.578
i	i	0.571
ˈɔ	ˈɔ	0.538
ɪ_#>	i_#>	0.5
ɪ_#>	#>	0.5
ɣ	k	0.5
ʧ	p_ɾ	0.429
i	-	0.429
ŋ	n_ɛ	0.421
ˈe	ˈi	0.406
j	j	0.4
j	-	0.4
e	-	0.389
ʃ	s	0.375
<#	<#_a	0.364
ɲ	n	0.357
o	ɔ	0.348
ˈɔ	ˈo	0.346
β	p	0.333
ɟ	ʣ	0.333
ɟ	k_ɾ	0.333
u	-	0.333
e	i	0.333
ˈo	ˈɔ	0.316
ˈo	ˈu	0.316
ŋ	n_u	0.316
ˈe	ˈɛ	0.312
ɣ	-	0.3
ˈɛ	ˈe	0.292
ʧ	k_ɾ	0.286
ʧ	f_ɾ	0.286
ɲ	nː	0.286
ɲ	n_ʣ	0.286
<#	<#_b	0.273
w	ˈa	0.25
a	ˈa	0.25
ˈo	ˈo	0.237
θ	k_ɛ	0.231
ɾ	ɛ_ɾ	0.222
ˈe	ˈe	0.219
o	o	0.217
o	-	0.217
n	nː	0.217
ɣ	ɣ	0.2
j	u	0.2
s	z	0.188
<#	<#_ɡ	0.182
<#	<#_i	0.182
ɪ	u	0.179
ɟ	k	0.167
ɟ	-	0.167
e	ɛ	0.167
ŋ	-	0.158
l	ɖː	0.15
l	-	0.15
ð	ð	0.143
d	-	0.143
#>	u_#>	0.133
o	ˈɔ	0.13
n	ŋ	0.13
ˈi	i	0.118
ˈɔ	ˈu	0.115
e	ˈi	0.111
ŋ	n	0.105
a	-	0.1
ˈi	ɛ	0.088
o	ɾ	0.087
ˈɛ	-	0.083
ˈo	ˈɔ_n	0.079
θ	ʦ	0.077
θ	-	0.077
ɲ	ɲ	0.071
ɪ	i_n	0.071
ɾ	-	0.067
#>	n_ɛ_#>	0.067
#>	a_#>	0.067
ˈa	l_ˈa	0.065
ˈe	-	0.062
s	z_ɛ̆	0.062
s	j_z	0.062
ɐ	u	0.06
ˈi	-	0.059
ʊ	l_u	0.059
ʊ	-	0.059
b	-	0.059
ˈo	ˈu_ɾ	0.053
