Old Frisian	Gothic	probability
θ	θ	1.0
ˈi	ˈi	1.0
ˈe_l	ˈi_l	1.0
ˈa	ˈa	1.0
ʣ	ɣ	1.0
ŋ	ŋ	1.0
ð	θ	1.0
z	s	1.0
w	w	1.0
tː	t	1.0
t	t	1.0
s_t	s_t	1.0
s	s	1.0
pː	p	1.0
p	p	1.0
nː	nː	1.0
n	n	1.0
m	m	1.0
lː	lː	1.0
kː	h_j	1.0
k_ˈo	kʷ	1.0
k	k	1.0
h_w	ʍ	1.0
h	h	1.0
dː	ð_j	1.0
bː	β_aː	1.0
b	b	1.0
f	f	0.97
l	l	0.941
r	r	0.842
ɡ	ɡ	0.84
ˈuː	ˈuː	0.832
ˈiː	ˈiː	0.811
ˈoː	ˈoː	0.802
ˈu	ˈu	0.794
x	h	0.768
ˈɛː	ˈɛː	0.767
e	-	0.766
v	β	0.728
ˈi̯aː	ˈiu̯	0.723
ˈɔː	ˈa	0.667
ˈe	ˈa	0.63
ˈeː	ˈeː	0.621
ɣ	-	0.567
ˈo	ˈɔ	0.561
ˈi̯uː	ˈi	0.534
j	ɡ	0.492
ˈaː	ˈɔː	0.473
ˈi̯uː	-	0.466
ə	a	0.434
ɣ	ɣ	0.433
d	d	0.405
ˈaː	ˈa	0.336
ˈɔː	ˈeː	0.333
ˈi̯aː	-	0.277
j	-	0.277
v	-	0.272
ˈeː	-	0.251
e	e	0.234
ˈɛː	ˈɔː	0.233
x	s	0.232
j	a	0.231
d	θ	0.231
ˈo	ˈu	0.22
ˈo	ˈɔː	0.219
ˈu	-	0.206
ˈe	ˈɛ	0.202
ˈoː	ˈa_n	0.198
d	θ_s	0.192
ˈaː	ˈɔ	0.191
ˈiː	ˈiu̯	0.189
ˈuː	ɡʷː	0.168
ˈe	ˈi	0.168
ɡ	ɡʷ	0.16
r	s	0.151
ə	oː	0.132
ˈeː	s	0.128
d	-	0.118
ə	i	0.108
ə	u	0.096
ə	n	0.092
ə	-	0.061
l	s	0.059
d	t	0.053
