Alsatian	German	probability
b̥	b	0.945
b̥	p	0.057
d̥	t	0.377
d̥	d	0.365
d̥	tʰ	0.234
e	-	0.244
f	f	1.0
h	h	1.0
i	ɪ	0.608
i	-	0.15
i	ə	0.15
j	j	0.484
j	ɡ	0.367
j	k	0.097
k	k	0.863
k	-	0.114
kʰ	kʰ	0.977
kʰ	-	0.038
l	l	1.0
m	m	0.764
m	ɐ_m	0.127
m	m_ə	0.094
n	n	0.937
n	ɐ_n	0.059
p	p	0.244
p͡f	p͡f	0.871
p͡f	p	0.052
s	s	0.593
s	z	0.405
t	t	0.775
t	tʰ	0.147
t	-	0.072
v	b	0.548
v	ɡ	0.415
w	v	1.0
x	x	1.0
ŋ	ŋ	1.0
ə	ɐ	0.378
ə	ə_n	0.359
ə	-	0.19
ə	ə	0.063
ɡ̊	ɡ	0.89
ɡ̊	kʰ	0.109
ʁ	ʁ	0.528
ʁ	-	0.449
ʁ_i	ɐ	1.0
ʃ	ʃ	0.615
ʃ	ç	0.122
ʃ	s	0.079
ʃ	x	0.069
ʃ	ç_ə	0.06
ʋ	v	0.942
ʋ	ə	0.06
ʦ	ʦ	1.0
ˈai̯	ˈɔɪ̯	0.494
ˈaː	ˈaː	1.0
ˈe	ˈɛ	0.786
ˈe	ˈɪ	0.097
ˈe	ˈœ	0.097
ˈei̯	ˈaɪ̯	0.425
ˈei̯	ˈiː	0.322
ˈei̯	ˈɔʏ̯	0.183
ˈeː	ˈeː	0.54
ˈeː	ˈøː	0.303
ˈeː	ˈɛ	0.119
ˈi	ˈɪ	0.663
ˈi	ˈɔʏ̯	0.125
ˈi	ˈʏ	0.065
ˈi	ˈaɪ̯	0.049
ˈi	ˈøː	0.049
ˈiː	ˈaɪ̯	0.359
ˈiː	ˈiː	0.244
ˈiː	ˈyː	0.123
ˈiː	ˈɔʏ̯	0.119
ˈiː	ˈɪ	0.095
ˈiː_ʁ	ˈɔʏ̯	1.0
ˈo	ˈɔ	0.855
ˈo	ˈoː	0.102
ˈo	ˈaʊ̯	0.04
ˈo_ʁ	ˈɔ	1.0
ˈoː	ˈoː	0.669
ˈoː	ˈaː	0.241
ˈoː	ˈɔ	0.08
ˈoː_ʁ	ˈaː	1.0
ˈu	ˈʊ	0.637
ˈu	ˈʏ	0.187
ˈu	ˈɔ	0.077
ˈu	ˈoː	0.058
ˈyː	ˈaʊ̯	1.0
ˈæ	ˈeː	0.618
ˈæ	ˈɛ	0.26
ˈæː	ˈɛː	0.496
ˈæː	ˈeː	0.339
ˈæː	ˈɛ	0.133
ˈø	ˈoː	0.494
ˈøi̯	ˈaʊ̯	0.494
ˈøː	ˈʊ	0.5
ˈøː	ˈuː	0.5
ˈœ	ˈaʊ̯	0.494
ˈɒ	ˈa	0.873
ˈɒ	ˈaː	0.117
ˈɒː	ˈaː	0.85
ˈɒː	ˈa	0.127
ˈɒː_ʁ	ˈa	1.0
ˈɔi̯	ˈaʊ̯	0.244
ˈəi̯	ˈaɪ̯	1.0
ˈɛ	ˈeː	0.326
ˈɛ	ˈɛ	0.161
ˈʊː	ˈuː	0.697
ˈʊː	ˈaʊ̯	0.295
