Alsatian	German	probability
b̥	b	0.974
d̥	t	0.377
d̥	d	0.372
d̥	tʰ	0.251
e	-	1.0
f	f	1.0
h	h	1.0
i	ɪ	0.692
i	-	0.154
i	ə	0.154
j	ɡ	0.476
j	j	0.454
j	k	0.07
k	k	0.932
k	-	0.068
kʰ	kʰ	0.965
l	l	0.96
m	m	0.77
m	ɐ_m	0.139
m	-	0.056
n	n	0.943
n	ɐ_n	0.057
p	p	1.0
p͡f	p͡f	0.581
p͡f	p	0.419
s	s	0.549
s	z	0.434
t	t	0.815
t	tʰ	0.143
v	b	0.569
v	ɡ	0.431
w	v	1.0
x	x	1.0
ŋ	ŋ	1.0
ə	ɐ	0.438
ə	ə	0.395
ə	n	0.164
ɡ̊	ɡ	0.863
ɡ̊	kʰ	0.137
ʁ	ʁ	0.515
ʁ	-	0.485
ʃ	ʃ	0.64
ʃ	ç	0.226
ʃ	t	0.052
ʋ	v	0.969
ʦ	ʦ	1.0
ˈai̯	ˈɔʏ̯	1.0
ˈaː	ˈaː	1.0
ˈe	ˈɛ	0.764
ˈe	ˈœ	0.163
ˈe	ˈɪ	0.073
ˈei̯	ˈaɪ̯	0.457
ˈei̯	ˈiː	0.346
ˈei̯	ˈɔʏ̯	0.197
ˈeː	ˈeː	0.501
ˈeː	ˈøː	0.315
ˈeː	ˈiː	0.116
ˈeː	ˈɛ	0.067
ˈi	ˈɪ	0.671
ˈi	ˈɔʏ̯	0.112
ˈi	ˈʏ	0.086
ˈi	ˈøː	0.066
ˈiː	ˈaɪ̯	0.323
ˈiː	ˈɔʏ̯	0.19
ˈiː	ˈiː	0.181
ˈiː	ˈɪ	0.156
ˈiː	ˈyː	0.151
ˈo	ˈɔ	0.852
ˈo	ˈaʊ̯	0.079
ˈo	ˈoː	0.069
ˈoː	ˈoː	0.728
ˈoː	ˈaː	0.206
ˈoː	ˈɔ	0.066
ˈu	ˈʊ	0.836
ˈu	ˈʏ	0.072
ˈu	ˈoː	0.07
ˈyː	ˈaʊ̯	0.917
ˈyː	ˈʊ	0.083
ˈæ	ˈeː	0.642
ˈæ	ˈɛ	0.358
ˈæː	ˈeː	0.486
ˈæː	ˈɛː	0.461
ˈæː	ˈɛ	0.053
ˈø	ˈoː	1.0
ˈøi̯	ˈaʊ̯	1.0
ˈøː	ˈuː	0.5
ˈøː	ˈʊ	0.5
ˈœ	ˈaʊ̯	1.0
ˈɒ	ˈa	0.856
ˈɒ	ˈaː	0.144
ˈɒː	ˈaː	0.871
ˈɒː	ˈa	0.129
ˈɔi̯	ˈaʊ̯	1.0
ˈəi̯	ˈaɪ̯	1.0
ˈɛ	ˈɛ	0.552
ˈɛ	ˈeː	0.448
ˈʊː	ˈuː	0.657
ˈʊː	ˈaʊ̯	0.343
