Corsican	Western Lombard	probability
ˈɛ_rː	ˈɛ_r	1.0
ˈɛ_r	ˈɛ	1.0
ˈɛ_n	ˈẽ	1.0
ˈɛ_kː	ˈɛ_k	1.0
ˈɔ_n	ˈũ	1.0
ˈu_n	ˈỹ	1.0
ˈo_n	ˈũ	1.0
ˈi_n	ˈĩ	1.0
ˈa_sː	ˈa_s	1.0
ˈa_n	ˈã	1.0
ʧː	s	1.0
ʧ_e	s	1.0
ʧ	-	1.0
ʦː	s	1.0
ʦ	s	1.0
ʤ	-	1.0
ʣ	s	1.0
ʒ	z	1.0
ʎ	j	1.0
ʃː	s	1.0
ʃ	s	1.0
ɲ	ɲ	1.0
ɟ_e	ʧ	1.0
ŋ_k	k	1.0
v_u	f	1.0
v_e	f	1.0
u_t	u_d	1.0
u_n	ũ	1.0
u_l	u_l	1.0
t_ˈe	t_ˈɛ	1.0
t_r	d_e	1.0
sː	s	1.0
s_ˈo	s	1.0
s	s	1.0
o	r	1.0
nː	n	1.0
n_ˈɛ	n_ˈeː	1.0
n	n	1.0
mː	m	1.0
m_ˈɔ	m	1.0
lː	l	1.0
kː	k	1.0
k_r	k_r	1.0
fː	y_f	1.0
f	f	1.0
e_r	r	1.0
dː	ʧ	1.0
d_u	t	1.0
c	ʧ	1.0
bː	b	1.0
b	b	1.0
a_t	a_d	1.0
a_n	ẽ	1.0
a	a	0.986
v	v	0.935
r	r	0.897
t	t	0.886
m	m	0.884
l	l	0.868
tː	t	0.783
p	p	0.775
k	k	0.76
ˈu	ˈyː	0.75
d	d	0.722
w	w	0.714
ŋ	-	0.623
ˈa	ˈɑː	0.62
ɡ	ɡ	0.618
ˈi	ˈiː	0.613
e	e	0.595
j	j	0.59
ɟ	ʒ	0.581
i	e	0.535
ˈe	ˈɛ	0.52
z	z	0.5
z	s	0.5
ɟ	ʤ	0.419
j	-	0.41
u	u	0.396
ɡ	-	0.382
ŋ	k	0.377
ˈɛ	ˈɛ	0.37
ˈɔ	ˈɔ	0.367
ˈa	ˈa	0.318
ˈɛ	ˈeː	0.309
w	-	0.286
i	i	0.284
ˈo	ˈuː	0.273
e	ˈi	0.27
ˈo	ˈøː	0.265
ˈe	ˈeː	0.265
ˈi	-	0.232
p	v	0.225
tː	ʧ	0.217
ˈɔ	ˈu	0.214
ˈe	ˈe	0.214
ˈo	ˈɔ	0.2
i	-	0.181
u	o	0.178
d	-	0.16
ˈi	ˈi	0.155
ˈɔ	ˈøː	0.152
u	y	0.151
k	ɡ	0.149
ˈɛ	-	0.146
ˈo	ˈu	0.138
u	r	0.137
u	l	0.137
ˈu	-	0.136
e	r	0.135
l	-	0.132
ˈɔ	ˈuː	0.126
ˈo	ˈœ	0.123
d	t	0.118
m	-	0.116
t	d	0.114
ˈɔ	-	0.099
k	-	0.09
r	-	0.067
v	-	0.065
ˈa	ˈã	0.063
ˈɛ	ˈiː	0.059
ˈu	ˈy	0.059
ˈɛ	ˈẽ	0.058
ˈɛ	ˈe	0.058
ˈu	ˈi	0.055
