Scots	Scots	probability
θ	d̥	1.0
ˈʌu̯	-	1.0
ˈɛː	ˈeː	1.0
ˈəi̯	ˈai̯	1.0
ˈɑː_n	n	1.0
ˈøː	ˈuɐ̯	1.0
ˈoː	ˈu	1.0
ˈiː_r	ɐ	1.0
ˈe_n	ˈoɐ̯	1.0
ˈaːɪ̯	ˈi	1.0
ˈaɪ̯	-	1.0
ʧ	kʰ	1.0
ʤ	ɡ̊	1.0
ʃ_#>	ʃ_#>	1.0
ʃ	ʃ	1.0
ɪ	i	1.0
ɡ	ɡ̊	1.0
ə_r	a	1.0
ə_#>	#>	1.0
ð	d̥	1.0
ç	x	1.0
z	s	1.0
w	ʋ	1.0
v	m	1.0
tʰ	ʦ	1.0
s_ˈɪ	s_ˈi	1.0
s_t	ʃ_d̥	1.0
r_ˈɛ	r	1.0
r_#>	#>	1.0
pʰ	b̥͡v̥	1.0
p_#>	f_#>	1.0
p	f_a	1.0
m	m	1.0
l_ˈɪ	l	1.0
l_ˈi	l	1.0
kʰ	kʰ	1.0
k_s	ɡ̊_s	1.0
i_n	eɐ̯	1.0
i	-	1.0
h	h	1.0
f	f	1.0
e	ɡ̊	1.0
d_ˈe	d̥	1.0
d_r	d̥_r	1.0
b	b̥	1.0
<#_θ	<#_d̥	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
d	d̥	0.811
ˈʌ	ˈu	0.778
n	n	0.733
l	l	0.69
s	s	0.677
ˈo	ˈo	0.667
f_#>	b̥_#>	0.667
ˈø	-	0.625
ˈu	ˈau̯	0.6
x	x	0.6
ˈɛ	ˈe	0.533
ˈe	ˈoɐ̯	0.5
ˈa	ˈe	0.5
ə	a	0.5
ə	-	0.5
r	ɐ	0.5
k	x	0.5
ŋ	ŋ	0.444
ˈuː	-	0.429
t	s	0.424
ˈɪ	ˈi	0.419
ˈɑː	ˈo	0.4
ˈu	-	0.4
x	ɡ̊	0.4
ˈeː	-	0.385
ˈø	ˈuɐ̯	0.375
k	ɡ̊	0.357
r	r	0.344
ˈo	-	0.333
ŋ	ŋ_ɡ̊	0.333
f_#>	#>	0.333
ˈiː	ˈeː	0.316
l	j	0.31
ˈeː	ˈɒː	0.308
ˈɑː	ˈo_j	0.3
ˈɑː	-	0.3
ˈi	-	0.3
ˈa	ˈɑ	0.3
ˈuː	ˈo_j	0.286
ˈuː	ˈau̯	0.286
ˈe	-	0.286
t	d̥	0.273
ˈɛ	ˈeː	0.267
s	ʃ	0.258
ˈi	ˈiɐ̯	0.25
ˈʌ	ˈe	0.222
ŋ	ŋ_a	0.222
ˈe	ˈɑː	0.214
t	ʦ	0.212
ˈɛ	-	0.2
ˈa	ˈɒː	0.2
ˈɪ	ˈu	0.194
ˈɪ	-	0.194
d	d̥_n	0.189
ˈiː	ˈiɐ̯	0.158
ˈiː	ˈaː	0.158
ˈiː	ˈai̯	0.158
ˈeː	ˈɒː_ŋ	0.154
ˈeː	ˈoɐ̯	0.154
ˈi	ˈaː	0.15
k	-	0.143
ˈiː	ˈiɐ̯_ŋ	0.105
ˈiː	ˈi	0.105
ˈi	ˈuɐ̯	0.1
ˈi	ˈu	0.1
ˈi	ˈou̯	0.1
n	n_a	0.1
n	-	0.1
ˈɪ	ˈuɐ̯	0.097
ˈɪ	ˈiː	0.097
r	a	0.094
t	s_n	0.091
n	ŋ	0.067
s	n_s	0.065
r	d̥	0.062
