Swiss German	North Frisian	probability
χ_ə_#>	k_#>	1.0
χ_#>	k_#>	1.0
ˈøː	ˈiː	1.0
ˈæi̯_#>	ˈiː_nʲ_#>	1.0
ˈæi̯	ˈiː	1.0
ˈæ_l	ˈeː_l	1.0
ˈyː	ˈiː	1.0
ˈyə̯	ˈɛ	1.0
ˈuː_s	ˈyː_s	1.0
ˈuə̯_t	ˈœ_dʲ	1.0
ˈoː_t	ˈyː_dʲ	1.0
ˈoː	ˈuː	1.0
ˈo_r	ˈɔ_r	1.0
ˈiː_sː	ˈi_t	1.0
ˈiə̯	ˈiː	1.0
ˈeː	ˈiː	1.0
ˈau̯	ˈuː	1.0
ʦ_#>	t_#>	1.0
ʦ	t	1.0
ʃ_t	s_t	1.0
ʃ_#>	ʃ_#>	1.0
ɡ̊ː	-	1.0
ɡ̊	j	1.0
ə_#>	ə_#>	1.0
ŋ_#>	nʲ_#>	1.0
tː	d	1.0
sː_ə	d_ə	1.0
sː_#>	tʲ_#>	1.0
s_#>	s_#>	1.0
s	s	1.0
r_ˈy	r	1.0
r_ə_#>	r_#>	1.0
r_#>	r_#>	1.0
r	r	1.0
p͡f	p	1.0
nː	n	1.0
n_i	n_i	1.0
n_d̥	n	1.0
n_#>	n_#>	1.0
m_#>	m_#>	1.0
m	m	1.0
l_ə_#>	l_#>	1.0
k_#>	k_#>	1.0
k	k	1.0
i_ɡ̊	i	1.0
i_#>	#>	1.0
f_ə	p_ə	1.0
d̥	d	1.0
b̥_ə	v_ə	1.0
b̥	-	1.0
<#_χ	<#_k	1.0
<#_ˈɒ	<#	1.0
<#_ʦ	<#_t	1.0
<#_t	<#_d	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_p͡f	<#_p	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_j	<#	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_b̥	<#_b	1.0
#>	ə_#>	1.0
l	l	0.852
<#_ʋ	<#_v	0.85
ɡ̊_#>	#>	0.818
<#_l	<#_l	0.818
<#_ɡ̊	<#_ɡ	0.786
n	n	0.778
d̥_#>	#>	0.778
ˈiː	ˈi	0.75
ˈuː	ˈøː	0.667
t_#>	t_#>	0.667
<#_ʃ	<#_s	0.667
ə	ə	0.64
<#_d̥	<#_t	0.636
χ	x	0.6
ˈuə̯	ˈœ	0.6
ˈu	ˈʊ	0.6
l_#>	l_#>	0.6
b̥_#>	f_#>	0.6
ŋ	ŋ	0.571
ˈy	ˈeː	0.5
ˈy	-	0.5
ʋ	v	0.5
t	t	0.5
sː	z	0.5
sː	tʲ	0.5
ŋ	ˈʊ_ŋ	0.429
χ	k	0.4
ˈuə̯	ˈœi̯_f	0.4
l_#>	ə_l_#>	0.4
b̥_#>	ə_v_#>	0.4
ˈi	ˈa	0.385
t	d	0.375
<#_d̥	<#	0.364
ˈuː	ˈyː	0.333
ˈo	ˈʊ_l	0.333
ˈo	ˈɔː	0.333
ˈo	ˈœ	0.333
t_#>	#>	0.333
f_#>	v_ə_n_#>	0.333
f_#>	v_#>	0.333
f_#>	p_#>	0.333
<#_ʃ	<#_ʃ	0.333
ˈɒː	ˈɛi̯	0.3
ˈɒː	ˈeː	0.3
ˈæ	ˈɛː	0.3
ˈæ	ˈeː	0.3
ˈɒ	ˈɒ	0.263
ˈiː	ˈiː	0.25
ʋ	v_ˈʊ	0.25
ʋ	-	0.25
n	-	0.222
d̥_#>	d_#>	0.222
<#_ɡ̊	<#	0.214
ˈɒ	ˈɒː	0.211
ˈɒ	ˈœ	0.211
ˈɒ	ˈuː	0.211
ˈɒː	ˈɔː	0.2
ˈɒː	ˈɒː	0.2
ˈæ	ˈɛi̯	0.2
ˈæ	j_ˈa	0.2
ɡ̊_#>	ŋ_#>	0.182
<#_l	<#_j	0.182
ə	-	0.16
ˈi	ˈɔː	0.154
ˈi	ˈi	0.154
ˈi	ˈai̯	0.154
ˈi	ʃ	0.154
<#_ʋ	<#	0.15
l	lʲ	0.148
ˈu	ˈyː	0.133
ˈu	ˈa	0.133
ˈu	-	0.133
t	dʲ	0.125
ə	ə_n	0.12
ˈɒ	ˈa	0.105
ə	j	0.08
