Campidanese	Valencian	probability
m	m	1.0
nː	ɲ	1.0
rː	r	1.0
s	s	1.0
sː	s	1.0
ŭ	-	1.0
w	w	1.0
ŋ	ŋ	1.0
ɲː	ɲ	1.0
ʃː	ʃ	1.0
ʒ	-	1.0
ʣ	ʎ	1.0
e	-	0.21
j	ʎ	0.61
t	ð	0.11
ð	ð	0.581
ɣ	-	0.121
ʧ	s	0.951
ˈo	ˈo	0.11
a	a	0.172
e	j	0.192
k	ɣ	0.052
k	k	0.842
ˈe	ˈi	0.062
ˈu	ˈu	0.552
d	-	0.103
ɣ	ɣ	0.343
ɣ	ʤ	0.433
ʤ	-	0.683
β	-	0.103
a	ɞ	0.14
a	ɐ	0.334
e	w	0.184
j	-	0.094
l	l	0.484
o	u	0.744
p	p	0.954
t	t	0.794
u	ʎ	0.24
ɣ	ɡ	0.104
ˈa	ˈa	0.894
ˈe	ˈæ	0.444
ˈe	ˈe	0.494
ˈi	ˈe	0.094
ˈi	ˈi	0.54
b	v	0.635
e	i	0.055
f	n_#>	0.175
f	f	0.825
i	w	0.15
j	r	0.115
n	-	0.275
n	n	0.725
z	s	0.465
z	-	0.535
ˈo	ˈu	0.095
a	ɜ	0.276
k	-	0.106
l	ʎ	0.516
o	-	0.256
r	-	0.086
t	-	0.096
u	ɞ	0.056
u	u	0.106
ˈi	ˈæ	0.366
b	ʤ	0.067
d	d	0.897
i	ɞ	0.227
i	e	0.327
r	r	0.217
r	ɾ	0.577
ɡ	ɣ	0.347
ɡ	ɡ	0.607
ʤ	ʤ	0.317
β	β	0.897
b	b	0.228
j	i	0.078
j	w	0.088
r	l	0.078
u	ɜ	0.18
ˈo	ˈɒ	0.718
ˈu	ˈo	0.448
e	e	0.359
i	-	0.069
i	i	0.069
i	r	0.069
i	ɜ	0.089
u	w	0.159
u	e	0.259
ð	-	0.419
ˈo	u	0.059
