Slovak	Slovak	probability
ʧ	-	1.0
ʒ̊	ŋ_ɡ	1.0
ʒ	ɡʲ	1.0
ʎ	lʲ	1.0
ʊ̯ɔ	aː	1.0
ɲ	-	1.0
ɫ	ɫ	1.0
ɪ̯a	ɪ	1.0
ɦ	ɡ	1.0
ɡ̊	nʲ_iː	1.0
ɟ	dʲ	1.0
z̥	ɛ_ˈ	1.0
uː	-	1.0
t_#>	ɐ_s_#>	1.0
t	t	1.0
r_a	ɐ_r	1.0
p	pʲ	1.0
l̩	uə̯_lʲ	1.0
l_ɛ	̌_lʲ	1.0
l	ɫ	1.0
i_x	ɛɪ̯	1.0
i_#>	ɐ_s_#>	1.0
f	bʲ	1.0
eː	eː_̌	1.0
e	ɛ	1.0
b̥	̌_b	1.0
aː	oː	1.0
<#_ɦ	<#	1.0
<#_ɔ	<#	1.0
<#_t	<#_tʲ	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
ɫ̩	ɫ	0.8
iː	ɐ	0.769
a_#>	ɐ_ˈ_#>	0.727
z	ʑ	0.7
n	n	0.636
c	tʲ_ɪ	0.636
#>	s_#>	0.629
b	b	0.625
x	̌_ɡ	0.6
d	d	0.6
k	k	0.545
m	mʲ	0.538
r	r	0.526
æ	ɛ	0.5
æ	-	0.5
r̩	ɪ_rʲ	0.5
r̩	ɪ	0.5
d̥	̌_d	0.5
d̥	d	0.5
ʋ	vʲ	0.467
m	m	0.462
ʦ	-	0.429
ɔ	ɐ	0.423
ʋ	v	0.4
ɪ̯ɛ	ɪ	0.4
ɪ̯ɛ	-	0.4
x	sʲ	0.4
u	ɐʊ̯	0.4
u	ɐ_ŋ	0.4
d	-	0.4
b	bʲ	0.375
n	-	0.364
i	uː_̂	0.364
s	ʃ	0.316
r	rʲ	0.316
a	-	0.308
z	ʒ	0.3
ʦ	k_tʲ	0.286
ʦ	k	0.286
ɛ	-	0.276
#>	ɐ_s_#>	0.274
k	kʲ	0.273
i	iː	0.273
i	-	0.273
c	ɪ	0.273
a_#>	#>	0.273
s	ɕ	0.263
ɔ	ɪ	0.231
iː	ʊ_ˈ	0.231
a	eː	0.231
s	sʲ	0.211
s	s	0.211
ɫ̩	aʊ̯	0.2
ɪ̯ɛ	ɐɪ̯	0.2
u	ɛʊ̯	0.2
a	ɐ	0.192
k	-	0.182
ɛ	ɛ	0.172
r	rʲ_ɪ	0.158
ɛ	ɪ_ˈ	0.138
ʋ	vʲ_ɪ	0.133
ɔ	æː_̌	0.115
a	oː	0.115
i	æɪ̯	0.091
c	ŋʲ	0.091
ɔ	æː	0.077
ɔ	aː_̌	0.077
ɔ	-	0.077
a	uə̯	0.077
a	oː_̂	0.077
ɛ	æː_̌	0.069
ɛ	uə̯	0.069
ɛ	iə̯_̂	0.069
ɛ	iə̯	0.069
ɛ	aː_̌	0.069
ɛ	aː	0.069
#>	ˈ_#>	0.065
