West Frisian	Gothic	probability
b	b	0.923
d	d	0.626
d	θ	0.258
d	ð	0.116
f	f	1.0
h	h	1.0
j	-	0.572
j	j	0.177
j	ˈeː	0.104
j	ˈi	0.067
j	ˈɔː	0.055
k	k	0.979
l	l	0.919
l	lː	0.062
m	m	0.92
m	-	0.08
n	n	0.784
n	nː	0.11
n	r_n	0.055
p	p	1.0
r	r	0.859
r	-	0.055
s	s	0.914
t	t	0.678
t	θ	0.197
v	w	0.575
v	β	0.267
v	ʍ	0.159
z	s	1.0
ŋ	ŋ	0.828
ŋ	h	0.172
ɕ	s	1.0
ə	a	0.507
ə	-	0.22
ə	oː	0.133
ə	u	0.055
ɡ	ɡ	1.0
ɣ	-	0.5
ɣ	ɡ	0.5
ʋ	w	1.0
ʦ	θ	0.573
ʦ	t	0.427
ˈa	ˈa	0.913
ˈa	ˈɛː	0.087
ˈaː	ˈa	0.629
ˈaː	a	0.147
ˈaː	ˈeː	0.091
ˈaː	ˈɔ	0.091
ˈeː	ˈɛ	0.451
ˈeː	ˈɔː	0.382
ˈeː	ˈɛː	0.101
ˈeː	iː	0.066
ˈi	ˈi	0.544
ˈi	ˈiː	0.357
ˈi	ˈoː	0.099
ˈiə̯	ˈɛː	0.494
ˈiə̯	ˈeː	0.218
ˈiə̯	ˈiu̯	0.162
ˈiə̯	ˈɛ	0.126
ˈiː	ˈi	0.553
ˈiː	ˈiː	0.183
ˈiː	ˈu	0.148
ˈiː	ˈiu̯	0.116
ˈoə̯	ˈeː	0.342
ˈoə̯	ˈɔ	0.298
ˈoə̯	ˈu	0.24
ˈoə̯	ˈɔː	0.078
ˈoː	ˈuː	0.536
ˈoː	ˈoː	0.464
ˈu	ˈu	1.0
ˈuə̯	ˈoː	0.735
ˈuə̯	ˈa	0.093
ˈuə̯	ˈu	0.086
ˈuə̯	ˈɔ	0.086
ˈuː	ˈu	0.346
ˈuː	ˈuː	0.316
ˈuː	ˈiː	0.228
ˈuː	ˈɔː	0.11
ˈyː	ˈuː	0.699
ˈyː	ˈu	0.196
ˈyː	ˈiu̯	0.106
ˈø	ˈeː	0.794
ˈø	w	0.206
ˈøə̯	j	1.0
ˈɔ	ˈu	0.279
ˈɔ	ˈi	0.24
ˈɔ	ˈiu̯	0.187
ˈɔ	ˈɛ	0.095
ˈɔ	ˈuː	0.09
ˈɔ	w	0.054
ˈɔ	ˈɔː	0.054
ˈɔu̯	ˈu	0.607
ˈɔu̯	w	0.393
ˈɔː	ˈa	0.709
ˈɔː	ˈi	0.291
ˈɛ	ˈɛ	0.327
ˈɛ	ˈiː	0.24
ˈɛ	ˈa	0.16
ˈɛ	ˈiu̯	0.158
ˈɛ	ˈɔː	0.059
ˈɛ	ˈi	0.056
ˈɛi̯	ˈi	0.486
ˈɛi̯	ˈɛː	0.217
ˈɛi̯	ˈa	0.197
ˈɛi̯	ˈɛ	0.1
ˈɛː	ˈa	0.7
ˈɛː	ˈɛ	0.3
ˈɪ	ˈi	0.377
ˈɪ	-	0.185
ˈɪ	ˈu	0.095
ˈɪ	ˈa	0.086
ˈɪ	ˈuː	0.081
ˈɪ	ˈɔ	0.063
ˈɪ	ˈiː	0.052
ˈɪə̯	ˈa	0.433
ˈɪə̯	ˈɔː	0.287
ˈɪə̯	ˈiu̯	0.1
ˈɪə̯	ˈɔ	0.09
ˈɪə̯	ˈɛ	0.09
χ	h	0.588
χ	ɣ	0.248
χ	ɡ	0.116
