Asturian	Corsican	probability
β_ɾ	p_r	1.0
ˈi_ɾ	e	1.0
ˈe_β	v	1.0
ˈe_ʎ	lː	1.0
ˈe_ɾ	e	1.0
ˈe_s	sː	1.0
ˈe_r	rː	1.0
ˈa	ˈa	1.0
ʧ	tː	1.0
ʝ_a	a	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_ð	r_d	1.0
ɾ_n	r_n	1.0
ɲ_a	ɲ_u	1.0
ɡ	ɡ	1.0
ɟ͡ʝ	-	1.0
ð	t	1.0
t_e	t_e	1.0
s_u	u	1.0
p	p	1.0
o_s	i	1.0
m_ˈo	lː	1.0
f_e	b	1.0
d	d	1.0
n	n	0.974
a	a	0.965
f	f	0.95
ˈu	ˈu	0.935
u	u	0.903
m	m	0.898
w_ˈe	ˈɔ	0.886
ˈi	ˈi	0.875
ɾ	r	0.84
k	k	0.84
s	s	0.83
ʃ	ɟ	0.792
l	l	0.767
t	t	0.766
ʎ	lː	0.76
e_s	s	0.714
j_ˈe	ˈɛ	0.661
b	v	0.618
w	ˈɔ	0.615
i	i	0.593
θ	-	0.567
ɣ	k	0.553
ˈo	ˈɔ	0.528
ŋ	n	0.521
β	v	0.487
ˈe	ˈɛ	0.487
j	ˈɛ	0.485
ŋ	ŋ	0.479
ɲ	-	0.44
e	e	0.434
θ	ʧ	0.416
ɲ	ɲ	0.412
o	u	0.411
ˈo	ˈo	0.404
w	w	0.385
b	b	0.382
ʝ	-	0.36
j_ˈe	ˈe	0.339
ʝ	c	0.338
ʝ	ʎ	0.302
o	ˈɔ	0.297
e_s	ʃ	0.286
j	-	0.272
ɣ	-	0.248
β	p	0.243
j	ˈe	0.243
ʎ	c	0.24
β	b	0.236
e	i	0.236
t	tː	0.234
ʃ	sː	0.208
i	u	0.204
i	-	0.204
ɣ	ɡ	0.199
o	o	0.183
ˈe	ˈe	0.182
k	kː	0.16
ɲ	nː	0.147
s	z	0.126
w_ˈe	ˈo	0.114
e	a	0.112
o	-	0.109
e	u	0.109
ˈe	-	0.1
l	-	0.086
ɾ	ˈɛ	0.082
l	j	0.078
ˈe	e	0.072
e	ˈɛ	0.072
l	lː_e	0.069
u	-	0.068
ˈu	ˈɔ	0.065
ˈi	ˈi_ʎ	0.058
ˈe	j	0.056
ɾ	e	0.055
m	ʒ	0.051
m	mː	0.051
f	fː	0.05
