Luxembourgish	Middle English	probability
ˈə_ɕ	ˈiː	1.0
ˈɔ	ˈu	1.0
ˈɑʊ̯	ˈuː	1.0
ˈæːʊ̯	ˈuː	1.0
ˈæ	-	1.0
ˈe_ŋ	n	1.0
ʦ	t	1.0
ʑ	w	1.0
ɣ̊	-	1.0
ɡ̊	ɡ	1.0
ə_ɕ	iː	1.0
z̥	z	1.0
z	s	1.0
w	w	1.0
pʰ	p	1.0
p	p	1.0
m	m	1.0
l_ə	ɫ	1.0
j	j	1.0
h	h	1.0
f_ə	p_ə	1.0
e	eː	1.0
d̥	d	1.0
b	b	1.0
n	n	0.888
ə	ə	0.807
ʀ	r	0.799
s	t	0.794
ɡ	ɡ	0.793
kʰ	k	0.773
f	f	0.769
ˈi	ˈeː	0.76
l	l	0.735
t	t	0.704
d	θ	0.7
ˈoː	ˈɛː	0.698
ˈeː	ˈɔː	0.691
ˈe	ˈi	0.668
ˈiə̯	ˈɛ	0.667
ˈæːɪ̯	ˈiː	0.665
v	w	0.662
ˈɛː	ˈɛ	0.612
ŋ	ŋ	0.612
ˈuː	ˈu	0.605
ˈɛ	ˈɛ	0.6
ˈɑɪ̯	ˈiː	0.594
k	ʤ	0.579
ˈo	ˈu	0.551
ʃ	s	0.535
χ	k	0.515
ˈuə̯	ˈi	0.511
ˈɜɪ̯	ˈeː	0.502
ˈuə̯	ˈɔː	0.489
χ	x	0.485
ˈəʊ̯	ˈɛː	0.467
ʃ	ʃ	0.465
ɐ	r	0.457
ˈu	ˈoː	0.438
k	k	0.421
ˈə	ˈi	0.413
ˈɑɪ̯	ˈeː	0.406
ɕ	ç	0.404
ˈɛ	-	0.4
ˈuː	ˈɔ	0.395
ˈɛː	-	0.388
ˈəʊ̯	ˈoː	0.378
ˈiə̯	-	0.333
ˈe	ˈɛ	0.332
ˈɑ	ˈi	0.318
ˈoː	ˈæi̯	0.302
t	d	0.296
ɕ	k	0.286
ˈɑ	ˈa	0.279
ˈiː	ˈɛː	0.274
ɐ	ə_r	0.271
ŋ	n	0.27
l	ɫ	0.265
ˈu	ˈu	0.251
ˈi	-	0.24
ˈə	ˈu	0.232
kʰ	ʧ	0.227
ɡ	j	0.207
ˈaː	ˈa	0.206
ɐ	r_ə	0.203
ˈæːɪ̯	ˈeː	0.202
ˈiː	ˈɛ	0.192
ˈiː	-	0.192
ˈu	-	0.188
d	d	0.179
ˈiː	ˈi	0.178
ˈeː	ˈæi̯	0.178
ɕ	x	0.178
ˈɜɪ̯	-	0.17
v	ʍ	0.17
ˈo	ˈɔ	0.167
v	v	0.167
ˈiː	ˈiː	0.163
f	p	0.163
ˈɑ	ˈɔː	0.16
ˈɑ	ˈiː	0.16
ˈəʊ̯	-	0.156
ʀ	r_ˈeː	0.155
ˈaː	ˈɛː	0.152
ˈaː	ˈa_r	0.152
ə	-	0.147
s	t_ə	0.143
ˈaː	ˈɔ	0.136
ˈə	ˈiː	0.134
ˈə	ˈeː	0.134
ˈæːɪ̯	ˈi	0.133
ˈeː	-	0.132
ɕ	ʧ_ə	0.132
ˈaː	ˈaː	0.129
ˈɜɪ̯	ˈɛː	0.125
ˈɜɪ̯	ˈɔu̯	0.125
ˈo	-	0.125
ˈu	ˈuː	0.123
d	ð	0.121
ŋ	n_ɡ	0.119
ˈaː	ˈɔː	0.101
ˈaː	-	0.097
ˈo	ˈoː	0.096
ˈə	ˈɛ	0.087
ˈɑ	-	0.083
ˈɜɪ̯	ˈiː	0.078
ɐ	-	0.07
f	p_ə	0.068
s	-	0.063
n	-	0.062
ˈo	ˈeː	0.061
n	ˈoː	0.051
