Old French	Old French	probability
θ_#>	#>	1.0
ˈɛ_s	ˈe	1.0
ˈɛ_r	ˈaː_ð	1.0
ˈɔ_j	ˈɛː	1.0
ˈỹ	-	1.0
ˈy_j	w_ˈe	1.0
ˈũ_n	ˈɔ̃	1.0
ˈu_s	ˈo	1.0
ˈo	ˈø	1.0
ˈẽ_n	ˈɛ̃	1.0
ˈe_r	ˈe	1.0
ˈã_n	ˈɑ̃	1.0
ˈã_j	ˈa	1.0
ˈa_w	ˈoː	1.0
ˈa_j	ˈe	1.0
ʤ_ə	ð_o	1.0
ʤ	ʒ	1.0
ʎ	ʎ	1.0
ɲ	ɲ	1.0
ɛ	ɛ	1.0
ə_v	ə_v	1.0
ə_#>	#>	1.0
ɔ	-	1.0
ŋ_k_#>	#>	1.0
ŋ	-	1.0
z	z	1.0
w_ˈɛ	ˈoː	1.0
w_ə	a	1.0
v_ə	v	1.0
v	v	1.0
t_ə	t_a	1.0
s_ˈa	s_ˈa	1.0
s_ə	s_ə	1.0
s_t	t	1.0
r_y	y	1.0
o_j	ˈɛː	1.0
n_#>	#>	1.0
k	k	1.0
j_ə	ˈe	1.0
j_r	ð	1.0
j_n	ˈɛ̃	1.0
ĩ	ĩ	1.0
i	i	1.0
f	f	1.0
d	d	1.0
b	b	1.0
ã_n	ɑ̃	1.0
a_s	ɑː	1.0
<#_ʤ	<#_ð	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
p	p	0.939
ʧ	ʃ	0.92
m	m	0.906
l_#>	l_#>	0.895
ɡ	ɡ	0.846
a	a	0.846
w	w	0.818
l	l	0.804
s	s	0.793
ʦ	s	0.786
r	ʁ	0.782
n	n	0.714
e	e	0.7
ˈi	ˈi	0.692
s_#>	#>	0.667
f_#>	f_#>	0.625
j_#>	#>	0.6
ˈa	ˈa	0.588
ˈũ	ˈɔ̃	0.583
t	-	0.575
u	o	0.571
ˈã	ˈɑ̃	0.562
ˈĩ	ˈĩ	0.545
r_#>	ʁ_#>	0.517
ˈɛ	ˈe	0.512
ˈɔ_r	ˈoː_ʁ	0.5
ˈɔ_r	ˈoː	0.5
ã	a	0.5
ã	-	0.5
r_#>	#>	0.483
ˈy	ˈu	0.462
#>	ˈa_#>	0.429
j	-	0.42
ˈɔ	w	0.409
ə	ə	0.407
ə	a	0.407
ˈẽ	ˈɛ̃	0.4
ˈẽ	-	0.4
j_#>	ˈe_#>	0.4
ˈe	ˈa	0.391
f_#>	#>	0.375
j	j	0.36
t	t	0.35
s_#>	ʃ_#>	0.333
ˈã	-	0.312
ˈy	-	0.308
ˈe	-	0.304
e	-	0.3
ˈu	ˈø	0.286
u	ɔ	0.286
#>	ˈi_#>	0.286
#>	a_#>	0.286
ˈĩ	ˈe	0.273
ˈũ	ˈɔ	0.25
ˈa	ˈaː	0.235
ˈi	j	0.231
ˈɛ	ˈɛ	0.22
r	ð	0.218
ˈe	ˈaː	0.217
ˈu	ˈɔ	0.214
ˈu	ˈoː	0.214
ʦ	ʃ	0.214
s	-	0.207
ˈẽ	ˈĩ	0.2
ˈɔ	ˈu	0.182
ˈɔ	-	0.182
ˈĩ	-	0.182
w	-	0.182
ˈa	-	0.176
ˈɛ	-	0.171
ˈũ	-	0.167
ˈy	w	0.154
ɡ	-	0.154
a	-	0.154
ˈu	ˈo	0.143
ˈu	w	0.143
u	-	0.143
n	ˈɛ̃	0.143
n	-	0.143
ˈɔ	ˈɛː	0.136
l	-	0.13
ə	o	0.128
ˈã	ˈa	0.125
l_#>	#>	0.105
j	ˈɛ	0.1
ˈɛ	ˈɛː	0.098
m	-	0.094
ˈɔ	ˈø	0.091
ˈe	i	0.087
ʧ	-	0.08
j	ˈɛː	0.08
ˈy	ˈy	0.077
ˈi	ˈe	0.077
t	ʁ	0.075
l	ʎ	0.065
p	-	0.061
