Romanian	Bellunese	probability
f	f	1.0
kʲ	-	1.0
o	o	1.0
v	v	1.0
ŋ	ŋ	1.0
ʃ	s	1.0
ʒ	ð	1.0
ˈau̯	ˈɔ	1.0
e̯ˈa	ˈe_l	0.1
m	-	0.161
n	ŋ	0.321
t	d	0.051
w	-	0.401
ʦ	θ	0.831
ʧ	z	0.091
ˈe	ˈɛ	0.081
ˈo	ˈo	0.461
i	e	0.692
j	j	0.332
k	ɡ_o	0.052
l	l	0.882
o̯ˈa	ˈɔ	0.152
p	k_w	0.062
r	l	0.072
ʧʲ	t	0.442
ˈu	ˈu	0.2
a	a	0.833
e	a	0.363
k	ɡ	0.083
u	-	0.093
ə	e	0.083
ˈa	ˈɛ	0.093
ˈo	ˈu	0.093
b	b	0.704
d	d	0.954
m	m	0.824
n	n	0.594
r	-	0.134
r	r	0.794
s	-	0.084
ɡ	-	0.164
ʤ	ð	0.914
ʧ	s	0.134
ˈɨ	ˈe	0.104
e	o	0.195
e̯ˈa	o_#>	0.15
e̯ˈa	ˈe	0.75
n	-	0.085
p	p	0.635
ʧ	-	0.125
ʧ	θ	0.65
ˈe	ˈi	0.085
ˈe	ˈe	0.625
b	-	0.296
k	k	0.726
l	j	0.096
p	-	0.236
s	s	0.916
ɡ	ɡ	0.836
ʤ	-	0.086
ˈe	e	0.076
ˈe	j_ˈe	0.096
ˈo	ˈɔ	0.446
ˈu	ˈɔ	0.076
ˈɨ	ˈa	0.896
a	o_#>	0.167
u	o	0.907
ˈa	ˈa	0.877
ˈi	-	0.07
i	i	0.308
j	-	0.668
k	ʧ	0.138
o̯ˈa	ˈo	0.848
t	-	0.08
t	t	0.818
w	v_o	0.18
z	d	0.98
ə	-	0.148
ʧʲ	-	0.558
ˈi	ˈe	0.38
ˈi	ˈi	0.528
ˈu	ˈo	0.68
e	e	0.39
w	o	0.419
ə	a	0.769
ʦ	t	0.169
