West Flemish	Eastphalian	probability
b	b	0.968
d	d	0.777
d	-	0.179
f	f	0.89
f	v	0.078
h	x	0.491
h	ç	0.461
iə̯	ɒː	1.0
j	j	1.0
k	k	0.884
k	ɣ	0.058
k	-	0.058
l	l	1.0
m	m	0.944
m	ɪ	0.056
n	n	0.886
n	-	0.058
p	p	0.922
p	b	0.078
s	s	0.654
s	ʃ	0.221
s	z	0.125
t	t	0.676
t	d	0.262
t	-	0.061
v	f	0.854
v	v	0.084
v	-	0.061
w	l	0.954
z	z	0.812
z	s	0.134
z	h	0.054
ç	ç	1.0
ŋ	ŋ	1.0
ə	-	0.494
ə	ə	0.472
ɦ	j	0.373
ɦ	ɣ	0.353
ɦ	-	0.219
ɾ	ɐ	0.591
ɾ	r	0.362
ʋ	v	0.808
ʋ	w	0.147
ˈeː	ˈeː	0.431
ˈeː	ˈɛː	0.258
ˈeː	ˈɛ	0.127
ˈeː	ˈoː	0.117
ˈeː	ˈɛɪ̯	0.068
ˈi	ˈiː	0.958
ˈiə̯	ˈɛɪ̯	0.57
ˈiə̯	ˈyː	0.184
ˈiə̯	ˈɪ	0.098
ˈiə̯	ˈʏ	0.09
ˈoː	ˈeo̯	0.451
ˈoː	ˈoː	0.359
ˈoː	ˈøː	0.135
ˈu	ˈʊ	0.611
ˈu	ˈɔ_l	0.275
ˈu	ˈuː	0.115
ˈuə̯	ˈaʊ̯	0.515
ˈuə̯	ˈɔʏ̯	0.39
ˈuə̯	ˈʊ	0.096
ˈyː	ˈuː	0.888
ˈyː	ˈiː	0.07
ˈæ	ˈa	0.321
ˈæ	ˈɛː	0.177
ˈæ	ˈʏ	0.158
ˈæ	ˈɛ	0.153
ˈæ	ˈeː	0.115
ˈøː	ˈoː	0.814
ˈøː	ˈuː	0.115
ˈøː	ˈɛː	0.071
ˈœ	ˈʊ	0.483
ˈœ	ˈʏ	0.232
ˈœ	w	0.105
ˈœ	ˈiː	0.105
ˈœ	ˈɪ	0.076
ˈɑ	ˈa	0.812
ˈɑ	ˈaː	0.093
ˈɑ	ˈɛː	0.053
ˈɒː	ˈɒː	0.811
ˈɒː	ˈɛə̯	0.08
ˈɒː	ˈa	0.058
ˈɔ	ˈɔ	0.678
ˈɔ	ˈa	0.111
ˈɔ	ˈœ	0.111
ˈɔ	ˈʏ	0.072
ˈɛ	ˈɪ	0.773
ˈɛ	ˈɛ	0.227
ˈɛː	ˈɛɪ̯	0.835
ˈɛː	ˈɔ	0.098
ˈɛː	ˈeː	0.068
ˈɪ	ˈɪ	0.905
ˈɪ	ˈʏ	0.095
