Aromanian	Aromanian	probability
ˈu_k	ˈɔ	1.0
ˈa_r	ˈa	1.0
ʃ_t	ʃː	1.0
ʃ	s	1.0
ɨ	-	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ç	f	1.0
w_ə	i	1.0
w	u	1.0
s_#>	sː_u_#>	1.0
r_n	rː	1.0
r_i_#>	#>	1.0
r_#>	l_u_#>	1.0
p_t	tː	1.0
n_i	n_i	1.0
n_#>	n_u_#>	1.0
m_n	ɲː	1.0
m_i	m_i	1.0
l_e̯ˈa	j_ˈa	1.0
l_#>	ɖː_u_#>	1.0
k_#>	k_u_#>	1.0
i_r	ˈi	1.0
i_#>	#>	1.0
e	i	1.0
b	b	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_ʧ	1.0
<#_ʎ	<#_l	1.0
<#_ʃ	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_a_r	<#_r	1.0
<#_a	<#	1.0
u	u	0.889
ə	a	0.872
d	d	0.867
f	f	0.833
ˈa	ˈa	0.824
s	s	0.773
k	k	0.771
ˈo	ˈɔ	0.75
p	p	0.75
#>	u_#>	0.75
n	n	0.733
ˈɨ	ˈa	0.727
v	v	0.714
t	t	0.677
ʎ	-	0.667
m	m	0.667
ˈu	ˈu	0.633
ɲ	-	0.6
k_ʎ	cː	0.6
ˈe	ˈɛ	0.583
o̯ˈa	ˈɔ	0.583
i	i	0.569
r	r	0.531
ʦ	ʧ	0.5
ʣ	d	0.5
l	l	0.5
<#	<#_ʧ	0.5
<#	<#_a	0.5
j	v	0.444
ˈi	ˈi	0.438
a	a	0.429
ˈe	ˈe	0.417
ɲ	m	0.4
k_ʎ	c	0.4
ʦ	-	0.357
e̯ˈa	ˈɛ	0.353
e̯ˈa	ˈe	0.353
ʤ	ɟː	0.333
ʤ	ɟ	0.333
ʤ	-	0.333
ʎ	cː	0.333
j	i	0.333
ˈi	ˈɛ	0.312
ʣ	ɟ	0.3
e̯ˈa	ˈi	0.294
v	-	0.286
a	r	0.286
a	-	0.286
ˈɨ	-	0.273
ˈo	ˈo	0.25
ˈi	-	0.25
o̯ˈa	-	0.25
l	j	0.25
l	-	0.25
r	l	0.245
i	u	0.235
j	j	0.222
ˈu	ˈɔ	0.2
ʣ	-	0.2
ˈa	-	0.176
p	-	0.167
o̯ˈa	ˈo	0.167
m	mː	0.167
m	-	0.167
f	-	0.167
t	tː	0.161
t	-	0.161
ʦ	ʦː	0.143
k	p	0.143
s	-	0.136
n	nː	0.133
n	-	0.133
d	i_d	0.133
#>	i_#>	0.125
#>	a_#>	0.125
ˈu	-	0.1
s	sː	0.091
k	ɡ	0.086
ə	u	0.085
p	pː	0.083
i	ˈe	0.078
i	a	0.078
ˈu	ˈo	0.067
r	-	0.061
u	a	0.056
u	-	0.056
