Campidanese	Ladin	probability
#>	#>	0.977
<#	<#	0.989
<#_a	<#	1.0
a	a	0.857
a	-	0.06
ă_#>	#>	1.0
b	v	0.481
b	b	0.333
b	ɡ	0.113
b	-	0.056
d	d	0.518
d	d_j	0.143
d	t	0.143
d	-	0.094
d	ʥ	0.082
e	e	0.42
e	-	0.272
e	a	0.117
e	j	0.066
e	ˈe	0.057
e	o	0.051
e_#>	#>	1.0
e_r	ˈe	0.514
ĕ	j	0.683
ĕ	-	0.231
f	f	1.0
i	-	0.646
i	e	0.154
i	ˈe	0.086
i_s	ʃ	1.0
j	-	0.259
j	ˈɛ	0.22
j	ˈe	0.192
j	ˈɛ_d	0.117
j	l	0.091
j	j	0.071
k	k	0.496
k	ʨ	0.406
k	ɡ	0.067
k_u	k	1.0
l	l	0.824
l	l_j	0.063
l	w	0.054
m	m	0.958
m_i	m	1.0
n	n	0.777
n	-	0.171
n_u	n	1.0
n_ʤ	ɲ	1.0
o	o	0.524
o	e	0.166
o	i	0.11
o	j	0.095
o	ˈo	0.058
ŏ_#>	#>	1.0
p	p	0.924
p	v	0.075
p_u	p	0.514
r	r	0.682
r	-	0.232
r	l	0.079
r_e	ˈe	1.0
r_i	ˈe	1.0
r_u	r	1.0
s	s	0.668
s	-	0.18
s	ʃ	0.077
t	t	0.744
t	-	0.098
t	t_e	0.078
t	d	0.075
t_e	t	0.514
t_i	t	1.0
t_u	t	1.0
u	-	0.762
ŭ_#>	#>	1.0
v	v	0.264
w	-	1.0
z	-	0.463
z	s	0.292
z	ʒ	0.157
z	ʦ	0.078
ð	-	0.431
ð	d	0.326
ð	t	0.199
ð_u	t	1.0
ð_ˈa	d	1.0
ŋ	ŋ	0.805
ŋ	n	0.162
ɖ	l	0.522
ɖ	-	0.478
ɖ_a	a	1.0
ɡ	ɡ	0.514
ɡ	k	0.201
ɡ	ʥ	0.153
ɡ	d	0.116
ɣ	-	0.547
ɣ	ɡ	0.325
ɣ	m	0.115
ɣ_u	k	1.0
ɲ	-	0.5
ɲ	ɲ	0.5
ʃ	-	0.389
ʃ	ʃ	0.389
ʃ	s	0.164
ʒ	ʒ	0.822
ʒ	ʦ	0.089
ʒ_i	ʃ	1.0
ʣ	-	0.629
ʣ	ʨ	0.361
ʤ	ʤ	0.574
ʤ	-	0.295
ʦ	ʦ	0.66
ʦ	t	0.174
ʧ	ʨ	0.409
ʧ	ʧ	0.34
ʧ	k_l	0.17
ʧ	ʦ	0.062
ˈa	ˈa	0.591
ˈa	ˈɛ	0.214
ˈa	-	0.19
ˈa_i	ˈe	1.0
ˈa_ʃ	ˈa	0.514
ˈe	ˈɛ	0.574
ˈe	ˈe	0.143
ˈe	ˈe_j	0.108
ˈe	j_ˈɛ	0.103
ˈi	ˈi	0.475
ˈi	ˈe	0.335
ˈi	ˈe_j	0.099
ˈi_ʣ	ˈi	1.0
ˈo	ˈɔ	0.402
ˈo	w	0.36
ˈo	ˈo	0.185
ˈo_s	ˈɔ	1.0
ˈu	ˈo	0.482
ˈu	ˈu	0.362
ˈu	ˈɔ	0.073
ˈu	-	0.057
β	w	0.389
β	v	0.266
β	p	0.153
β	-	0.112
β	l	0.062
β_u	ˈɛ	1.0
