Ligurian	Portuguese	probability
f	f	1.0
k	k	1.0
m	m	1.0
o	u	1.0
p	p	1.0
ɲ	ɲ	1.0
ʃ	ʃ	1.0
ʧ	ʃ	1.0
ˈi	ˈi	1.0
ˈyː	ˈu	1.0
ˈø	ˈo	1.0
ˈɛ	ˈɛ	1.0
n	n	0.61
ŋ	ʃ_#>	0.061
ʤ	ʎ	0.891
ˈa	ˈɐ̃	0.451
ˈiː	-	0.081
ˈu	ˈu	0.161
ˈɔː	ˈo_w	0.061
a	-	0.082
b	b	0.892
z	z	0.172
ɡ	ɣ	0.752
ˈe	ˈɐ	0.062
ˈiː	ˈe	0.122
ˈy	ˈo	0.052
ˈɔː	ˈo	0.732
ˈɛː	ˈa	0.532
e	ɨ	0.713
i	i	0.423
r	ɾ	0.673
s	s	0.743
t	j_t	0.123
ŋ	ɲ	0.193
ˈaː	ˈa	0.443
ˈɔ	ˈɔ	0.673
ˈɛː	ˈe	0.153
r	ʁ	0.134
v	β	0.214
ˈa	ˈa	0.254
ˈu	ˈo	0.434
ˈuː	ˈu	0.054
ˈøː	ˈɔ	0.384
d	d	0.805
z	j	0.105
ˈa	ˈɐ	0.295
ˈu	ˈɐ̃	0.405
ˈɛː	ˈɛ	0.255
d	-	0.096
j	-	0.396
l	<#_i	0.076
l	l	0.846
u	u	0.86
v	v	0.786
w	ˈɔ	0.076
w	w	0.476
z	ʒ	0.616
ŋ	ɾ_#>	0.086
ˈeː	ˈɛ	0.386
ˈiː	ˈi	0.796
ˈøː	ˈo	0.616
ˈɛː	ˈa_ð	0.06
e	ɐ	0.067
i	ˈi	0.577
j	ɾ	0.447
r	-	0.147
s	ʃ	0.257
t	t	0.657
z	-	0.107
ŋ	w̃	0.237
ˈeː	ˈɐ	0.187
ˈuː	ˈɔ	0.447
ˈɔ	ˈo	0.327
ˈɔː	ˈɔ	0.207
a	ɐ	0.918
b	v	0.108
j	j	0.158
l	-	0.078
ɡ	ɡ	0.248
ˈaː	ˈa_ɾ	0.418
ˈeː	ˈe	0.218
ˈy	ˈu	0.948
d	ð	0.099
e	-	0.179
n	-	0.39
t	ð	0.219
w	-	0.449
ŋ	-	0.39
ʤ	ʒ	0.109
ˈaː	ˈa_ɫ	0.09
ˈe	ˈɛ	0.179
ˈe	ˈe	0.759
ˈeː	ˈɐ_j	0.209
ˈuː	ˈo	0.499
