German	Bavarian	probability
<#_b	<#_b̥	1.0
<#_d	<#_d̥	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_j	<#_j	1.0
<#_kʰ	<#_kʰ	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p͡f	<#_p͡f	1.0
<#_v	<#_ʋ	1.0
<#_z	<#_s	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_ʁ	<#_r	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʦ	<#_ʦ	1.0
<#_ˈa	<#_ˈo	1.0
<#_ˈaɪ̯	<#_ˈoɐ̯	1.0
<#_ˈaʊ̯	<#_ˈau̯	1.0
<#_ˈɛ	<#_ˈe	1.0
<#_ˈɪ	<#_ˈi	1.0
<#_ˈʊ	<#_ˈu	1.0
b_n	m_#>	1.0
b_ɐ	b̥_a	1.0
b̥_#>	b̥_#>	1.0
d	d̥	1.0
d̥_#>	d̥	1.0
f_#>	f_#>	1.0
f_n	f_a	1.0
k	k	1.0
k_ə	ɡ̊_#>	1.0
l_ˈaː	l_ˈɔ	1.0
m	m	1.0
m_#>	m_#>	1.0
n_#>	n_#>	1.0
p	p	1.0
p͡f	p͡f	1.0
s	ʃ	1.0
s_#>	s_#>	1.0
s_n	s_n	1.0
s_t	s_t	1.0
t	t	1.0
t_n	d̥_n	1.0
t_ɐ	d̥_a	1.0
v	ʋ	1.0
x	x	1.0
x_#>	x	1.0
z_ə	s	1.0
ç_#>	ç_#>	1.0
ŋ	ŋ	1.0
ŋ_#>	ŋ	1.0
ɐ_#>	a_#>	1.0
ə_#>	ə_#>	1.0
ə_n	a	1.0
ɡ	ɡ̊	1.0
ɡ_n	ŋ	1.0
ɡ̊_#>	ɡ̊_#>	1.0
ɪ	-	1.0
ʁ	r	1.0
ʁ_ə	ɐ	1.0
ʁ_ˈʏ	r_ˈu	1.0
ʃ_#>	ʃ_#>	1.0
ʦ	ʦ	1.0
ʦ_#>	ʦ_#>	1.0
ˈaɪ̯_#>	ˈai̯_#>	1.0
ˈaɪ̯_n	ˈoɐ̯_#>	1.0
ˈaʊ̯_#>	ˈau̯_#>	1.0
ˈeː	ˈeː	1.0
ˈeː_#>	ˈɛː_#>	1.0
ˈiː_ɐ	ˈi_ɐ	1.0
ˈuː	ˈuɐ̯	1.0
ˈuː_#>	ˈuɐ̯_#>	1.0
ˈyː	ˈiɐ̯	1.0
ˈøː	ˈe	1.0
ˈɔ_l	ˈo_j	1.0
ˈɔ_ɐ	ˈoɐ̯	1.0
ˈɔʏ̯	ˈai̯	1.0
ˈɛː	ˈɛ	1.0
ˈɪ	ˈi	1.0
ˈɪ_n	ˈi_n	1.0
ˈʏ	ˈu	1.0
ˈʏ_n	ˈʏ_n	1.0
<#_tʰ	<#_t	0.231
ˈa	ˈoɐ̯	0.091
ˈaː	ˈɒː	0.231
ˈɔ	ˈo	0.571
n	-	0.12
ə	a	0.222
ˈa	ˈɒ	0.182
ˈaː	ˈoː	0.462
ˈoː	ˈoɐ̯	0.2
ˈʊ	ˈuɐ̯	0.222
ˈaɪ̯	ˈoɐ̯	0.333
ˈaʊ̯	ˈau̯	0.533
ˈoː	ˈoː	0.3
ˈa	ˈa	0.364
ˈaː	ˈaː	0.154
ˈaː	ˈo	0.154
l	j	0.45
l	l	0.55
l_#>	j_#>	0.5
l_#>	l_#>	0.5
t_#>	t_#>	0.45
t_#>	d̥	0.55
ɐ	-	0.095
ˈiː	ˈiɐ̯	0.5
ˈiː	ˈiː	0.5
ˈoː	ˈou̯	0.5
ˈɛ	ˈɛ	0.5
ˈɛ	ˈe	0.5
ç	ɡ̊	0.286
ç	ç	0.286
ɐ	r	0.286
ˈa	ˈɔ	0.136
ˈa	ˈo	0.227
ˈaɪ̯	ˈai̯	0.667
ˈaʊ̯	ˈaː	0.467
n	ˈeɐ̯	0.08
n	n	0.8
ə	-	0.778
ˈʊ	ˈu	0.778
<#_tʰ	<#_d̥	0.769
ç	x	0.429
ɐ	ɐ	0.619
ˈɔ	ˈɔ	0.429
