Macedonian	Slovenian	probability
ˈɛ_s	éː_s	1.0
ˈɛ_l	ɛ̀ː_l	1.0
ˈu	úː	1.0
ˈo_ɫ	ɔ́ː_w	1.0
ˈa_ɫ	àː_l	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɫ_#>	w_#>	1.0
ɫ	l	1.0
ɡ	ɡ	1.0
z	z	1.0
v_ɛ	ʋ_ɛ	1.0
v	ʋ	1.0
u	ə	1.0
t_#>	t_#>	1.0
t	t	1.0
s_t	s_t	1.0
s_#>	s_#>	1.0
s	s	1.0
r_#>	r_#>	1.0
r	r	1.0
p_#>	p_#>	1.0
p	p	1.0
o	ə	1.0
n_#>	n_#>	1.0
n	n	1.0
m_#>	m_#>	1.0
m	m	1.0
l	l	1.0
k_#>	k_#>	1.0
k	k	1.0
i	i	1.0
d	d	1.0
b	b	1.0
a_#>	a_#>	1.0
a	ə	1.0
<#_ʦ	<#_ʦ	1.0
<#_ʣ	<#_z	1.0
<#_ʒ	<#_ʒ	1.0
<#_ɡ	<#_ɡ	1.0
<#_z	<#_z	1.0
<#_v	<#_ʋ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
f_#>	ʋ_#>	0.6
<#	<#_x	0.6
o_#>	ɔ_#>	0.583
ɫ_ˈa	l_áː	0.5
ɫ_ˈa	l_àː	0.5
ˈr̩	r	0.444
ˈɛ	èː	0.429
ˈa	áː	0.429
o_#>	óː_#>	0.417
ˈi	íː	0.4
ˈi	ìː	0.4
ɛ_#>	t_i_#>	0.4
f_#>	x_#>	0.4
<#	<#_ʧ	0.4
ˈr̩	ə̀_r	0.333
ˈo	óː	0.333
ɛ	ə	0.333
ɛ	éː	0.333
ɛ_#>	ɛ_#>	0.3
ɛ_#>	éː_#>	0.3
ˈa	óː	0.286
ˈa	àː	0.286
ˈɛ	éː	0.25
ˈo	ɔ̀ː	0.25
ˈr̩	ə́_r	0.222
ˈi	i	0.2
ˈɛ	e	0.179
ˈo	òː	0.167
ˈo	o	0.167
ɛ	ɛ	0.167
ɛ	èː	0.167
ˈɛ	ɛ̀ː	0.143
ˈo	ɔ́	0.083
