Palatine German	Palatine German	probability
β_ə	b_n	1.0
β	v	1.0
ˈɛ_ɐ	ɐ	1.0
ˈɑ̃ː	ˈaː	1.0
ˈɑ̃ɪ̯	-	1.0
ˈɑːɪ̯	-	1.0
ˈɑː_ɐ	ˈa_ɐ	1.0
ˈuː	ˈuː	1.0
ˈõː	ˈoː	1.0
ˈo	ˈaː	1.0
ˈĩː	ˈyː	1.0
ˈi	ˈyː	1.0
ˈau̯̯	ˈaʊ̯	1.0
ˈau̯	ˈaʊ̯	1.0
ʣ̥	ʦ	1.0
ʃ_d̥	s_t	1.0
ɡ̊_n	kʰ_n	1.0
ɑ	a	1.0
ɐ_n	ɐ_n	1.0
ɐ_d̥	ɐ_t	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
s_ə	s_n	1.0
r_ə	t_n	1.0
pʰ	p͡f	1.0
n_ˈɑː	n_ˈaː	1.0
n_ɐ	n_ɐ	1.0
m	m	1.0
l_d̥	l_d̥	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
f_ə	f_n	1.0
f	f	1.0
eː	eː	1.0
#>	n_#>	1.0
ˈɑ	ˈa	0.941
n	n	0.894
r	ʁ	0.838
ˈɛ	ˈɛ	0.833
ˈɔ	ˈɔ	0.833
ˈu	ˈʊ	0.812
x	x	0.786
ˈɪ	ˈɪ	0.735
ˈiː	ˈiː	0.722
ˈoː	ˈoː	0.684
ˈaɪ̯	ˈaɪ̯	0.682
ɪ	ɪ	0.667
b̥	b	0.645
ˈɛː	ˈaɪ̯	0.643
j	ɡ	0.6
ʃ	ʃ	0.58
ə	n	0.552
ˈɑː	ˈaʊ̯	0.533
s	z	0.521
ɡ̊	ɡ	0.469
ˈɑː	ˈaː	0.467
ˈeː	ˈeː	0.417
ɡ̊	k	0.406
j	j	0.4
d̥	t	0.397
ə	ə	0.379
ʃ	ç	0.34
ɪ	-	0.333
s	s	0.333
ˈaɪ̯	ˈɔʏ̯	0.318
ˈoː	ˈaː	0.316
ˈeː	ˈaɪ̯	0.25
d̥	tʰ	0.219
d̥	d	0.219
ˈɛː	ˈeː	0.214
x	ɡ	0.214
ˈɪ	ˈʏ	0.206
b̥	b̥	0.194
ˈu	ˈɔ	0.188
ˈɔ	ˈʊ	0.167
ˈiː	ˈyː	0.167
ˈeː	ˈøː	0.167
ˈeː	ˈiː	0.167
d̥	d̥	0.164
s	z̥	0.146
ˈɛː	ˈɛː	0.143
ˈiː	ˈɪ	0.111
b̥	p͡f	0.097
ˈɛ	ˈœ	0.083
ˈɛ	ˈeː	0.083
r	t	0.081
r	d	0.081
ʃ	ɡ̊	0.08
ə	d_n	0.069
b̥	p	0.065
n	n_d	0.064
ɡ̊	ɡ̊	0.062
ɡ̊	-	0.062
ˈɪ	-	0.059
ˈɑ	ˈaː	0.059
