Luxembourgish	Afrikaans	probability
b	b	1.0
d	d	1.0
d_ɐ	r	1.0
d_ə	t	1.0
e	ə	0.514
f	f	0.874
f	p	0.112
f_ə	p	1.0
h	ɦ	1.0
j	j	0.514
k	χ	0.381
k	-	0.324
k	k	0.126
k	ŋ	0.122
k_ə	k	1.0
kʰ	k	1.0
l	ɫ	0.79
l	l	0.15
l	-	0.04
m	m	1.0
n	n	0.591
n	-	0.393
p	p	1.0
s	s	0.511
s	t	0.478
t	t	0.737
t	-	0.258
tʰ	t	0.514
v	v	0.825
v	-	0.11
v	f	0.062
w	w	0.856
w	ˈɛ	0.125
z	s	1.0
ŋ	ŋ	0.774
ŋ	n	0.166
ŋ	ə	0.063
ɐ	r	0.616
ɐ	ə	0.329
ɐ	-	0.043
ɕ	k	0.477
ɕ	χ	0.324
ɕ	-	0.111
ɕ	ŋ	0.078
ɕ_t	χ	1.0
ə	-	0.795
ə	ə	0.203
ə_k	k	0.514
ɡ	χ	0.916
ɡ	-	0.083
ʀ	r	0.926
ʀ	-	0.071
ʃ	s	0.853
ʃ	s_k	0.096
ʃ	χ	0.046
ʑ	χ	0.514
ʦ	t	1.0
ˈaː	ˈa	0.447
ˈaː	ˈʊə̯	0.303
ˈaː	ˈa_r	0.093
ˈaː	ˈɑː	0.091
ˈaː	ˈœu̯	0.053
ˈe	ˈə	0.369
ˈe	ˈœ	0.238
ˈe	ˈi	0.157
ˈe	ˈu	0.115
ˈe	ˈɪə̯	0.087
ˈeː	ˈɪə̯	0.469
ˈeː	ˈəɪ̯	0.314
ˈeː	ˈɛ	0.104
ˈeː	ˈʊə̯	0.081
ˈi	ˈi	0.281
ˈi	ˈʊə̯	0.245
ˈi	ˈɪə̯	0.162
ˈi	ˈu	0.162
ˈi	ˈə	0.119
ˈiə̯	ˈɪə̯	0.758
ˈiə̯	ˈɑː	0.234
ˈiː	ˈə	0.318
ˈiː	ˈɪə̯	0.241
ˈiː	-	0.159
ˈiː	ˈɛ	0.159
ˈiː	ˈɔ	0.08
ˈo	ˈɔ	0.714
ˈo	ˈœu̯	0.096
ˈo	ˈʊə̯	0.091
ˈo	ˈɔː	0.091
ˈoː	ˈɑː	0.763
ˈoː	ˈɔː	0.11
ˈoː	ˈɛː	0.107
ˈu	ˈu	0.187
ˈu	ˈɔ	0.174
ˈu	ˈʊə̯	0.174
ˈu	ˈɛː	0.174
ˈu	ˈɪø̯	0.123
ˈuə̯	ˈa	0.362
ˈuə̯	ˈɑː	0.239
ˈuə̯	ˈɪø̯	0.162
ˈuə̯	ˈʊə̯	0.162
ˈuː	ˈɔ	0.333
ˈuː	ˈʊə̯	0.333
ˈuː	ˈœ	0.333
ˈæ	ˈa	1.0
ˈæɪ̯	ˈœi̯	0.574
ˈæɪ̯	ˈəɪ̯	0.295
ˈæːɪ̯	ˈəɪ̯	0.63
ˈæːɪ̯	ˈœɪ̯	0.158
ˈæːɪ̯	ˈə	0.112
ˈæːɪ̯	ˈi	0.082
ˈæːʊ̯	ˈœɪ̯	1.0
ˈɑ	ˈa	0.451
ˈɑ	ˈə	0.343
ˈɑ	-	0.117
ˈɑ	ˈɪ	0.057
ˈɑ	ˈɔ	0.045
ˈɑɪ̯	ˈi	0.234
ˈɑɪ̯	ˈyː	0.203
ˈɑɪ̯	ˈəɪ̯	0.203
ˈɑɪ̯	ˈœɪ̯	0.203
ˈɑɪ̯	ˈɔ	0.134
ˈɔ	ˈɔ	1.0
ˈə	ˈə	0.206
ˈə	ˈəɪ̯	0.19
ˈə	ˈɛ	0.156
ˈə	ˈœ	0.109
ˈə	ˈi	0.095
ˈəɪ̯	ˈi	0.444
ˈəɪ̯	ˈʊə̯	0.212
ˈəɪ̯	ˈɑː	0.164
ˈəɪ̯	ˈi_χ	0.064
ˈəɪ̯	ˈu	0.064
ˈəʊ̯	ˈʊə̯	0.476
ˈəʊ̯	ˈɑː	0.153
ˈəʊ̯	ˈuːi̯	0.153
ˈəʊ̯	ˈu	0.109
ˈəʊ̯	ˈoːi̯	0.083
ˈɛ	ˈɛ	0.415
ˈɛ	ˈəɪ̯	0.315
ˈɛ	ˈɪə̯	0.202
ˈɛː	ˈɑː	0.425
ˈɛː	ˈæː	0.28
ˈɛː	ˈa	0.28
ˈʊ	ˈu	0.561
ˈʊ	ˈuː	0.19
ˈʊ	ˈɔ	0.122
ˈʊɪ̯	ˈɔ	1.0
χ	χ	0.545
χ	k	0.437
