Luxembourgish	Afrikaans	probability
#>	#>	0.905
#>	r_#>	0.057
<#	<#	1.0
b	b	1.0
d	d	1.0
d_ɐ	r	1.0
d_ə	t	1.0
e	ə	0.517
f	f	0.825
f	p	0.168
f_ə	p	1.0
h	ɦ	1.0
j	j	0.517
k	k	0.447
k	χ	0.339
k	ŋ	0.104
k	-	0.079
k_#>	#>	0.517
kʰ	k	0.974
l	ɫ	0.938
m	m	0.979
n	n	0.873
n	-	0.094
n_#>	#>	1.0
p	p	0.922
p	f	0.057
s	s	0.511
s	t	0.478
t	t	0.966
t_#>	#>	1.0
tʰ	t	0.517
v	v	0.822
v	-	0.112
v	f	0.063
w	w	0.856
w	ˈɛ	0.126
z	s	1.0
ŋ	ŋ	0.774
ŋ	n	0.166
ŋ	ə	0.064
ɐ	r	0.61
ɐ	ə	0.333
ɐ_#>	#>	0.138
ɕ	χ	0.542
ɕ	k	0.319
ɕ	-	0.074
ɕ	ŋ	0.059
ə	-	0.78
ə	ə	0.217
ə_f	f	1.0
ɡ	χ	0.916
ɡ	-	0.084
ʀ	r	0.926
ʀ	-	0.071
ʃ	s	0.853
ʃ	s_k	0.096
ʑ	χ	0.517
ʦ	t	1.0
ˈaː	ˈa	0.424
ˈaː	ˈʊə̯	0.305
ˈaː	ˈɑː	0.107
ˈaː	ˈa_r	0.091
ˈaː	ˈœu̯	0.059
ˈe	ˈə	0.369
ˈe	ˈœ	0.238
ˈe	ˈi	0.157
ˈe	ˈu	0.116
ˈe	ˈɪə̯	0.088
ˈeː	ˈɪə̯	0.478
ˈeː	ˈəɪ̯	0.32
ˈeː	ˈɛ	0.087
ˈeː	ˈʊə̯	0.083
ˈi	ˈi	0.281
ˈi	ˈʊə̯	0.245
ˈi	ˈu	0.162
ˈi	ˈɪə̯	0.162
ˈi	ˈə	0.12
ˈiə̯	ˈɪə̯	0.758
ˈiə̯	ˈɑː	0.234
ˈiː	ˈə	0.34
ˈiː	ˈɪə̯	0.321
ˈiː	ˈɛ	0.17
ˈiː	ˈɔ	0.086
ˈo	ˈɔ	0.714
ˈo	ˈœu̯	0.096
ˈo	ˈɔː	0.092
ˈo	ˈʊə̯	0.092
ˈoː	ˈɑː	0.774
ˈoː	ˈɛː	0.107
ˈoː	ˈɔː	0.104
ˈu	ˈu	0.188
ˈu	ˈɔ	0.174
ˈu	ˈɛː	0.174
ˈu	ˈʊə̯	0.174
ˈu	ˈɪø̯	0.124
ˈu	ˈɑː	0.092
ˈuə̯	ˈa	0.362
ˈuə̯	ˈɑː	0.239
ˈuə̯	ˈɪø̯	0.163
ˈuə̯	ˈʊə̯	0.163
ˈuː	ˈœ	0.333
ˈuː	ˈɔ	0.333
ˈuː	ˈʊə̯	0.333
ˈæ	ˈa	1.0
ˈæɪ̯	ˈœi̯	0.574
ˈæɪ̯	ˈəɪ̯	0.297
ˈæːɪ̯	ˈəɪ̯	0.63
ˈæːɪ̯	ˈœɪ̯	0.158
ˈæːɪ̯	ˈə	0.112
ˈæːɪ̯	ˈi	0.083
ˈæːʊ̯	ˈœɪ̯	1.0
ˈɑ	ˈa	0.445
ˈɑ	ˈə	0.339
ˈɑ	-	0.115
ˈɑ	ˈɪ	0.056
ˈɑɪ̯	ˈi	0.234
ˈɑɪ̯	ˈyː	0.203
ˈɑɪ̯	ˈœɪ̯	0.203
ˈɑɪ̯	ˈəɪ̯	0.203
ˈɑɪ̯	ˈɔ	0.134
ˈɔ	ˈɔ	1.0
ˈə	ˈə	0.206
ˈə	ˈəɪ̯	0.19
ˈə	ˈɛ	0.156
ˈə	ˈœ	0.109
ˈə	ˈi	0.095
ˈə	ˈɪə̯	0.081
ˈə	-	0.076
ˈə	ˈæ	0.076
ˈəɪ̯	ˈi	0.452
ˈəɪ̯	ˈʊə̯	0.215
ˈəɪ̯	ˈɑː	0.167
ˈəɪ̯	ˈi_χ	0.065
ˈəɪ̯	ˈu	0.065
ˈəʊ̯	ˈʊə̯	0.476
ˈəʊ̯	ˈuːi̯	0.153
ˈəʊ̯	ˈɑː	0.153
ˈəʊ̯	ˈu	0.109
ˈəʊ̯	ˈoːi̯	0.083
ˈɛ	ˈɛ	0.415
ˈɛ	ˈəɪ̯	0.315
ˈɛ	ˈɪə̯	0.203
ˈɛː	ˈɑː	0.425
ˈɛː	ˈa	0.28
ˈɛː	ˈæː	0.28
ˈʊ	ˈu	0.561
ˈʊ	ˈuː	0.191
ˈʊ	ˈɔ	0.123
ˈʊɪ̯	ˈɔ	1.0
χ	χ	0.545
χ	k	0.437
