Ukrainian	Štokavian	probability
ˈɔ_ʍ	ûː	1.0
ˈɔ_ʋ	û	1.0
ˈɔ_#>	o_#>	1.0
ˈɑ_#>	e_#>	1.0
ˈu	ûː	1.0
ʧ	ʧ	1.0
ʦʲ	ʦ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʋ	ʋ	1.0
ɫ_e	êː_l	1.0
ɪ	i	1.0
ɦ	ɡ	1.0
ɛ_#>	e_#>	1.0
ɛ	ě	1.0
ɔ_r	r	1.0
ɔ_#>	o_#>	1.0
ɐ_#>	a_#>	1.0
zʲ	z	1.0
z	z	1.0
x	x	1.0
tʲ	t	1.0
t	t	1.0
sʲ	s	1.0
s_#>	s_#>	1.0
s	s	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
mʲ	m_j	1.0
m	m	1.0
kʲ	k	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ˈɑ	êː	1.0
j_#>	#>	1.0
e_#>	i_#>	1.0
d_#>	d_#>	1.0
d	d	1.0
b	b	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_lʲ	<#_l	1.0
<#_k	<#_k	1.0
ɫ	l	0.889
e	-	0.882
ˈɑ	a	0.8
r	r	0.765
nʲ	n	0.75
w	ʋ	0.714
lʲ	ʎ	0.667
ɐ	eː	0.6
rʲ	r	0.6
i	ěː	0.6
ʋʲ	ʋ_j	0.571
ˈɛ_r	r̩̂	0.5
ˈɛ_r	r̩̂	0.5
ˈɛ	ê	0.5
ˈɛ	â	0.5
ʋʲ	ʋ	0.429
j	-	0.429
ɐ	ěː	0.4
rʲ	r_j	0.4
i	e	0.4
ɔ	ǒ	0.389
lʲ	l	0.333
ˈɪ	î	0.294
ˈɪ	-	0.294
w	-	0.286
j	j	0.286
j	iː	0.286
ˈɔ	ô	0.25
ˈɔ	-	0.25
nʲ	ɲ	0.25
ˈi	ôː	0.24
ˈɪ	i	0.235
ˈɑ	â	0.2
ˈi	j	0.2
ˈi	ê	0.2
ˈɪ	îː	0.176
ɔ	-	0.167
ˈi	êː	0.16
ˈɔ	ôː	0.125
ˈɔ	ê	0.125
ˈɔ	â	0.125
ˈɔ	a	0.125
ˈi	ô	0.12
r	r̩̂ː	0.118
r	r̂ː	0.118
e	ě	0.118
ɫ	o	0.111
ɔ	ô	0.111
ɔ	j	0.111
ɔ	âː	0.111
ɔ	a	0.111
ˈi	j_êː	0.08
