Middle High German	Insular North Frisian	probability
ˈɑ_n	ˈœ	1.0
ˈøː	ˈiː	1.0
ˈøy̯	-	1.0
ˈyə̯	-	1.0
ˈeː	-	1.0
ʦː	t	1.0
ɛ	ˈœ_d	1.0
ə_t	ɾ	1.0
ə_r	ɐ	1.0
ɑː	ˈɔa̯	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
v	f	1.0
tː	ɾ	1.0
s̻ː	d	1.0
s̻	t	1.0
r_n	ɐ_n	1.0
p	p	1.0
oː	-	1.0
nː	n	1.0
n_t	n	1.0
n_d	nʲ	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_ˈiə̯	l	1.0
l_d	lʲ	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
i	ɪ	1.0
h_ə	aɪ̯	1.0
fː	p	1.0
s	s	0.935
n	n	0.876
w	v	0.867
h	h	0.795
b̥	f	0.755
ˈoː	ˈɔa̯	0.748
ʃː	s_k	0.732
ʦ	tʰ	0.731
b	b	0.718
kː	ç	0.695
ˈou̯	ˈoː	0.688
f	p	0.688
ʃ	s	0.677
ə	-	0.648
ˈiː	ˈɪ	0.646
ˈuː	ˈʏ	0.629
xː	k	0.625
t	t	0.619
n_d̥	nʲ	0.612
r	r	0.575
n_ə	n	0.574
p͡f	p	0.569
ˈe	-	0.535
ˈi	ˈɪ	0.522
ɡ	ɡ	0.516
x	k	0.502
ˈyː	ˈyː	0.489
ˈy	ˈɛ	0.476
ˈe	ˈɛ	0.465
p͡f	pʰ	0.431
n_ə	n_ɪ	0.426
d	tʰ	0.419
ɡ̊	-	0.418
ɡ̊	ç	0.415
n_d̥	n	0.388
xː	-	0.375
ˈo	ˈuː	0.367
ˈɑː	ˈɔː	0.347
t	ɾ	0.347
ˈy	-	0.343
x	x	0.341
ˈiə̯	ˈiː	0.336
ˈiə̯	-	0.336
ə	ə	0.334
ˈɑ	ˈa	0.325
ˈɑː	ˈuː	0.324
ˈou̯	-	0.312
ˈu	ˈʊ	0.31
kː	k	0.305
d̥	ɾ	0.3
d̥	-	0.3
ˈyː	ˈiː	0.298
ˈei̯	ˈiː	0.287
ˈɑ	ˈɔː	0.283
b	-	0.282
d	d	0.279
ʦ	t	0.269
ʃː	s	0.268
r	ɐ	0.26
ˈoː	-	0.252
ɡ	ç	0.252
b̥	ə_f	0.245
ˈɛ	ˈɛ	0.242
ˈuə̯	-	0.24
d	ɾ	0.237
ɡ	-	0.232
ˈɛ	-	0.229
ˈei̯	ˈɛ	0.218
ˈuː	ˈyː	0.216
ʃ	s_k	0.215
ˈyː	ˈʏ	0.213
ˈuə̯	ˈʊ	0.209
ˈuə̯	ˈɔ	0.209
ˈiː	ˈiː	0.208
h	-	0.205
ˈuə̯	ˈoː	0.204
ˈu	ˈœ	0.202
d̥	t	0.2
d̥	n	0.2
ˈei̯	ˈeː	0.191
ˈu	ˈʏ	0.19
ˈo	ˈœ	0.188
ˈɑː	ˈiː	0.187
ˈy	ˈœ	0.181
ˈei̯	ˈʊ	0.18
ˈɑ	-	0.176
ˈi	ˈʊ	0.175
ˈiə̯	ˈɛ	0.169
ɡ̊	ŋ	0.167
r	ʁ̥	0.166
ˈu	ˈɔ	0.16
ˈiə̯	ˈeː	0.159
x	ç	0.157
ˈɛ	ˈiː	0.156
f	ə_f	0.156
f	f	0.156
ˈuː	-	0.155
ˈiː	-	0.147
ˈɑː	-	0.142
ˈɛ	ˈeː	0.139
ˈɛ	ˈa	0.139
ˈuə̯	ˈœ	0.139
ˈu	-	0.137
ˈi	-	0.133
w	-	0.133
ˈi	ˈɛ	0.125
ˈei̯	ˈaɪ̯	0.124
n	-	0.124
ˈo	ˈʏ	0.123
ˈo	ˈɔ	0.123
ˈo	-	0.123
ʃ	ʃ	0.108
ˈɛ	ˈɔ	0.095
ˈɑ	ˈuː	0.09
ˈɑ	ˈʊ	0.076
ˈo	ˈʊ	0.076
s	ʃ	0.065
d	tʲ	0.065
ˈɑ	ˈeː	0.051
