Swedish	West Frisian	probability
a	ə	0.74
a	-	0.258
b	b	1.0
d	d	0.441
d	t	0.31
d	-	0.243
e	-	0.251
f	f	1.0
h	h	1.0
j	-	0.358
j	ˈiə̯	0.234
j	ɡ	0.128
j	χ	0.128
j	j	0.128
jː	z	1.0
k	k	0.891
k	-	0.064
k	χ	0.053
kʰ	k	1.0
kː	k	1.0
l	l	0.94
l	-	0.058
lː	l	0.822
lː	t	0.115
m	m	0.956
m	-	0.052
mː	m	1.0
n	n	0.919
n	-	0.078
nː	n	0.752
nː	r	0.145
nː	l	0.081
p	p	1.0
pʰ	p	0.251
pː	p	0.501
r	r	0.82
r	-	0.125
r	ˈɪ_r	0.035
rː	t	0.574
rː	χ	0.287
s	s	0.941
s	z	0.057
sː	s	1.0
t	t	1.0
tʰ	t	0.72
tʰ	d	0.227
tʰ	b	0.051
tː	χ	0.609
tː	t	0.376
v	v	0.488
v	ʋ	0.268
v	f	0.101
v	-	0.077
v	p	0.047
ŋ	-	0.422
ŋ	ŋ	0.285
ŋ	χ	0.096
ŋː	ŋ	1.0
ɕ	ʦ	1.0
ɖ	r	0.415
ɖ	t	0.208
ɖ	d	0.208
ɛ	ə	0.675
ɛ	-	0.255
ɛ	ˈɛi̯	0.065
ɡ	ɡ	0.373
ɡ	-	0.274
ɡ	χ	0.171
ɡ	k	0.126
ɡ	ɣ	0.052
ɡː	ɣ	0.488
ɡː	j	0.201
ɡː	χ	0.185
ɧ	s_k	0.496
ɧ	ɕ	0.242
ɧ	s	0.184
ɪ	ɪ	0.361
ɪ	ə	0.361
ɪ	-	0.208
ɳ	n	0.646
ɳ	r	0.334
ɳː	n	0.251
ɵ	ɪ	0.281
ɵ	-	0.161
ɵ	ə	0.141
ʈː	t	1.0
ʊ	ˈɔ	0.501
ˈa	ˈa	0.302
ˈa	ˈɔː	0.268
ˈa	ˈɪə̯	0.107
ˈa	ˈɛ	0.093
ˈa	ˈoə̯	0.061
ˈeː	ˈɪ	0.291
ˈeː	ˈiə̯	0.199
ˈeː	ˈɛi̯	0.114
ˈeː	ˈeː	0.114
ˈeː	ˈi	0.089
ˈiː	ˈi	0.52
ˈiː	ˈiː	0.256
ˈiː	j	0.205
ˈoː	ˈiə̯	0.353
ˈoː	ˈaː	0.154
ˈoː	ˈoə̯	0.145
ˈoː	ˈy	0.106
ˈoː	ˈø	0.07
ˈuː	ˈuə̯	0.67
ˈuː	ˈoə̯	0.179
ˈuː	-	0.08
ˈuː	ˈoː	0.061
ˈyː	ˈuə̯	0.336
ˈyː	j	0.254
ˈyː	ˈɪə̯	0.222
ˈyː	ˈiə̯	0.138
ˈæ	ˈɛ	0.5
ˈæ	ˈɛː	0.5
ˈæː	j	0.608
ˈæː	ˈø	0.265
ˈøː	ˈɪə̯	0.495
ˈøː	ˈiə̯	0.237
ˈøː	ˈeː	0.093
ˈøː	ˈɛ	0.074
ˈøː	ˈɪ	0.061
ˈøː_d	ˈɪə̯	1.0
ˈœ	ˈɔ	0.276
ˈœ	ˈoə̯	0.24
ˈœ	ˈuː	0.158
ˈœ	ʋ	0.113
ˈœ	ˈɪə̯	0.084
ˈœː	ˈɪə̯	1.0
ˈɑː	ˈa	0.397
ˈɑː	ˈaː	0.204
ˈɑː	ˈɛː	0.16
ˈɑː	-	0.092
ˈɑː	ˈɪ	0.071
ˈɑː_ɡ	ˈɛi̯	1.0
ˈɔ	ˈɔ	0.356
ˈɔ	ˈoə̯	0.212
ˈɔ	ˈyː	0.14
ˈɔ	ˈa	0.14
ˈɔ	ˈuː	0.103
ˈɛ	ˈɪ	0.314
ˈɛ	ˈa	0.12
ˈɛ	ˈɛi̯	0.104
ˈɛ	ˈaː	0.1
ˈɛ	ˈɛ	0.091
ˈɛː	ˈoə̯	0.145
ˈɛː	ˈɪ	0.145
ˈɛː	ˈɪə̯	0.132
ˈɛː	ˈiə̯	0.11
ˈɛː	ˈɛː	0.107
ˈɪ	ˈɪ	0.771
ˈɪ	ˈiː	0.094
ˈɪ	ˈa	0.066
ˈɪ	ˈi	0.064
ˈɵ	ˈuː	0.289
ˈɵ	ˈɔ	0.246
ˈɵ	ʋ_ˈɔ	0.124
ˈɵ	ˈɪ	0.108
ˈɵ	ˈoə̯	0.082
ˈʉː	ˈuː	0.331
ˈʉː	-	0.214
ˈʉː	ˈiə̯	0.075
ˈʉː	ˈyː	0.072
ˈʉː	ˈɪ	0.072
ˈʊ	ˈu	0.488
ˈʊ	ˈoː	0.175
ˈʊ	ˈɔ	0.122
ˈʊ	ʋ	0.072
ˈʏ	ˈø	0.275
ˈʏ	ˈɛ	0.275
ˈʏ	ˈɪ	0.158
ˈʏ	ˈɛː	0.104
ˈʏ	ˈyː	0.069
