Swedish	West Frisian	probability
a	ə	0.726
a	-	0.177
a	j_ə	0.085
b	b	1.0
d	d	0.473
d	t	0.412
d	-	0.115
f	f	0.985
h	h	1.0
j	-	0.357
j	j	0.208
j	ɡ	0.178
j	ˈiə̯	0.099
j	χ	0.095
j	l	0.057
jː	z	1.0
k	k	0.896
k	χ	0.087
kʰ	k	1.0
kː	k	1.0
l	l	0.944
lː	l	0.623
lː	t	0.377
m	m	0.936
m	f	0.064
mː	m	1.0
n	n	0.932
n	-	0.068
nː	n	0.852
nː	-	0.148
p	p	1.0
pʰ	p	1.0
pː	p	1.0
r	r	0.845
r	-	0.132
rː	t	0.666
rː	χ	0.334
s	s	0.962
sː	s	1.0
t	t	0.96
tʰ	t	0.688
tʰ	d	0.184
tʰ	b	0.079
tː	t	0.639
tː	χ	0.361
v	ʋ	0.425
v	v	0.333
v	f	0.134
v	-	0.094
ŋ	ŋ	0.59
ŋ	-	0.297
ŋ	χ	0.113
ŋː	ŋ	1.0
ɔ	ɪ	1.0
ɕ	ʦ	0.904
ɕ	k	0.096
ɖ	t	0.725
ɖ	r	0.175
ɖ	d	0.1
ɛ	ə	0.897
ɛ	-	0.103
ɡ	ɡ	0.345
ɡ	χ	0.216
ɡ	ɣ	0.146
ɡ	j	0.122
ɡ	-	0.114
ɡ	k	0.057
ɡː	χ	0.386
ɡː	-	0.193
ɡː	ɣ	0.189
ɡː	j	0.121
ɡː	z	0.111
ɧ	s	0.929
ɪ	ə	0.465
ɪ	-	0.268
ɪ	ɪ	0.268
ɳ	n	0.75
ɳ	r	0.141
ɳ	ˈɛ	0.109
ɳː	n	1.0
ɵ	-	0.441
ɵ	ə	0.365
ɵ	ɪ	0.194
ʂ	s	1.0
ʈ	t	1.0
ʈː	t	1.0
ʊ	ˈɔ	0.888
ʊ	ˈiə̯	0.112
ˈa	ˈa	0.3
ˈa	ˈɔː	0.207
ˈa	ˈaː	0.132
ˈa	ˈɛ	0.107
ˈa	ˈiː	0.1
ˈa	ˈɪə̯	0.089
ˈeː	ˈaː	0.236
ˈeː	ˈɪ	0.23
ˈeː	ˈɛi̯	0.137
ˈeː	ˈiə̯	0.136
ˈeː	ˈɛ	0.09
ˈeː	ˈeː	0.062
ˈiː	ˈi	0.533
ˈiː	j	0.291
ˈiː	ˈiː	0.163
ˈoː	ˈiə̯	0.337
ˈoː	ˈoə̯	0.286
ˈoː	ˈy	0.102
ˈoː	ˈa	0.07
ˈoː	ˈɪə̯	0.056
ˈuː	ˈuə̯	0.673
ˈuː	ˈoə̯	0.239
ˈuː	-	0.05
ˈyː	j	0.898
ˈyː	ˈiə̯	0.056
ˈæ	ˈɛ	0.5
ˈæ	ˈɛː	0.5
ˈæː	j	0.568
ˈæː	ˈɛi̯	0.286
ˈæː	ˈø	0.145
ˈøː	ˈɪə̯	0.452
ˈøː	ˈiə̯	0.164
ˈøː	ˈeː	0.088
ˈøː	ˈɪ	0.07
ˈøː	ˈɛ	0.06
ˈøː	ˈuə̯	0.059
ˈœ	ˈɔ	0.307
ˈœ	ˈoə̯	0.225
ˈœ	ˈɪə̯	0.133
ˈœ	ˈu̯o	0.114
ˈœ	ˈi	0.085
ˈœ	ˈuː	0.082
ˈœ	ʋ	0.054
ˈœː	ˈɪə̯	0.582
ˈœː	ˈoə̯	0.418
ˈɑː	ˈaː	0.297
ˈɑː	ˈɛː	0.285
ˈɑː	ˈa	0.227
ˈɑː	ˈɛi̯	0.099
ˈɑː	ˈɪ	0.055
ˈɔ	ˈɔ	0.324
ˈɔ	ˈoə̯	0.294
ˈɔ	ˈɪ	0.18
ˈɔ	ˈuː	0.123
ˈɛ	ˈɪ	0.223
ˈɛ	ˈɛ	0.193
ˈɛ	ˈɛi̯	0.103
ˈɛ	ˈiː	0.09
ˈɛ	ˈa	0.081
ˈɛ	ˈøə̯	0.072
ˈɛ	ˈaː	0.069
ˈɛ	j	0.068
ˈɛː	ˈɪə̯	0.207
ˈɛː	ˈɛː	0.189
ˈɛː	ˈiə̯	0.185
ˈɛː	ˈoə̯	0.12
ˈɛː	ˈaː	0.11
ˈɛː	ˈɪ	0.083
ˈɛː	ˈɛi̯	0.07
ˈɪ	ˈɪ	0.68
ˈɪ	ˈiː	0.162
ˈɪ	ˈi	0.132
ˈɵ	ˈɔ	0.253
ˈɵ	ˈuː	0.216
ˈɵ	ˈu	0.201
ˈɵ	ˈɪ	0.145
ˈɵ	ˈeː	0.083
ˈɵ	ʋ_ˈɔ	0.069
ˈʉː	-	0.222
ˈʉː	ˈuː	0.183
ˈʉː	ˈɪ	0.121
ˈʉː	ˈɪə̯	0.104
ˈʉː	ˈiː	0.086
ˈʉː	ˈoː	0.075
ˈʊ	ˈu	0.383
ˈʊ	ˈoː	0.253
ˈʊ	ˈɔ	0.253
ˈʊ	ʋ	0.111
ˈʏ	ˈɛ	0.236
ˈʏ	ˈɛː	0.221
ˈʏ	ˈø	0.127
ˈʏ	ˈɔu̯	0.127
ˈʏ	ˈɪ	0.127
ˈʏ	ˈy	0.091
ˈʏ	ˈyː	0.07
