North Frisian	Bavarian	probability
b	b̥	0.964
d	d̥	0.64
d	t	0.249
d	-	0.088
dʲ	d̥	0.799
dʲ	t	0.146
dʲ	d	0.054
f	f	0.837
f	b̥	0.163
h	h	1.0
i	-	0.651
i	i	0.323
j	-	0.414
j	ɡ̊	0.389
j	ˈai̯	0.088
j	k	0.055
k	kʰ	0.352
k	x	0.305
k	k	0.097
k	ç	0.093
k	ɡ̊	0.083
k	-	0.069
l	l	0.525
l	j	0.426
lʲ	j	0.694
lʲ	i	0.223
lʲ	a	0.082
m	m	0.94
m	-	0.06
n	n	0.888
n	-	0.061
n	ŋ	0.051
nʲ	n	1.0
p	f	0.878
p	p͡f	0.068
p	p	0.054
r	r	0.518
r	ɐ	0.411
r	-	0.071
s	s	0.641
s	ʃ	0.245
s	-	0.061
t	ʦ	0.401
t	t	0.251
t	d̥	0.198
t	s	0.151
tʲ	s	0.797
tʲ	d̥	0.203
v	ʋ	0.659
v	m	0.11
v	b̥	0.102
v	f	0.071
v	-	0.058
w	ɡ̊	0.65
w	-	0.177
w	a	0.172
x	x	1.0
z	s	0.908
ŋ	ŋ	1.0
ə	n	0.384
ə	a	0.368
ə	-	0.17
ɛi̯	eɐ̯	1.0
ɡ	ɡ̊	1.0
ʃ	ʃ	0.931
ʃ	kʰ	0.064
ˈa	ˈɛ	0.163
ˈa	ˈe	0.153
ˈa	-	0.141
ˈa	ˈa	0.116
ˈa	ˈu	0.101
ˈa	ˈeː	0.079
ˈa	ˈʏ	0.075
ˈa	ˈi	0.06
ˈai̯	ˈi	0.646
ˈai̯	ˈai̯	0.234
ˈai̯	ˈeː	0.119
ˈaː	ˈi	0.358
ˈaː	ˈo	0.33
ˈaː	ˈu	0.312
ˈeː	ˈe	0.235
ˈeː	ˈi	0.156
ˈeː	ˈoɐ̯	0.133
ˈeː	ˈeː	0.127
ˈeː	ˈo	0.101
ˈeː	ˈu	0.078
ˈeː	ˈɛ	0.058
ˈi	ˈi	0.459
ˈi	ˈai̯	0.377
ˈi	ˈeː	0.136
ˈiː	ˈoɐ̯	0.21
ˈiː	ˈe	0.165
ˈiː	ˈeː	0.098
ˈiː	ˈeɐ̯	0.098
ˈiː	ˈi	0.078
ˈiː	ˈai̯	0.063
ˈiː	ˈiɐ̯	0.058
ˈiː	ˈɛː	0.058
ˈiː	ˈɒː	0.057
ˈu	ˈuɐ̯	0.672
ˈu	ˈi	0.328
ˈuː	ˈaː	0.304
ˈuː	ˈoɐ̯	0.222
ˈuː	ˈeː	0.143
ˈuː	ˈau̯	0.099
ˈuː	ˈou̯	0.099
ˈuː	ˈa	0.097
ˈyː	ˈai̯	0.245
ˈyː	ˈau̯	0.227
ˈyː	ˈɔ	0.12
ˈyː	ˈu	0.11
ˈyː	ˈou̯	0.105
ˈyː	ˈoɐ̯	0.06
ˈyː	ˈo	0.056
ˈøː	ˈau̯	0.478
ˈøː	a	0.299
ˈøː	ˈoː	0.189
ˈœ	ˈuɐ̯	0.235
ˈœ	ˈo	0.215
ˈœ	ˈɛ	0.205
ˈœ	ˈi	0.165
ˈœ	ˈa	0.127
ˈœ	ˈɔ	0.053
ˈœi̯	ˈuɐ̯	1.0
ˈɒ	ˈo	0.416
ˈɒ	ˈiɐ̯	0.252
ˈɒ	ˈɔ	0.147
ˈɒ	ˈoɐ̯	0.091
ˈɒː	ˈoː	0.31
ˈɒː	ˈɒ	0.245
ˈɒː	ˈo	0.187
ˈɒː	ˈɒː	0.158
ˈɒː	ˈai̯	0.1
ˈɔ	ˈoɐ̯	0.433
ˈɔ	ˈi	0.224
ˈɔ	ˈu	0.224
ˈɔ	ˈo	0.12
ˈɔi̯	ˈoɐ̯	1.0
ˈɔu̯	ˈɔ	0.373
ˈɔu̯	ˈi	0.154
ˈɔu̯	ˈoː	0.154
ˈɔu̯	ˈy	0.148
ˈɔu̯	ˈuɐ̯	0.128
ˈɔː	ˈaː	0.292
ˈɔː	ˈɒː	0.206
ˈɔː	ˈɔ	0.111
ˈɔː	ˈu	0.105
ˈɔː	ˈɛ	0.1
ˈɔː	ˈiː	0.082
ˈɔː	ˈiɐ̯	0.065
ˈɛ	ˈuɐ̯	0.391
ˈɛ	ˈiɐ̯	0.296
ˈɛ	ˈi	0.234
ˈɛ	ˈɛ	0.078
ˈɛi̯	ˈoː	0.204
ˈɛi̯	ˈeɐ̯	0.144
ˈɛi̯	ˈɑː	0.13
ˈɛi̯	ˈɔ	0.13
ˈɛi̯	ˈɛ	0.13
ˈɛi̯	ˈu	0.094
ˈɛi̯	ˈa	0.084
ˈɛi̯	ˈiɐ̯	0.084
ˈɛː	ˈoɐ̯	0.378
ˈɛː	ˈɛ	0.327
ˈɛː	ˈe	0.124
ˈɛː	ˈeː	0.086
ˈɛː	ˈɒː	0.086
ˈʊ	ˈu	0.378
ˈʊ	ˈa	0.188
ˈʊ	ˈi	0.143
ˈʊ	ˈo	0.094
ˈʊ	ˈɒ	0.073
ˈʊ	ˈe	0.068
ˈʊ	ʋ_ˈo	0.055
ˈʏ	ˈai̯	0.354
ˈʏ	ˈo	0.215
ˈʏ	ˈu	0.215
ˈʏ	ˈɛ	0.215
