West Frisian	Limburgish	probability
b	b	0.99
d	d	0.708
d	-	0.263
d̥	d̥	0.776
d̥	t	0.099
d̥	d	0.052
f	v	0.784
f	v̥	0.145
h	ɦ	1.0
j	-	0.613
j	ˈeː	0.206
j	j	0.067
j	x	0.061
k	k	0.73
k	-	0.228
l	l	0.92
l	v̥	0.055
m	m	0.948
m	-	0.052
n	n	0.88
n	-	0.101
p	p	1.0
r	ʀ	0.985
s	s	0.471
s	z	0.37
s	ʃ	0.122
t	t	0.829
t	d	0.127
v	β	0.636
v	-	0.15
v	b	0.132
v	v	0.082
z	ɡ	0.441
z	ʀ	0.334
z	s	0.203
ŋ	ŋ	0.925
ŋ	d	0.075
ɕ	z	1.0
ə	ə	0.875
ə	-	0.074
ɡ	ɣ	1.0
ɣ	ɣ	0.447
ɣ	k	0.321
ɣ	x	0.233
ɪ	i	0.717
ɪ	ɪ	0.221
ɪ	ə	0.063
ʋ	β	1.0
ʦ	d	0.437
ʦ	t	0.318
ʦ	k	0.245
ˈa	ˈɑ	0.366
ˈa	ˈaː	0.281
ˈa	ˈɒː	0.109
ˈa	ˈeː	0.078
ˈa	ˈɑː	0.07
ˈaː	ˈaː	0.232
ˈaː	ə	0.2
ˈaː	ˈɑ	0.145
ˈaː	ˈɛː	0.125
ˈaː	ˈeː	0.078
ˈaː	ˈæ	0.078
ˈeː	ˈu	0.27
ˈeː	ˈiː	0.226
ˈeː	ˈɛː	0.177
ˈeː	ˈeː	0.168
ˈeː	ˈi	0.093
ˈeː	ˈøː	0.067
ˈi	ˈiː	0.45
ˈi	ˈɪː	0.249
ˈi	ˈɛː	0.128
ˈi	ˈɪ	0.054
ˈi	ˈøː	0.053
ˈi	ˈɛ	0.052
ˈiə̯	ˈɒː	0.255
ˈiə̯	ˈi	0.228
ˈiə̯	ˈɛː	0.19
ˈiə̯	ˈøː	0.097
ˈiə̯	ˈeː	0.084
ˈiə̯	ˈiː	0.063
ˈiə̯	ˈɛːi̯	0.062
ˈiː	ˈɪː	0.331
ˈiː	ˈiː	0.223
ˈiː	ˈɛː	0.13
ˈiː	ˈɑː	0.112
ˈiː	ˈeː	0.091
ˈiː	ˈɛ	0.064
ˈoə̯	ˈʊː	0.594
ˈoə̯	ˈɒː	0.224
ˈoə̯	ˈøː	0.073
ˈoə̯	ˈœː	0.073
ˈoː	ˈɔu̯	0.484
ˈoː	ˈɔ	0.331
ˈoː	ˈuː	0.118
ˈoː	ˈoː	0.067
ˈu	ˈʊː	0.757
ˈu	ˈʊ	0.181
ˈu	ˈoː	0.062
ˈuə̯	ˈʊː	0.304
ˈuə̯	ˈøː	0.22
ˈuə̯	ˈyː	0.194
ˈuə̯	ˈoː	0.138
ˈuə̯	ˈuː	0.101
ˈuː	ˈuː	0.392
ˈuː	ˈʊː	0.252
ˈuː	ˈœi̯	0.121
ˈuː	ˈu	0.066
ˈuː	-	0.05
ˈu̯o	ˈøː	1.0
ˈy	ˈoː	0.901
ˈy	ˈœ	0.099
ˈyː	ˈuː	0.403
ˈyː	ˈʊː	0.297
ˈyː	ˈʏː	0.209
ˈyː	ˈœi̯	0.09
ˈø	ˈʏː	0.472
ˈø	ˈeː	0.264
ˈø	ˈɒː	0.264
ˈøə̯	ˈʏː	1.0
ˈɔ	ˈɔ	0.263
ˈɔ	ˈʊː	0.172
ˈɔ	-	0.142
ˈɔ	ˈɔː	0.119
ˈɔ	ˈɪ	0.082
ˈɔ	ˈɔu̯	0.064
ˈɔ	ˈæ	0.063
ˈɔ	ˈɪː	0.062
ˈɔu̯	-	0.46
ˈɔu̯	ˈɔu̯	0.411
ˈɔu̯	w	0.129
ˈɔː	ˈɑː	0.598
ˈɔː	ˈeː	0.292
ˈɔː	j	0.11
ˈɛ	ˈæː	0.212
ˈɛ	ˈaː	0.184
ˈɛ	ˈɛːi̯	0.142
ˈɛ	ˈœi̯	0.107
ˈɛ	ˈɛː	0.098
ˈɛ	ˈɪ	0.09
ˈɛ	ˈɛ	0.071
ˈɛi̯	ˈaː	0.302
ˈɛi̯	ˈeː	0.271
ˈɛi̯	ˈɪː	0.221
ˈɛi̯	ˈɛː	0.085
ˈɛi̯	ˈɛ	0.064
ˈɛi̯	ˈæ	0.058
ˈɛː	ˈaː	0.539
ˈɛː	ˈɑ	0.214
ˈɛː	ˈœ	0.187
ˈɛː	ˈɛː	0.06
ˈɪ	ˈɪː	0.243
ˈɪ	-	0.186
ˈɪ	ˈɪ	0.153
ˈɪ	ˈøː	0.075
ˈɪ	ˈʏ	0.071
ˈɪə̯	ˈeː	0.26
ˈɪə̯	ˈɔː	0.142
ˈɪə̯	ˈu	0.139
ˈɪə̯	ˈaː	0.081
ˈɪə̯	ˈi	0.071
ˈɪə̯	ˈʊː	0.071
ˈɪə̯	ˈyː	0.069
ˈɪə̯	ˈuː	0.056
ˈɪə̯	ˈæː	0.056
χ	x	0.803
χ	k	0.145
χ	-	0.052
