Romansch	Lombard	probability
eː	e	1.0
r	r	1.0
z	-	1.0
ɲ	ɲ	1.0
ʒ	-	1.0
ʦː	ʦ	1.0
ˈo	-	1.0
ˈoː	ˈøː	1.0
ˈɛː	ˈɛ	1.0
b	p	0.1
t	ʧ	0.1
w	ˈuː	0.091
w	-	0.711
ʃ	z	0.231
ʥ	b	0.181
ʥ	ʤ	0.231
ʧ	ʃ	0.271
ʧ	ʧ	0.51
ˈa	ˈãː	0.111
ˈu	ˈɔ	0.071
ˈuː	ˈu	0.331
ˈɔ	ˈø	0.071
ˈɔ	ˈøː	0.151
a	e	0.32
a	a	0.422
d	ʧ	0.092
i	y	0.222
m	-	0.062
p	k	0.052
u	ũ	0.112
ʃ	ʃ	0.12
ʎ	ʧ	0.332
ʦ	t	0.352
ʨ	k	0.692
ˈa	ˈa	0.352
ˈe	-	0.062
ˈe	ˈɔ	0.102
ˈe	u	0.102
ˈe	ˈy	0.132
ˈe	a	0.2
ˈi	ˈi	0.392
ˈiː	ˈu	0.202
ˈɔ	ˈu	0.062
m	m	0.883
n	ɲ	0.193
v	p	0.063
ə	-	0.193
ˈa	ˈe	0.063
ˈaː	ˈa	0.873
ˈeː	ˈɛ	0.553
ˈi	ˈy	0.173
ˈu	ˈo	0.073
i	j	0.144
j	ˈɛ	0.24
o	u	0.714
p	p	0.914
u	u	0.54
ŋ	-	0.24
ŋ	k	0.404
ʥ	d	0.314
ˈeː	ˈeː	0.184
ˈɔː	ˈɔ	0.754
ˈɛ	ˈɛ	0.34
d	d	0.895
k	ʧ	0.095
k	k	0.905
l	j	0.105
u	ĩ	0.185
ŋ	n	0.355
ɡ	ɡ	0.795
ʃ	s	0.515
ʎ	-	0.135
ʎ	l	0.145
ʎ	ʤ	0.15
ˈa	-	0.355
ˈu	a	0.055
ˈu	ˈũː	0.395
ˈɛ	ˈĩː	0.055
ˈɛ	ˈɛ̃ː	0.055
ˈɛ	ʋ	0.055
j	-	0.256
l	-	0.116
o	y	0.286
s	s	0.886
t	-	0.086
t	t	0.796
u	o	0.06
ɡ	j	0.096
ʧ	s	0.06
ˈeː	ˈe	0.096
ˈu	ˈu	0.176
ˈɔ	ˈãː	0.26
ˈɔː	ˈa	0.246
ˈɛ	ˈø	0.116
f	f	0.967
i	-	0.177
n	-	0.257
ʃ	ʤ	0.107
ʥ	-	0.227
ʨ	t	0.057
ʨ	ʧ	0.217
ˈaː	ˈaː	0.127
ˈe	ˈe	0.337
ˈi	ˈe	0.067
ˈɔ	ˈɔ	0.327
ˈɛ	ˈe	0.07
i	a	0.078
j	ˈe	0.258
ə	e	0.08
ə	a	0.618
ɡ	ʤ	0.108
ʎ	j	0.238
ʦ	ʦ	0.648
ʧ	ʦ	0.158
ˈeː	ˈa	0.168
ˈi	ˈĩː	0.198
ˈiː	ˈi	0.798
ˈu	ˈy	0.088
ˈu	ˈyː	0.088
ˈɔ	ˈa	0.128
ˈɛ	ˈẽː	0.208
a	ˈa	0.259
b	b	0.9
i	i	0.379
j	j	0.159
l	l	0.779
n	n	0.529
u	ˈyː	0.059
v	ʋ	0.779
ˈuː	ˈyː	0.669
