Elfdalian	Elfdalian	probability
ˈʏ	ˈœ	1.0
ˈʉ̃ːə̯	w	1.0
ˈɛː	-	1.0
ˈɔ̃ː	-	1.0
ˈɔ	ˈa	1.0
ˈɑː_j	ˈɛː	1.0
ˈœː	ˈʊə̯	1.0
ˈœ	ˈə	1.0
ˈyːœ̯	ˈu	1.0
ˈyœ̯	-	1.0
ˈo_l	ˈœu̯	1.0
ˈo	-	1.0
ʥː	χ	1.0
ʥ	χ	1.0
ʉ_#>	#>	1.0
ʉ	-	1.0
ɪ	-	1.0
ɣ_ɛ	ɫ	1.0
ɣ	χ	1.0
ɡː	χ	1.0
ɔ	-	1.0
ɑ̃	-	1.0
ɑ	-	1.0
ŋ_ɡ	ŋ	1.0
w	v	1.0
v	v̥	1.0
tʰ	d	1.0
t_ɔ	t	1.0
t	t	1.0
sː	n_s	1.0
s_t	s	1.0
s	s	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
n_#>	#>	1.0
mː	m	1.0
m	m	1.0
l̥	s_ɫ	1.0
lː	ɫ	1.0
l	ɫ	1.0
kʰ	k	1.0
k_t	χ	1.0
k_#>	#>	1.0
k	k	1.0
j_ˈʉːə̯	ˈi	1.0
f	v̥	1.0
d_#>	d̥_#>	1.0
b	b	1.0
a	-	1.0
<#_ˈʉ	<#_v_ˈɔ	1.0
<#_ɡ	<#_χ	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
r	r	0.931
d	d	0.9
ɽ	ɫ	0.897
n	n	0.867
ˈɪ	ˈə	0.833
ɛ	ə	0.8
ˈɑ	ˈa	0.786
ˈɑːu̯	ˈœɪ̯	0.75
ʨ	k	0.7
ˈʉ	ˈɔ	0.692
ˈɑːi̯	ˈəɪ̯	0.667
ˈæ	-	0.667
tː	t	0.667
<#	<#_ɦ	0.667
ˈʉːə̯	ˈu	0.643
ð	d̥	0.632
ˈʏː	-	0.6
ˈɔː	ˈɑː	0.556
ˈɪː	ˈəɪ̯	0.5
ˈɑː	ˈɑː	0.5
ˈɑː	ˈa	0.5
ˈæː	ˈʊə̯	0.5
ˈæː	-	0.5
ˈoː	-	0.5
ˈiːe̯	ˈɪə̯	0.5
ˈiːe̯	ˈəɪ̯	0.5
kː	ŋ_k	0.5
kː	k	0.5
j	-	0.462
#>	n_#>	0.462
ˈʏː	ˈyː	0.4
nː	n	0.364
ˈʉː	-	0.333
ˈʉə̯	ˈɔ	0.333
ˈɑːi̯	-	0.333
ˈæ	ˈa	0.333
ˈoː	ɦ_ˈʊə̯	0.333
tː	χ_t	0.333
ˈɛ	-	0.308
j	ˈi	0.308
#>	χ_#>	0.308
ʨ	-	0.3
nː	n_d̥	0.273
ð	-	0.263
ˈɪː	ˈɪə̯	0.25
ˈɪː	ˈi	0.25
ˈɑːu̯	-	0.25
<#	<#_v	0.238
ˈɛ	ˈɪə̯	0.231
ˈɛ	ˈɛ	0.231
ˈɛ	ˈæ	0.231
j	ˈə	0.231
#>	d̥_#>	0.231
ˈʉː	ˈʊə̯	0.222
ˈʉː	ˈœɪ̯	0.222
ˈʉː	ə	0.222
ˈʉə̯	ˈʊə̯_r	0.222
ˈʉə̯	ˈʊə̯	0.222
ˈʉə̯	-	0.222
ˈɔː	ˈʊə̯	0.222
ˈɔː	ˈa_ɫ	0.222
ˈʉːə̯	-	0.214
ˈɑ	ˈɑː	0.214
ɛ	-	0.2
nː	ə_ŋ	0.182
nː	r	0.182
ˈɪ	-	0.167
ˈoː	ˈoː	0.167
ˈʉ	ˈœu̯	0.154
ˈʉ	ˈœ	0.154
ˈʉːə̯	ˈi	0.143
ð	j	0.105
ɽ	-	0.103
d	d̥	0.1
<#	<#_d	0.095
n	ə_r	0.067
n	ə	0.067
