Ripuarian	Dutch	probability
b	b	0.959
d	d	0.9
d	-	0.1
e	i	1.0
f	v	0.595
f	f	0.239
f	p	0.166
h	ɦ	0.955
j	χ	0.939
j	j	0.061
k	k	0.61
k	χ	0.17
k	t	0.169
l	ɫ	0.93
l	-	0.07
m	m	0.943
m	-	0.057
n	n	0.954
p	p	0.779
p	f	0.221
s	t	0.56
s	s	0.375
s	z	0.064
t	t	0.867
t	ɾ_t	0.075
t	d	0.058
v	v	0.766
v	ʋ	0.186
x	χ	0.832
x	k	0.168
z	z	1.0
ŋ	n	0.598
ŋ	ŋ	0.402
ɐ	ɾ	0.612
ɐ	ə_ɾ	0.254
ɐ	-	0.086
ɕ	χ	0.61
ɕ	k	0.376
ə	ə	0.897
ə	-	0.086
ɣ	χ	1.0
ɪ	ɪ	0.453
ɪ	ə	0.417
ɪ	-	0.13
ʀ	ɾ	0.964
ʃ	s	0.87
ʃ	z	0.13
ʋ	ʋ	1.0
ʦ	t	0.821
ʦ	ɾ_t	0.14
ˈa	ˈɑ	0.702
ˈa	ˈɪ	0.143
ˈa	ˈɛ	0.062
ˈa	ˈɑu̯	0.057
ˈaʊ̯	ˈoː	0.39
ˈaʊ̯	ˈɑu̯	0.334
ˈaʊ̯	ˈœy̯	0.237
ˈaː	ˈaː	0.453
ˈaː	ˈɑ	0.427
ˈaː	ˈɛ	0.071
ˈe	ˈɪ	0.757
ˈe	ˈɛi̯	0.087
ˈe	χ_ˈɪ	0.058
ˈeɪ̯	ˈɛi̯	0.556
ˈeɪ̯	ˈeː	0.26
ˈeɪ̯	ˈi	0.184
ˈeː	ˈi	0.531
ˈeː	ˈeː	0.351
ˈeː	ˈɛ	0.058
ˈiː	ˈɛi̯	0.303
ˈiː	ˈi	0.253
ˈiː	ˈaː	0.139
ˈiː	ˈɪ	0.09
ˈiː	ˈeː	0.083
ˈiː	ˈɛ	0.069
ˈiː	w	0.063
ˈo	ˈɔ	0.735
ˈo	ˈu	0.094
ˈo	ˈɑu̯	0.077
ˈo	ˈaː	0.074
ˈoʊ̯	ˈoː	1.0
ˈoː	ˈaː	0.381
ˈoː	ˈoː	0.298
ˈoː	ˈu	0.295
ˈu	ˈoː	0.867
ˈu	ˈɔ	0.133
ˈuː	ˈœy̯	0.557
ˈuː	ˈoː	0.376
ˈuː	ˈyː	0.066
ˈyː	ˈoː	0.617
ˈyː	ˈœy̯	0.184
ˈyː	ˈyː	0.098
ˈyː	j	0.075
ˈøʏ̯	w	1.0
ˈøː	ˈu	0.506
ˈøː	ˈoː	0.245
ˈøː	ˈaː	0.114
ˈøː	-	0.104
ˈœ	ˈʏ	0.854
ˈœ	ˈi	0.085
ˈœ	ˈɛi̯	0.061
ˈɔ	ˈɔ	0.687
ˈɔ	ˈoː	0.226
ˈɔ	ˈaː	0.087
ˈɛ	ˈɛ	0.372
ˈɛ	ˈeː	0.242
ˈɛ	ˈɑ	0.168
ˈɛ	ˈɛi̯	0.076
ˈɛ	ˈaː	0.057
ˈɛ	ˈɪ	0.052
ˈɛː	ˈeː	0.455
ˈɛː	ˈɛ	0.333
ˈɛː	ˈaː	0.186
ˈɪ	ˈɪ	0.639
ˈɪ	ˈɛi̯	0.208
ˈɪ	ˈɛ	0.126
ˈʊ	ˈɔ	1.0
ˈʏ	ˈoː	0.459
ˈʏ	ˈeː	0.25
ˈʏ	ˈi	0.171
ˈʏ	ˈɛ	0.081
