Xiang	Xiang	probability
ʦʰ	ʦʰ	1.0
ʂ	s_j	1.0
ɥ	w	1.0
ɒ_w	o	1.0
ŋ	ŋ	1.0
æ	o	1.0
¹³	⁵³	1.0
²¹	²⁴²	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
p	p	1.0
õ	-	1.0
nʲ	nˡ	1.0
m	m	1.0
l̃	nˡ	1.0
l	l̃	1.0
kʰ	kʰ	1.0
k	k	1.0
a_¹³	a_⁵³	1.0
<#_ŋ	<#	1.0
<#_w	<#	1.0
³³	⁵⁵	0.943
n	ŋ	0.884
⁴¹	³³	0.862
w	w	0.81
ʨ	k	0.8
s	s	0.778
⁴⁵	²¹³	0.75
²⁴	²⁴	0.727
t	t	0.714
ẽ	ŋ	0.714
ʨʰ	ʦʰ	0.667
ɕ	s	0.667
z̩	i	0.667
x	h	0.625
ɸ	p	0.6
u	o	0.6
o	-	0.6
e	-	0.6
ʦ	ʦ	0.538
ɒ	e	0.5
ɒ	-	0.5
ʦ	t	0.462
j	j	0.444
y	y	0.429
ɸ	h	0.4
u	-	0.4
o	o	0.4
e	u	0.4
x	-	0.375
a	a	0.367
<#	<#_h	0.364
ʨʰ	kʰ	0.333
ɕ	-	0.333
z̩	j_e	0.333
ɤ	ɔ	0.3
ɤ	j	0.3
y	u	0.286
y	-	0.286
t	tʰ	0.286
ẽ	o_ŋ	0.286
²⁴	ʔ_⁵	0.273
<#	<#_ʦ	0.273
ə	ø	0.269
i	i	0.267
j	-	0.259
⁴⁵	²⁴²	0.25
s	-	0.222
ʨ	-	0.2
ɤ	ɑ_ʔ	0.2
ɤ	j_ʔ	0.2
i	ɛ_j	0.2
i	j	0.2
i	a	0.2
ə	a	0.192
ə	-	0.192
<#	<#_ŋ	0.182
<#	<#_nˡ	0.182
ə	w	0.154
⁴¹	²⁴²	0.138
i	ɛ	0.133
a	o_w	0.133
n	ɥ_ŋ	0.116
ə	e	0.115
j	ɥ	0.111
j	j_ɛ	0.111
a	ɑ	0.1
a	w_ɔ	0.1
a	o	0.1
w	ɥ_ʔ	0.095
w	-	0.095
ə	w_o	0.077
j	o	0.074
a	w_ɑ	0.067
a	u	0.067
a	-	0.067
³³	a_⁵⁵	0.057
