Eastern Lombard	Aragonese	probability
u	o	1.0
w	w	1.0
ŋ	ŋ	1.0
ʋ	-	1.0
ˈy	ˈu	1.0
d	-	0.071
e	-	0.181
m	m	0.971
n	-	0.1
n	n	0.881
s	-	0.091
s	s	0.451
z	ʧ	0.801
ɲ	ɲ_o	0.221
ˈa	ˈa	0.641
ˈɛ	ˈe	0.541
b	β	0.232
d	ʝ	0.072
f	f	0.842
s	j_ʃ	0.062
ˈe	ˈe	0.712
ˈi	ˈi_n	0.112
ˈo	ˈu	0.162
ˈo	ˈo	0.452
ˈø	o	0.112
ˈø	ɣ_o	0.202
ˈɔ	ˈo	0.192
ˈɔ	w_ˈe	0.762
ˈɛ	j_ˈe	0.272
l	l_o	0.073
l	l	0.753
o	o	0.893
t	t	0.523
z	s	0.053
ˈe	j_ˈe	0.103
ˈi	ˈe	0.093
ˈø	ˈu	0.493
ˈɛ	ʝ_ˈe	0.073
d	d	0.54
e	e	0.464
i	i	0.64
r	ɾ	0.624
ɲ	n	0.24
ʧ	-	0.44
ˈi	ˈe_ɾ	0.064
b	b	0.635
p	p	0.995
t	t_o	0.125
t	ð	0.15
ɡ	ɡ	0.395
ɡ	ɣ	0.575
ʤ	-	0.465
ˈa	ˈa_ɾ	0.195
ˈi	ˈi_ɾ	0.125
ˈø	ˈo	0.115
d	ð	0.316
i	e	0.36
k	k	0.86
o	u	0.06
z	-	0.146
ʧ	j	0.56
ˈe	ˈi	0.176
ˈu	ˈo	0.736
ˈɛ	e	0.06
j	-	0.37
l	ʎ_o	0.07
ʤ	ʎ	0.147
ˈo	ˈa	0.127
ˈu	ˈe	0.197
ˈø	w	0.077
a	a	0.908
b	-	0.088
e	i	0.128
f	-	0.158
k	-	0.078
l	ʎ	0.058
r	-	0.08
s	θ	0.318
t	-	0.148
ʤ	ʧ	0.388
ˈi	j	0.098
e	a	0.149
j	ʎ	0.129
j	l	0.489
r	r	0.109
r	ɾ_o	0.179
ɲ	ɲ	0.539
ˈa	ˈe	0.059
ˈa	ˈa_n	0.089
ˈi	ˈi	0.509
ˈo	w_ˈe	0.259
