Elfdalian	Old English	probability
ˈɪ̃ː	ˈeː	1.0
ˈɛ_r	r	1.0
ˈɔ̃ː	-	1.0
ˈɔː_r	ˈæːɑ̯_r	1.0
ˈɑːi̯	ˈiː	1.0
ˈœ	ˈiy̯	1.0
ˈæː	-	1.0
ˈyːœ̯	ˈeː	1.0
ˈyœ̯	-	1.0
ˈo_kː	kː	1.0
ˈiːe̯	ˈɑː	1.0
ʨː	ʧː	1.0
ʥː	-	1.0
ʥ	j	1.0
ʏ	e	1.0
ɪ	-	1.0
ɛ_n	n	1.0
ɔ̃	iːy̯	1.0
ɑ̃	-	1.0
w	w	1.0
tʰ	θ	1.0
t	t	1.0
sː	s	1.0
s_ʨ	ʃ	1.0
s_k	ʃ	1.0
rː	-	1.0
r_d	r_d	1.0
pː	pː	1.0
pʰ	p	1.0
p	p	1.0
mː	mː	1.0
m	m	1.0
l̥	l	1.0
j_ˈʉːə̯	ˈeːo̯	1.0
d	d	1.0
b	b	1.0
a	ɑ	1.0
r	r	0.94
f	f	0.898
ˈɪ	ˈi	0.889
ɽ	l	0.884
ɡ	ɡ	0.867
ɔ	ɑ	0.865
kʰ	k	0.864
s	s	0.835
ð	d	0.814
ˈʉ	ˈu	0.773
ˈɑː	ˈæ	0.769
n	n	0.769
ɑ	ɑ	0.679
ŋ	ŋ	0.679
ˈɑːu̯	ˈuː	0.669
tː	t	0.643
kː	k	0.638
ˈo	ˈo	0.621
l	ɫ	0.608
ʨ	ʧ_ˈi	0.596
ˈʏː	-	0.589
v	v	0.583
ˈʉː	-	0.571
ˈɔː	ˈæː	0.567
ˈoː	-	0.538
ˈæ	ˈeo̯	0.53
ˈʉə̯	ˈo	0.509
lː	ɫː	0.506
ˈœː	ˈæːɑ̯	0.505
ˈʏ	ˈy	0.5
ˈʏ	-	0.5
ˈɛː	ˈe	0.5
ˈɛː	-	0.5
ˈɔ	ˈɑ	0.5
ˈɔ	ˈæɑ̯	0.5
ɡː	ʤ	0.5
lː	-	0.494
ɛ	e	0.492
ˈɛ	ˈe	0.479
ɣ	ɣ	0.471
ˈæ	-	0.47
j	-	0.442
ʉ	o	0.439
ˈɑ	ˈɑ	0.425
k	ʧ	0.419
ˈʏː	ˈiːy̯	0.411
ʨ	ʧ	0.404
l	e	0.392
ˈo	ˈæɑ̯	0.379
ˈɑ	ˈæɑ̯	0.376
kː	ŋ_k	0.362
ˈʉːə̯	ˈoː	0.361
v	f	0.36
ˈɪː	ˈi	0.358
ˈɪː	-	0.358
ʉ	i	0.339
nː	nː	0.337
ˈɑːu̯	-	0.331
nː	n	0.329
ˈʉə̯	ˈy	0.328
ˈœː	ˈiːy̯	0.324
ŋ	-	0.321
ˈʉːə̯	ˈeːo̯	0.312
ɛ	o	0.307
ɡː	-	0.304
k	k	0.304
ɣ	j	0.301
ˈɛ	-	0.289
ˈɪː	ˈiː	0.284
k	ç	0.277
tː	x_t	0.246
ˈʉː	ˈu	0.242
ˈɑː	ˈɑ	0.231
ˈoː	ˈæːɑ̯	0.231
ˈoː	h_ˈæːɑ̯	0.231
ɣ	ɣ̊	0.228
ɑ	e	0.228
ˈɔː	ˈæɑ̯_ɫ	0.223
ʉ	e	0.223
j	ˈe	0.212
ˈɔː	ˈɑː	0.211
ɛ	-	0.201
ɡː	ʤː	0.196
ˈʉː	ˈuː	0.187
ˈʉːə̯	ɫ	0.182
n	-	0.176
ˈœː	-	0.172
nː	θ	0.167
nː	r_n	0.167
ˈʉə̯	-	0.163
j	h	0.149
ˈʉːə̯	-	0.145
j	w	0.138
kʰ	ʧ	0.136
ɔ	eo̯	0.135
ɡ	j	0.133
ð	θ	0.127
ˈɑ	-	0.117
ˈɛ	ˈɑː	0.116
ˈɛ	ˈeːo̯	0.116
ɽ	ɫ	0.116
ˈʉ	ˈy	0.113
ˈʉ	ˈo	0.113
ˈɪ	-	0.111
tː	tː	0.111
f	f_ˈo	0.102
s	s_w	0.098
ɑ	-	0.093
ˈɑ	ˈæ	0.083
ð	dː	0.059
j	ˈɛ	0.058
v	bː	0.057
n	n_ˈo	0.054
