Portuguese	Portuguese	probability
β	β	1.0
ˈɨ_#>	ˈe_#>	1.0
ˈɐ_ɲ	ˈa_ɲ	1.0
ˈɐ_j	ˈe	1.0
ˈũ	ˈu	1.0
ˈo_w	ˈo	1.0
ˈo_j	ˈo	1.0
ˈĩ	-	1.0
ˈi_ɲ	ˈi_n	1.0
ˈi_u	ˈi_o	1.0
ˈẽ	ˈe_n	1.0
ˈe_k	ˈe_k	1.0
ˈa	ˈa	1.0
ʎ	x	1.0
ʃ_t	s_t	1.0
ʁ	r	1.0
ɾ_ɐ	ɾ_a	1.0
ɾ_u	ɾ_o	1.0
ɾ_n	ɾ_n	1.0
ɾ_#>	ɾ_#>	1.0
ɾ	ɾ	1.0
ɫ_#>	l_#>	1.0
ɫ	l	1.0
ɨ_#>	#>	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ɐ_ɾ	a_ɾ	1.0
ð	ð	1.0
w̃_#>	n_#>	1.0
w̃	n_o	1.0
ũ	o_m	1.0
u_ɾ	o_ɾ	1.0
p_u	p_o	1.0
p	p	1.0
õ	o_n	1.0
o	-	1.0
l_ˈɐ	l_ˈe	1.0
k	k	1.0
j_t	ʧ	1.0
j_#>	j_#>	1.0
ĩ	-	1.0
i	i	1.0
f	f	1.0
ẽ	e_n	1.0
d	d	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʒ	<#_x	1.0
<#_ʃ	<#_ɟ͡ʝ	1.0
<#_ɔ	<#_o	1.0
<#_ɐ	<#_a	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_i	<#_e	1.0
<#_f	<#	1.0
<#	<#_ɟ͡ʝ	1.0
u	o	0.952
ˈu	ˈu	0.909
ɐ	a	0.892
ˈi	ˈi	0.88
ˈɛ	j_ˈe	0.875
m	m	0.842
ʃ	s	0.818
t	t	0.806
ɨ	e	0.804
z	θ	0.75
b	b	0.75
l	l	0.733
ˈe	ˈe	0.727
n	ɲ	0.714
#>	o_#>	0.714
ˈɐ	ˈe	0.7
ɲ	ɲ	0.667
ɐ̃	-	0.667
s	s	0.633
ˈɛ_l	ˈi_ʝ	0.6
j̃	n	0.6
ʃ_#>	s_#>	0.571
ˈo	ˈo	0.529
ˈõ	ˈo_n	0.5
ˈõ	ˈe_n	0.5
ʒ	θ	0.5
ʒ	-	0.5
j	-	0.5
ˈɔ	w_ˈe	0.478
ˈɐ̃	ˈa	0.476
ˈo	w_ˈe	0.471
v	β	0.463
ˈɔ	ˈo	0.435
ʃ_#>	θ_#>	0.429
v	b	0.415
ˈɛ_l	m_ˈo	0.4
j̃	ɾ_e	0.4
s	θ	0.367
w	w	0.357
ɲ	n	0.333
ɐ̃	e	0.333
ˈɐ	ˈa	0.3
ˈɐ̃	ˈa_n	0.286
w	l	0.286
n	n	0.286
j	j	0.286
#>	a_#>	0.286
l	ʝ	0.267
z	-	0.25
w	-	0.214
j	n	0.214
ʃ	x	0.182
m	m_b	0.158
ˈe	ˈi	0.152
ˈɐ̃	ˈo	0.143
w	ˈo	0.143
ˈɛ	ˈe	0.125
b	e_ɾ	0.125
b	b_w	0.125
ˈi	-	0.12
ɨ	-	0.109
t	ʧ	0.097
t	n_t	0.097
ˈɐ̃	j_ˈe	0.095
ˈu	-	0.091
ˈɔ	ˈo_t	0.087
ɨ	ɾ_e	0.087
v	b_j	0.073
ˈe	e_ˈe	0.061
ˈe	-	0.061
