Ladin	Ladin	probability
ˈɛ_k	ɣ_u	1.0
ˈɛ_f	u	1.0
ˈu	ˈu	1.0
ˈa	ˈa	1.0
ʨ_ˈɛ	k_ˈa	1.0
ʒ_ɡ	b	1.0
w_ˈɛ	ˈɔ	1.0
w_ʃ	ɣ_ɛ	1.0
r_t	ɾ	1.0
r_a	ɾ_a	1.0
p	p	1.0
o_l	u_l	1.0
l_ˈe	l_ˈi	1.0
l_#>	u_#>	1.0
k_l	k_ɾ	1.0
j_ˈɛ	ˈɛ	1.0
i	i	1.0
f_l	f_ɾ	1.0
e_s	a_z	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
a	a	0.939
f	f	0.905
ʨ	k	0.895
m	m	0.882
t	t	0.842
n	n	0.833
ˈi	ˈi	0.821
r	ɾ	0.773
s	s	0.765
k	k	0.76
ˈe_j	ˈɛ	0.714
v	b	0.714
ŋ	m	0.667
ʧ	k	0.6
ɲ	n_ʣ	0.6
d_l	j	0.6
ˈɔ	ˈɔ	0.571
ʃ	i_s	0.571
d	ð	0.538
ˈo	ˈu	0.517
ʦ	ʦ	0.5
ʦ	-	0.5
ʥ	ɣ	0.5
ʥ	-	0.5
<#	<#_k	0.5
<#	<#_i	0.5
l	l	0.481
#>	u_#>	0.466
ɡ	b	0.444
#>	ɛ_#>	0.415
ʧ	-	0.4
ɲ	-	0.4
o	ɔ	0.4
d_l	u	0.4
j	ɛ	0.389
ˈɛ	ˈe	0.349
ˈo	ˈɔ	0.345
ˈɔ	ˈo	0.333
ʒ	-	0.333
ɡ	ɡ	0.333
ŋ	-	0.333
w	-	0.333
d	-	0.308
ˈe_j	ˈi	0.286
v	-	0.286
ˈɛ	ˈɛ	0.279
w	ˈo	0.278
w	ɾ	0.278
ˈe	ˈi	0.27
ˈe	ˈa_ɾ	0.27
l	ɖː	0.259
ʒ	ʣ	0.25
ʒ	b	0.25
ˈɛ	ˈa	0.233
ɡ	ɣ	0.222
ʃ	ɣ_ɛ	0.214
ʃ	s_k	0.214
e	ɛ	0.214
e	e	0.214
o	ˈɔ	0.2
o	o	0.2
o	-	0.2
l	ɾ	0.185
ʒ	z	0.167
j	ˈɛ	0.167
j	j	0.167
j	-	0.167
d	ɡ	0.154
e	ɛ_ɾ	0.143
e	i	0.143
e	a	0.143
ˈo	ˈo	0.138
r	r	0.136
s	z	0.118
s	j_z	0.118
m	m_i	0.118
w	ˈɔ	0.111
j	ʣ_u	0.111
ˈe	ˈa	0.108
ˈi	ˈi_ʣ	0.107
ʨ	-	0.105
ˈɔ	-	0.095
f	-	0.095
ˈɛ	-	0.093
ˈe	ˈɛ	0.081
ˈe	ˈe	0.081
ˈe	ɛ	0.081
k	ɣ_u	0.08
k	b_ɛ	0.08
k	b	0.08
t	ð_u	0.079
t	ð	0.079
n	nː	0.074
l	j	0.074
ˈi	-	0.071
e	ɔ	0.071
e	u	0.071
a	-	0.061
n	-	0.056
ˈe	ɾ	0.054
ˈe	-	0.054
