Standard Serbian	Russian	probability
ʨ	ʨ	1.0
ʧ	ʨ	1.0
ʦ	ʦ	1.0
ʎ	lʲ	1.0
ʃ	ʂ	1.0
ɲ	nʲ	1.0
x	x	1.0
uː_̌	ʊ	1.0
t_i	tʲ	1.0
s_a	s	1.0
r̩ː	ɵ	1.0
r̩	e	1.0
oː	o	1.0
o_̌	ɐ	1.0
l_a	ɫ_a	1.0
i_̂	ɨ_ˈ	1.0
eː_̌	ɪ	1.0
aː_̌	ɐ	1.0
̂	ˈ	0.921
ɡ	ɡ	0.868
k	k	0.839
iː	ɨ	0.807
e_̂	e_ˈ	0.802
e_̌	ɪ	0.789
d	d	0.777
aː	o	0.68
p	pʲ	0.675
s	s	0.637
b	b	0.628
ʒ	ʐ	0.617
z	z	0.587
i	i	0.581
n	n	0.576
̌	ˈ	0.571
l	ɫ	0.57
m	mʲ	0.569
o	o	0.562
t	t	0.548
u	-	0.487
ʋ	v	0.468
r	rʲ	0.454
t	tʲ	0.452
e	e	0.447
m	m	0.431
l	lʲ	0.43
̌	-	0.429
uː	u	0.395
ʋ	vʲ	0.392
ʒ	ʐ̊	0.383
uː	o	0.369
s	sʲ	0.363
e	e_ˈ	0.344
p	p	0.325
r	r	0.321
aː	a	0.32
z	zʲ	0.315
n	nʲ	0.293
u	u	0.285
eː	e	0.264
a	a	0.235
b	bʲ	0.231
eː	ɪ	0.23
u	v	0.228
e_̌	ɨ	0.211
e	ɪ	0.208
d	dʲ	0.207
a	a_ˈ	0.202
o	ə	0.201
e_̂	ˈ	0.198
iː	i	0.193
a	ə	0.18
uː	ʊ_x	0.158
a	-	0.153
i	ɪ	0.142
i	ɨ_ˈ	0.141
a	o	0.139
i	i_ˈ	0.136
eː	-	0.134
r	ɐ_r	0.132
n	n_ɨ	0.131
o	ɐ	0.124
b	b̥	0.115
ɡ	ɡ̊	0.104
z	z̥	0.098
eː	ɵ	0.098
eː	ɛ	0.098
eː	a	0.098
ʋ	j	0.095
r	r_ɨ	0.093
o	ɫ	0.089
k	-	0.083
̂	o_ˈ	0.079
uː	ʉ	0.078
k	j	0.078
eː	æ	0.076
