Swedish	Swedish	probability
ˈɪ	ˈɪ	1.0
ˈɑː_d	ˈa_d	1.0
ˈœː	-	1.0
ˈœ_l	l	1.0
ˈæː	-	1.0
ˈa_l	ˈaː	1.0
ʊ_#>	#>	1.0
ʈ	s	1.0
ʂ	ˈœ	1.0
ɳː	ɐ_n	1.0
ɪ	-	1.0
ɡː_#>	ɡ_#>	1.0
ɡ_#>	ç_#>	1.0
ɛ_r	ɐ	1.0
ɛ	-	1.0
ɖ	ɐ_d	1.0
ɔ	aɪ̯	1.0
ŋː	ŋ	1.0
v_a	m	1.0
v_#>	f_#>	1.0
v	v	1.0
t_a	d_n	1.0
s_t	s	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
r_m	m	1.0
r_a	ɐ	1.0
r_#>	#>	1.0
p_a	b_m	1.0
nː	n	1.0
n_d	n	1.0
n_#>	#>	1.0
mː_a	m	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_#>	l_#>	1.0
l	l	1.0
kː	ɡ	1.0
kʰ	kʰ	1.0
jː	ŋ	1.0
h	h	1.0
f	f	1.0
d_a	d_n	1.0
b	b	1.0
<#_ˈɛ	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
d	d	0.938
n	n	0.923
ˈoː	ˈoː	0.786
ˈiː	ˈiː	0.786
k	ɡ	0.786
ˈʊ	ˈʊ	0.75
ˈɑː	ˈoː	0.75
<#	<#_v	0.75
ˈuː	ˈaʊ̯	0.692
ɡ	ɡ	0.684
t	d	0.667
ˈa	ˈa	0.65
ˈeː	ˈaɪ̯	0.636
ˈʏ	ˈʏ	0.625
j	-	0.625
ˈyː	ˈaɪ̯	0.6
ˈɵ	ˈʊ	0.571
<#_j	<#	0.571
tʰ	d	0.556
ɧ	ʃ	0.538
s	z	0.516
ɳ	ɐ_n	0.5
ɳ	ɐ	0.5
ɡː	ç	0.5
ɡː	-	0.5
ɕ	kʰ	0.5
ɕ	d	0.5
p	p	0.5
p	b	0.5
ɧ	z	0.462
r	r	0.457
tː	d	0.455
tʰ	tʰ	0.444
a	n	0.441
a	-	0.441
ˈʉː	ˈuː	0.435
ˈɔ	-	0.429
r	ɐ	0.429
<#_j	<#_l	0.429
ˈøː	ˈaʊ̯	0.4
ˈyː	ˈyː	0.4
#>	n_#>	0.4
ˈʏ	-	0.375
ˈɛː	ˈɛ	0.375
ˈɛː	-	0.375
ˈeː	ˈɪ	0.364
tː	t	0.364
ˈøː	-	0.35
t	t	0.333
#>	d_#>	0.333
s	ʃ	0.323
ˈɔ	ˈʊ	0.286
ˈɔ	ˈɔ	0.286
ˈɛ	-	0.263
ˈʉː	-	0.261
ˈʊ	ˈɔː	0.25
ˈɛː	ˈeː	0.25
ˈɑː	-	0.25
ˈœ	ˈɔʏ̯	0.25
ˈœ	ˈɔ	0.25
ˈœ	ˈaʊ̯	0.25
ˈœ	-	0.25
ˈøː	ˈɔʏ̯	0.25
j	ɡ	0.25
<#	<#_ʒ	0.25
ˈʉː	ˈaɪ̯	0.217
ˈoː	ˈaʊ̯	0.214
k	-	0.214
ˈɛ	ˈɛ	0.211
tː	x_d	0.182
s	s	0.161
ˈɛ	ˈɪ	0.158
ˈɛ	ˈaɪ̯	0.158
ɡ	x	0.158
ɡ	-	0.158
ˈuː	ˈaʊ̯_d	0.154
ˈuː	-	0.154
ˈa	-	0.15
ˈɵ	ˈʏ	0.143
ˈɵ	ˈuː	0.143
ˈɵ	-	0.143
ˈiː	n	0.143
#>	x_#>	0.133
#>	m_#>	0.133
j	j	0.125
ˈɛ	ˈʏ	0.105
ˈɛ	ˈeː	0.105
ˈa	ˈoː	0.1
ˈa	ˈaː	0.1
ˈʉː	d_ˈaɪ̯	0.087
n	ˈeː	0.077
ˈiː	ˈɛː	0.071
d	l	0.062
a	ɐ	0.059
a	ŋ	0.059
r	ˈaː	0.057
r	-	0.057
