Bulgarian	Čakavian	probability
b	b	1.0
d	d	1.0
f	ʋ	1.0
i	iː	1.0
j	t	1.0
k	k	1.0
lʲ	l	1.0
mʲ	m	1.0
p	p	1.0
s	s	1.0
t	t	1.0
v	ʋ	1.0
vʲ	-	1.0
x	x	1.0
z	z	1.0
ɡ	ɡ	1.0
ɫ	l	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
ˈu	ûː	1.0
m	m	0.911
ɛ	a	0.301
ˈa	ʋ_îː	0.071
ˈi	îː	0.261
ˈɔ	ô	0.381
ˈɤ	ǔː	0.191
n	n	0.962
ɐ	aː	0.072
ˈa	îː	0.052
ˈɛ	êː	0.162
ˈɤ	ûː	0.292
l	-	0.063
ˈa	a	0.103
o	o	0.664
ˈi	î	0.534
r	r̩̂	0.135
r	r	0.865
ɐ	-	0.065
ɛ	e	0.665
ˈa	âː	0.115
ˈa	î	0.155
ˈɛ	î	0.225
o	ô	0.336
ˈi	i	0.206
l	l	0.937
ɐ	uː	0.057
ˈa	â	0.407
ˈɛ	ê	0.327
ˈɤ	-	0.517
ɐ	a	0.608
ʦ	ʦ	0.968
ˈa	ǎː	0.098
m	n	0.089
ɐ	i	0.199
ˈɔ	ôː	0.299
ˈɔ	o	0.319
ˈɛ	e	0.269
