Eastern Lombard	Eastern Lombard	probability
ˈɛ_r	ˈɛ_r	1.0
ˈɛ	ˈɛ	1.0
ˈɔ	ˈɔ	1.0
ˈø	ˈø	1.0
ˈy	ˈy	1.0
ˈu	ˈu	1.0
ˈo	ˈo	1.0
ˈi_a	ˈi_a	1.0
ˈi	ˈi	1.0
ˈe	ˈe	1.0
ˈa_r	ˈa_r	1.0
ˈa_m	ˈa_m	1.0
ˈa	ˈa	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ʋ	ʋ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ø	ø	1.0
z	z	1.0
y	y	1.0
w	w	1.0
u	u	1.0
t_a	t_a	1.0
t	t	1.0
s_ˈɛ	s_ˈɛ	1.0
s_p	s_p	1.0
s_e	s_e	1.0
s_a	s_a	1.0
s	s	1.0
r_ˈa	r_ˈa	1.0
r_t	r_t	1.0
r_s	r_s	1.0
r_k	r_k	1.0
r	r	1.0
p	p	1.0
o	o	1.0
n	n	1.0
m	m	1.0
l_t	l_t	1.0
l_s	l_s	1.0
l	l	1.0
k	k	1.0
j	j	1.0
i	i	1.0
f	f	1.0
e	e	1.0
d_ˈa	d_ˈa	1.0
d	d	1.0
b	b	1.0
a_s	a_s	1.0
a_n	a_n	1.0
a_l	a_l	1.0
a	a	1.0
