Gascon	Gascon	probability
ˈɛ_j	ˈa	1.0
ˈo	-	1.0
ʦ	ɣ_ɛ	1.0
ʤ	ɣ	1.0
ɾ_ɔ	a	1.0
ɾ_e	ɾ_u	1.0
ɔ_#>	#>	1.0
ŋ_k	m_b	1.0
y	u	1.0
w_ˈe	ˈɔ	1.0
w_#>	ɛ_#>	1.0
t_ɔ	t_a	1.0
s_t	s_t	1.0
r_#>	#>	1.0
p	p	1.0
n_d	nː	1.0
n	n	1.0
m	m	1.0
lː	z_j	1.0
l_ˈa	ɾ_ˈa	1.0
k_l	k_ɾ	1.0
k	k	1.0
j_ˈe	ˈe	1.0
j_ʃ	ʃ	1.0
j_t	t	1.0
h	f	1.0
f	u_f	1.0
e_#>	ɾ_ɛ_#>	1.0
d	d	1.0
b	b	1.0
a_ɾ	a_ɾ	1.0
a_w	o	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʒ	<#_ʣ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
<#_a_r	<#_ɾ	1.0
<#_a	<#_a	1.0
<#	<#_i	1.0
ˈa	ˈa	0.967
ɔ	a	0.93
ɾ	ɾ	0.917
ˈy	ˈu	0.864
ˈi	ˈi	0.862
a	a	0.824
<#_e	<#_i	0.818
r	ɾ	0.765
ð	ð	0.75
s_#>	ɔ_z_ɔ̆_#>	0.75
k_#>	ɣ_u_#>	0.75
n_#>	n_t_u_#>	0.714
ɡ	b	0.667
i	i	0.667
ˈɔ	ˈo	0.647
ʃ	k_ɛ	0.6
ˈɛ	ˈɛ	0.577
ʒ	b	0.571
l	l	0.562
t	t	0.529
s	s	0.514
ɣ	ɣ	0.5
ˈu	ˈɔ	0.472
u	ɔ	0.462
ŋ	n_u	0.455
w	-	0.45
j	-	0.444
ʒ	-	0.429
ɲ	n_ʣ	0.429
e	ɛ	0.412
#>	u_#>	0.41
ʃ	s	0.4
ˈe	ˈi	0.386
ʎ	ʣ	0.385
β	-	0.357
ˈɔ	ˈɔ	0.353
ɡ	-	0.333
z	ɣ	0.333
z	z	0.333
z	j_z	0.333
i	ɛ	0.333
ˈe	ˈɛ	0.318
ˈɛ	ˈe	0.308
ʎ	j	0.308
u	o	0.308
ˈu	ˈu	0.306
ɣ	-	0.3
β	β	0.286
ɲ	ɲ	0.286
ɲ	-	0.286
s	k	0.286
n_#>	n_t_ɛ_#>	0.286
#>	ɾ_ɛ_#>	0.28
ŋ	n_ɛ	0.273
t	ð	0.265
e	i	0.265
ˈe	ˈe	0.25
ð	ɛ_ɾ	0.25
w	l_u	0.25
s_#>	z_ă_#>	0.25
k_#>	#>	0.25
#>	ɛ_#>	0.25
r	r	0.235
u	-	0.231
β	ɛ_ɾ	0.214
ɣ	ɡ	0.2
w	u	0.2
l	ɾ	0.188
<#_e	<#	0.182
a	ˈa	0.176
ˈu	ˈo	0.167
j	u	0.167
j	s	0.167
ʎ	u	0.154
ʎ	l	0.154
β	b	0.143
ˈy	ˈu_ɾ	0.136
l	ɖː	0.125
l	j	0.125
t	ɖː_u	0.118
e	e	0.118
ˈɛ	-	0.115
j	ˈa	0.111
j	ɣ_ɛ	0.111
w	l_ɛ	0.1
ŋ	u	0.091
ŋ	nː_u	0.091
ŋ	n	0.091
t	-	0.088
e	u	0.088
s	z	0.086
ɾ	ɾ_a	0.083
ɔ	-	0.07
ˈi	ˈi_n	0.069
ˈi	-	0.069
e	ˈi	0.059
e	ɛ_ɾ	0.059
s	ʦ	0.057
s	p_u	0.057
ˈu	ˈu_ɾ	0.056
