Sixian	Sixian	probability
⁵	³²	1.0
ʨʰ	tʰ	1.0
ʨ	t	1.0
ɲ	ᵑɡ	1.0
ɕ	ɬ	1.0
ŋ̍	u_j	1.0
¹¹	²²	1.0
³¹_#>	#>	1.0
³¹	⁵⁵	1.0
tʰ	h	1.0
p̚	t̚	1.0
pʰ	pʰ	1.0
o_j	ɔ_j	1.0
l	l	1.0
k̚	k̚	1.0
kʰ	h_w	1.0
k	k	1.0
j_u	i_w	1.0
h	h	1.0
f	f	1.0
<#_tʰ	<#	1.0
<#_t	<#	1.0
<#_n	<#_ⁿd	1.0
<#_kʰ	<#	1.0
<#_j	<#	1.0
n	n	0.923
ŋ	ŋ	0.92
²⁴	³³	0.872
t̚	t̚	0.846
a	a	0.815
w	w	0.778
ʦʰ	ʦʰ	0.7
s	s	0.692
ʦ	ʦ	0.667
p	p	0.625
²	⁵⁵	0.619
m	ᵐb	0.571
j	-	0.538
⁵⁵	³³	0.524
v	ᵐb	0.5
v	v	0.5
⁵⁵	³²	0.476
u	ɵ	0.452
m	m	0.429
i	e_j	0.429
<#	<#_j	0.429
u	u	0.419
i	i	0.381
p	f	0.375
ʦ	t	0.333
o	ɔ	0.333
e	e	0.333
s	ɬ	0.308
ʦʰ	tʰ	0.3
<#	<#_ⁿd	0.286
<#	<#_ᵑɡ	0.286
j	j	0.269
²	³³	0.238
w	-	0.222
j	ɔ_j	0.192
e	u	0.19
e	a	0.19
t̚	k̚	0.154
o	w_ɔ	0.152
o	j_a	0.152
²	³²	0.143
e	j_a	0.143
e	j	0.143
²⁴	²¹	0.128
o	a_w	0.121
a	j_a	0.111
i	u_j	0.095
i	a_j	0.095
o	w	0.091
o	u	0.091
ŋ	ᵑɡ_w	0.08
n	ɔ_n	0.077
a	ɛ	0.074
u	w	0.065
u	i_w	0.065
o	a	0.061
