Mecklenburgisch-Vorpommersch	Old Frisian	probability
ˈʏ	ˈe	1.0
ˈʊ_n	ˈuː	1.0
ˈɛɪ̯	ˈiː	1.0
ˈøː	ˈe	1.0
ˈyː	ˈi̯uː	1.0
ˈeː	-	1.0
ˈaɪ̯	-	1.0
ɪ	i	1.0
ɣ̊	-	1.0
ɣ	ɣ	1.0
ɡ̊	-	1.0
æ_n	r_n	1.0
z̥	z	1.0
w	w	1.0
v̥	v	1.0
t_n	t_ə	1.0
r_ˈʏ	r	1.0
pʰ	-	1.0
n_t	n_t	1.0
n_n	nː_ə	1.0
kʰ	ʦ	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
ae̯	iː	1.0
l	l	0.946
p	p	0.906
z	s	0.899
ˈʊ	ˈu	0.896
r	r	0.889
m	m	0.877
v	w	0.868
b	b	0.816
ˈɛ	ˈe	0.801
s	s	0.797
d	θ	0.791
ˈɪ	ˈi	0.765
ˈɔʏ̯	ˈeː	0.752
n	n	0.74
t	t	0.7
ˈuː	ˈuː	0.653
ˈiː	ˈiː	0.653
ʃ	s_k	0.644
ˈaː	ˈe_r	0.632
j	j	0.608
ŋ	ŋ_ɡ	0.573
ˈœː	ˈu	0.561
x	x	0.56
ɡ	ɡ	0.556
ˈaʊ̯	ˈoː	0.517
ɾ	d_ə	0.504
ˈœ	ˈe	0.5
ˈœ	-	0.5
ˈɛː	ˈe	0.477
ˈa	ˈa	0.474
æ	r	0.466
k	k	0.457
k	k_ə	0.447
x	-	0.44
ˈœː	ˈo	0.439
ˈae̯	ˈi̯aː	0.432
ˈoː	ˈaː	0.431
ˈae̯	ˈɛː	0.395
j	ɡ	0.392
ˈaʊ̯	ˈaː	0.371
ˈaː	ˈa_r	0.368
ʃ	s	0.356
ˈuː	ˈɔː	0.347
ˈɔ	ˈo	0.344
ɾ	ð	0.336
ˈɛː	-	0.333
ç	ɣ̥	0.318
ç	-	0.318
ˈɔ	ˈu	0.317
ˈa	ˈɔː	0.311
ˈɒː	-	0.302
æ	ə_r	0.298
ˈoː	ˈeː	0.284
ˈoː	ˈe	0.284
ɡ	ɣ	0.263
ˈɒː	ˈɔː	0.259
ˈɔʏ̯	-	0.248
ç	ɡː	0.239
ˈɒː	ˈeː	0.224
ˈiː	ˈeː	0.217
ˈa	ˈe	0.215
d	d	0.209
s	k_s	0.203
ˈɛ	ˈi	0.199
ˈɛː	ˈi	0.19
ɡ	j	0.181
ˈɪ	-	0.173
ˈɔ	-	0.172
æ	ə	0.172
ˈɔ	ˈa	0.168
ɾ	dː	0.159
ŋ	ʣ	0.145
ŋ	ɣ	0.145
t	tː	0.14
ˈɒː	ˈa	0.137
ŋ	ŋ	0.137
v	h_w	0.132
ˈiː	-	0.129
ˈae̯	ˈaː	0.127
ç	ɣ	0.125
n	ə	0.12
ˈaʊ̯	-	0.112
t	t_ə	0.111
r	h_r	0.111
b	-	0.11
ˈʊ	ˈo	0.104
z	s_w	0.101
k	ə	0.095
p	pː	0.094
ˈɒː	ˈe	0.079
b	bː	0.074
æ	r_ə	0.064
ˈɪ	ˈɛː	0.062
n	n_d	0.06
m	v_ə	0.057
