Franco-Provençal	Friulian	probability
y	u	1.0
ɑː	i	1.0
ɛ̃	i	1.0
ʦ	ʧ	1.0
ˈy	ˈo	1.0
ˈɑ̃	ˈa	1.0
d	s	0.11
e	-	0.841
f	-	0.051
l	l	0.891
s	ʤ	0.101
u	o	0.311
u	ˈu	0.421
v	v	0.751
w	ˈoː	0.121
w	ˈu	0.131
w	-	0.211
z	z	0.511
ð	d	0.171
ɔ	o	0.51
ɔ̃	-	0.351
ɛ	j	0.771
ɡ	ŋ_ɡ	0.221
ɲ	n	0.161
ˈa	ˈi	0.071
ˈe	ˈe	0.061
ˈe	ˈa	0.141
ˈo	ˈo	0.381
ˈoː	ˈo	0.1
ˈɛː	ˈa	0.051
ˈɛ̃	ɲ	0.151
ˈɛ̃	ˈi	0.341
a	e	0.752
s	ʧ	0.32
s	s	0.512
t	ʤ	0.062
t	-	0.062
w	ˈo	0.112
ɲ	ʤ	0.062
ʁ	-	0.082
ʃ	c	0.662
ˈe	ˈi	0.082
ˈĩ	ŋ	0.332
ˈo	ˈuː	0.132
ˈu	ˈuː	0.132
ˈu	ˈo	0.212
ˈu	w	0.212
ˈɛː	ˈaː	0.092
ˈɛː	ˈe	0.232
e	i	0.093
j	-	0.523
n	n	0.893
o	i	0.303
w	ˈɔ	0.133
ʁ	r	0.913
ʒ	j	0.403
ˈe	-	0.223
ˈoː	ˈa	0.123
ˈø	ˈɛ	0.23
ˈɛ	-	0.13
ˈɛː	ˈeː	0.303
ˈɛ̃	ˈɛ	0.173
i	ˈaː	0.144
i	u	0.154
ĩ	a	0.334
w	ˈuː	0.074
ɛː	e	0.334
ʎ	-	0.304
ˈaː	ˈa	0.544
ˈi	ˈi	0.504
ˈĩ	ˈi	0.514
ˈu	ˈɔ	0.354
ˈɔ	ˈi	0.164
ˈɔ	ˈoː	0.164
ˈɔ̃	-	0.064
ˈɛ	j	0.194
p	p	0.955
t	s_t	0.185
v	p	0.055
ə	e	0.505
ɡ	k	0.05
ˈe	ˈɛ	0.215
ˈɑː	ˈa	0.465
ˈɔ̃	ˈo	0.225
d	d	0.846
i	-	0.126
ĩ	ŋ	0.666
k	ʧ	0.086
o	ˈaː	0.206
ð	-	0.166
ə	-	0.056
ɛː	i	0.666
ʃ	z	0.056
ʒ	ɟ	0.16
ʒ	b	0.16
ʒ	d	0.276
ˈa	ˈa	0.466
ˈaː	ˈaː	0.456
ˈi	ˈiː	0.266
ˈo	ˈoː	0.196
ˈoː	ˈu	0.136
ˈø	a	0.126
ˈø	aː	0.196
ˈø	w	0.196
ˈø	ˈoː	0.196
ˈɔ	ˈo	0.136
ˈɔ̃	ŋ	0.076
ˈɛ	ˈe	0.186
a	a	0.127
i	e	0.497
k	s_k	0.147
k	k	0.767
o	-	0.157
v	-	0.147
w	v_ˈɔ	0.097
ð	ʤ	0.177
ð	r	0.407
ɲ	ɲ	0.777
ʃ	ɟ	0.057
ʃ	ɡ	0.057
ˈa	ˈaː	0.377
ˈe	ˈaː	0.157
ˈi	ˈɛ	0.137
ˈĩ	a	0.077
ˈĩ	n_ˈi	0.077
ˈoː	ˈuː	0.077
ˈɑː	ˈaː	0.357
ˈɔ	w	0.487
ˈɔ̃	ˈɔ	0.147
ˈɔ̃	ˈu	0.487
ˈɛ	ˈɔː	0.07
ˈɛ̃	ˈe	0.167
j	ˈiː	0.188
m	n	0.098
m	m	0.868
o	e	0.088
o	u	0.128
t	c	0.08
u	u	0.268
w	w	0.108
z	ʧ	0.268
ə	i	0.318
ʎ	l	0.648
ˈo	ˈe	0.068
ˈoː	u	0.128
ˈoː	w	0.308
ˈɛ	ˈu	0.118
ˈɛ	ˈɛ	0.238
ˈɛː	ˈi	0.108
a	-	0.069
b	b	0.979
f	f	0.949
i	i	0.079
j	j	0.209
l	-	0.109
n	-	0.059
o	o	0.119
t	t	0.549
z	s	0.199
ɔ	u	0.49
ɔ̃	o	0.649
ɛ	e	0.229
ɡ	ɡ	0.729
ʃ	s	0.129
ˈo	-	0.129
ˈoː	-	0.059
ˈu	ˈu	0.09
ˈɑː	a	0.179
ˈɛː	ˈɛ	0.069
ˈɛ̃	ˈa	0.169
