East Low German	Danish	probability
ˈʊ_l_#>	ˈu_lˀ_#>	1.0
ˈɛ_l	ˈɛ_l	1.0
ˈɛ	ˈe	1.0
ˈœː	ˈoˀ	1.0
ˈyː	ˈyˀ	1.0
ˈuː_æ	ˈo_ɐˀ	1.0
ˈaː_m_#>	ˈɑˀ_m_#>	1.0
ˈaː	ˈa	1.0
ˈaʊ̯_#>	ˈoˀ_#>	1.0
ˈae̯_ŋ	ˈyː_w	1.0
ˈae̯_#>	#>	1.0
ˈa_n	ˈa_nˀ	1.0
ʃ_#>	k_#>	1.0
ʃ	s_k	1.0
ɾ	ˈeˀ	1.0
ŋ_k	k	1.0
ŋ_#>	ə_#>	1.0
æ	ɐ	1.0
x_#>	j_#>	1.0
x	-	1.0
w	ʋ	1.0
s_#>	s_#>	1.0
s	s	1.0
r	ʁ	1.0
p	p	1.0
n_ˈae̯_#>	n_ˈeˀ_#>	1.0
n_d_#>	nˀ_#>	1.0
m_#>	m_#>	1.0
l_f	lˀ_ʋ	1.0
l_#>	l_#>	1.0
k	k	1.0
d_n	ð̞ˠ_ə	1.0
b_m	w_ə	1.0
<#_ˈʊ	<#_ˈʌ	1.0
<#_ˈae̯	<#_ˈeˀ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_s	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_z	<#_s	1.0
<#_tʰ	<#_ʦʰ	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_kʰ	1.0
<#_j	<#_ɡ̊	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_b	<#_b̥	1.0
<#	<#_j	1.0
t_#>	ð̞ˠ_#>	0.833
#>	ə_#>	0.75
ˈuː	ˈuˀ	0.727
n	n	0.722
æ_#>	ɐ_#>	0.714
ˈɪ	ˈe	0.688
ç_#>	#>	0.667
d_#>	#>	0.667
<#_v	<#_ʋ	0.65
ŋ	ŋˀ	0.625
ˈɛː	-	0.6
t	t	0.6
f_#>	#>	0.6
ˈʊ	ˈɔ	0.571
ˈɒː	ˈɔˀ	0.556
ˈae̯	ˈeˀ	0.556
l	l	0.55
ˈiː	ˈiˀ	0.538
<#_d	<#_d̥	0.519
ˈʏ	ˈœ	0.5
ˈoː	ˈœˀ	0.5
ˈoː	-	0.5
p_#>	p_#>	0.5
p_#>	b̥_#>	0.5
m	m_ə	0.5
<#_d	<#_ʦʰ	0.481
l	lˀ	0.45
k_#>	j_#>	0.444
ˈʊ	ˈu	0.429
ˈɛː	ˈɛː	0.4
t	ð̞ˠ	0.4
f_#>	w_#>	0.4
ˈa	ˈɛ	0.385
ˈa	ˈɑ	0.385
ŋ	ŋ_ə	0.375
n_#>	ə_#>	0.372
<#_v	<#	0.35
ˈɔʏ̯	ˈœˀ	0.333
ˈɔʏ̯	ˈœ	0.333
ˈɔʏ̯	ˈøː	0.333
k_#>	#>	0.333
d_#>	ð̞ˠ_#>	0.333
ˈiː	ˈiː	0.308
æ_#>	ʌ_#>	0.286
n_#>	n_#>	0.279
n_#>	#>	0.279
ˈaʊ̯	ˈoˀ	0.278
ˈuː	ˈuː	0.273
ˈʏ	ˈɑ	0.25
ˈʏ	ˈø	0.25
ˈɔ	ˈʌ	0.25
ˈɔ	ˈɛ	0.25
ˈɔ	ˈœ	0.25
ˈɔ	ˈu	0.25
m	w	0.25
m	mˀ	0.25
ˈa	ˈa	0.231
ˈɒː	ˈʌ	0.222
ˈɒː	ˈɔː	0.222
ˈaʊ̯	ˈœˀ	0.222
ˈae̯	ˈyː	0.222
ˈae̯	ˈyˀ	0.222
k_#>	w_#>	0.222
ˈɪ	ˈiˀ	0.188
ˈaʊ̯	ˈʌ	0.167
ç_#>	ˈɑˀ_j_#>	0.167
ç_#>	ɡ̊_#>	0.167
t_#>	#>	0.167
n	n_ə	0.167
#>	n_#>	0.156
ˈiː	ˈyˀ	0.154
ˈɪ	ˈe_s	0.125
ˈaʊ̯	ˈʌˀ	0.111
ˈaʊ̯	ˈɔˀ	0.111
ˈaʊ̯	-	0.111
n	nˀ	0.111
#>	t_#>	0.094
n_#>	nˀ_#>	0.07
