Catalan	Catalan	probability
β	β	1.0
ˈɛ_l	ˈɛ_w	1.0
ˈɔ_n	ˈu_n	1.0
ˈɔ_l	ˈo	1.0
ˈu_j	ˈy	1.0
ˈu_#>	ˈy_#>	1.0
ˈi_n	ˈi	1.0
ˈi_#>	e_#>	1.0
ˈa_ɾ	ˈa_j	1.0
ˈa_m	ˈa_m	1.0
ˈa_k	ˈa_k	1.0
ˈa	ˈa	1.0
ʤ	ʤ	1.0
ʒ	ʒ	1.0
ʎː	lː	1.0
ʎ_ə	ɾ_ɔ	1.0
ʎ_#>	t_#>	1.0
ʃ	ʃ	1.0
ɾ_ˈɛ	ɾ_ˈe	1.0
ɾ_ə	e	1.0
ɣ	ɣ	1.0
ə_ɾ	a_ɾ	1.0
ə_n	a_n	1.0
ə_#>	r_#>	1.0
z	z	1.0
w_ə	ɔ	1.0
t_ə	t_ɔ	1.0
t	t	1.0
s_ə	s_e	1.0
s_k	s_k	1.0
s	s	1.0
p	p	1.0
n_ˈɔ	n_ˈa	1.0
mː	mː	1.0
m_#>	m_#>	1.0
m	m	1.0
l_ə	l_ɔ	1.0
l_t	w_t	1.0
k_ˈu	k_ˈu	1.0
k_ə	k_a	1.0
k	k	1.0
j_#>	j_#>	1.0
j	j	1.0
d	d	1.0
b_r	nː	1.0
b	b	1.0
a	ɔ	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_u	<#_a_w	1.0
<#_t	<#_t	1.0
f	h	0.95
r	r	0.893
ˈi	ˈi	0.882
n	n	0.875
ɾ	ɾ	0.871
ɡ	ɡ	0.867
ˈo	ˈu	0.833
ɲ	ɲ	0.833
l	l	0.826
ˈɛ	ˈe	0.769
ˈu	ˈy	0.75
ð	ð	0.75
u	u	0.739
l_#>	w_#>	0.714
<#	<#_a	0.714
w	w	0.706
#>	ŋ_#>	0.704
n_#>	n_#>	0.692
i	i	0.667
<#_ə	<#_e	0.643
w_ɾ	ð	0.6
ŋ	ŋ_k	0.571
ə	ɔ	0.553
ˈɔ	ˈɔ	0.531
ʎ	l	0.528
ˈɛ_w	ˈɛ_ʦ	0.5
ˈɛ_w	ˈu_ʦ	0.5
ʧ	ˈe_j	0.5
ʧ	-	0.5
ʎ	ʎ	0.472
ˈe	ˈɛ	0.444
ŋ	ŋ	0.429
w_ɾ	β	0.4
ˈe	ˈe	0.389
<#_ə	<#_a	0.357
i	e	0.333
n_#>	#>	0.308
l_#>	l_#>	0.286
ə	e	0.282
ˈu	w_ˈe	0.25
ð	-	0.25
ˈɛ	ˈɛ	0.231
w	-	0.176
u	-	0.174
ˈo	ˈy	0.167
ɲ	n	0.167
ˈɔ	ˈu	0.156
ˈɔ	ˈa_w	0.156
ˈɔ	w	0.156
<#	<#_ˈa	0.143
<#	<#_e	0.143
ɡ	-	0.133
n	-	0.125
w	ˈe_w	0.118
ˈe	ˈɛ_j	0.111
ə	a	0.107
r	-	0.107
u	w	0.087
l	w	0.087
l	-	0.087
#>	ʦ_#>	0.074
#>	j_#>	0.074
#>	i_#>	0.074
#>	e_#>	0.074
ɾ	ˈe	0.065
ɾ	-	0.065
ˈi	ˈe_j	0.059
ˈi	j_ˈɛ	0.059
ˈe	ˈi	0.056
