Eastphalian	East Low German	probability
b	b	0.966
d	d	0.826
d	t	0.108
d	ɾ	0.056
f	f	1.0
h	h	1.0
j	j	0.76
j	ŋ	0.141
j	ɡ	0.059
k	k	0.577
k	kʰ	0.401
l	l	0.997
m	m	0.965
n	n	0.922
p	p	0.987
r	r	0.976
s	ʃ	0.533
s	s	0.467
t	t	0.838
t	tʰ	0.139
v	v	0.948
v	-	0.052
w	w	0.819
w	ˈʏ	0.181
x	x	1.0
z	z	0.735
z	-	0.148
z	s	0.117
ç	ç	1.0
ŋ	ŋ	1.0
ɐ	æ	0.86
ɐ	-	0.14
ə	-	0.671
ə	æ	0.329
ɡ	ɡ	1.0
ɣ	ɡ	0.632
ɣ	ɣ	0.155
ɣ	ç	0.135
ɣ	x	0.078
ɪ	ɪ	1.0
ʃ	ʃ	0.962
ˈa	ˈa	1.0
ˈaʊ̯	ˈaʊ̯	1.0
ˈaː	ˈaː	0.844
ˈaː	ˈoː	0.156
ˈeo̯	ˈaʊ̯	0.961
ˈeː	ˈɛː	0.519
ˈeː	ɾ	0.197
ˈeː	ˈiː	0.148
ˈeː	ˈeː	0.068
ˈeː	ˈœː	0.068
ˈiː	ˈiː	1.0
ˈoː	ˈuː	0.302
ˈoː	ˈœː	0.232
ˈoː	ˈoː	0.221
ˈoː	ˈaʊ̯	0.191
ˈoː	ˈɒː	0.055
ˈuː	ˈuː	0.917
ˈuː	ˈɒː	0.056
ˈyː	ˈyː	1.0
ˈøː	ˈɔʏ̯	0.916
ˈøː	ˈøː	0.084
ˈœ	ˈɛ	0.469
ˈœ	ˈœ	0.326
ˈœ	ˈœː	0.205
ˈɒː	ˈɒː	0.915
ˈɔ	ˈɔ	0.882
ˈɔ	ˈaʊ̯	0.068
ˈɔʏ̯	ˈɔʏ̯	0.865
ˈɔʏ̯	ˈyː	0.135
ˈɛ	ˈɛ	0.791
ˈɛ	-	0.071
ˈɛ	ˈae̯	0.069
ˈɛ	ˈɪ	0.069
ˈɛə̯	ˈa	1.0
ˈɛɪ̯	ˈae̯	0.855
ˈɛɪ̯	ˈiː	0.091
ˈɛː	ˈɛː	0.597
ˈɛː	ˈiː	0.168
ˈɛː	ˈɒː	0.102
ˈɛː	ˈoː	0.096
ˈɪ	ˈɪ	0.92
ˈɪ	ˈɛ	0.08
ˈʊ	ˈʊ	0.923
ˈʏ	ˈʏ	0.854
ˈʏ	ˈyː	0.092
ˈʏ	ˈʊ	0.054
