Icelandic	Icelandic	probability
ˈɛːi̯_j	jː	1.0
ˈɛi̯	-	1.0
ˈɔu̯	-	1.0
ˈɔ_r	ˈuː	1.0
ˈœːy̯	ˈøː	1.0
ˈuː	ˈʉː	1.0
ˈoːu̯_r̥_#>	ˈøː_#>	1.0
ˈou̯	ˈɔ	1.0
ˈeːi̯	-	1.0
ˈaːu̯	ˈoː	1.0
ˈau̯	ˈɛ	1.0
ˈa_r	ˈɑː	1.0
ʰt͡n̥	-	1.0
ʰt	tː	1.0
ʰp	pː	1.0
ʰk	kː	1.0
ʰc	kː	1.0
ʏ_r̥_#>	#>	1.0
ɲ	ˈɵ	1.0
ɪ_r̥	r	1.0
ɪ_#>	#>	1.0
ɪ	ɛ	1.0
ɣ	ɡ	1.0
ɡ̊ː	ɡː	1.0
ɡ̊_ʏ	ɛ	1.0
ɡ̊_#>	#>	1.0
ɟ̊ː	ɡː	1.0
ɛ	-	1.0
ɑu̯	ɵ	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ	ŋː	1.0
ð_ʏ	d_ɛ	1.0
x	ɡ	1.0
t͡l̥_ʏ	lː	1.0
tʰ	tʰ	1.0
t_ɪ	ʈ	1.0
sː	sː	1.0
s_j	ɧ	1.0
s_c	ɧ	1.0
s_#>	s_#>	1.0
r̥_t	ʈː	1.0
r̥_s	ʂ	1.0
r_ð	ɖ	1.0
r_a	r_a	1.0
pʰ	pʰ	1.0
l̥	l	1.0
l_j	j	1.0
l_#>	l_#>	1.0
kʰ_v	v	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ˈoːu̯	ˈyː	1.0
j_ʏ	ʊ	1.0
i	-	1.0
h	h	1.0
f_#>	v_#>	1.0
f	f	1.0
cʰ	ɕ	1.0
c	k	1.0
b̥	b	1.0
aːu̯	ɔ	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_r	<#_r	1.0
a	a	0.96
s	s	0.929
v	v	0.912
l	l	0.893
d̥	d	0.893
n	n	0.886
ˈiː	ˈiː	0.875
r	r	0.862
θ	tʰ	0.846
t	t	0.839
ˈaː	ˈɑː	0.833
ˈa	ˈa	0.833
ˈʏ	ˈɵ	0.786
ð	d	0.783
nː	nː	0.778
m	m	0.75
r̥	r	0.711
ˈɔ	-	0.667
ˈɑːu̯	ˈoː	0.667
ˈoːu̯	ˈuː	0.667
t͡l̥	l	0.667
p	p	0.667
n̥	n	0.667
j	-	0.632
ˈœ	-	0.625
ʏ	ɛ	0.625
ˈɛ	ˈɛ	0.6
ˈɔː	ˈoː	0.6
ˈiː_r̥_#>	#>	0.6
ɟ̊	j	0.6
ç	j	0.6
t͡n̥	ɳ	0.6
ˈaːi̯	ˈøː	0.571
ˈɛːi̯	ˈeː	0.556
ˈʏː	ˈʉː	0.5
ˈʏː	-	0.5
ˈɪː	ˈɛ	0.5
ˈɪː	-	0.5
ˈɑu̯	ˈa	0.5
ˈɑu̯	-	0.5
ˈœː	ˈʉː	0.5
ˈœː	-	0.5
ˈu	ˈʊ	0.5
ˈu	ˈɵ	0.5
ˈi	ˈɪ	0.5
ˈi	-	0.5
ˈai̯	ˈɛ	0.5
ˈai̯	-	0.5
ˈɪ	ˈɪ	0.462
ˈɛː	ˈɛː	0.455
ɡ̊	ɡ	0.444
ˈaːi̯	-	0.429
ˈɛ	-	0.4
ˈɔː	-	0.4
ˈiː_r̥_#>	ˈuː_#>	0.4
ɟ̊	-	0.4
ç	h	0.4
ˈɪ	ˈʏ	0.385
ˈœ	ˈa	0.375
ʏ	a	0.375
j	j	0.368
ˈɔ	ˈɔ	0.333
ˈɑːu̯	-	0.333
ˈoːu̯	ˈʉː	0.333
ɡ̊	-	0.333
t͡l̥	l_d	0.333
p	-	0.333
n̥	kʰ_n	0.333
t͡n̥	n	0.3
r̥	-	0.289
m	mː	0.25
ˈɛːi̯	ˈœː	0.222
ˈɛːi̯	-	0.222
ɡ̊	j	0.222
nː	n	0.222
ð	-	0.217
ˈʏ	-	0.214
ˈɛː	ˈɑː	0.182
ˈɛː	ˈæː	0.182
ˈɛː	-	0.182
ˈaː	-	0.167
ˈa	-	0.167
t	tː	0.161
θ	-	0.154
ˈɪ	ˈœ	0.154
r	-	0.138
ˈiː	-	0.125
l	l_ɪ	0.107
d̥	-	0.107
t͡n̥	ɳː	0.1
v	-	0.088
s	ɧ	0.071
n	ɛ_n	0.057
n	-	0.057
