Eastphalian	Old High German	probability
ˈɛə̯	ˈɑ	1.0
ˈɔʏ̯	ˈuo̯	1.0
ˈøː_ɣ	rː	1.0
ˈøː	-	1.0
ˈyː	ˈiu̯	1.0
ˈaː	ˈɑ	1.0
ˈaʊ̯	ˈuo̯	1.0
ˈaɪ̯	ˈei̯	1.0
ʃ	s_k	1.0
ɪ	ɑ	1.0
ɣ̊	ɡ	1.0
ɡ	-	1.0
ɒː	ɛ_h	1.0
z	s	1.0
w	w	1.0
v̥	b	1.0
s_t	s_t	1.0
s	s	1.0
h	h	1.0
f	f	1.0
d̥	t	1.0
ˈiː	ˈiː	0.946
ˈa	ˈɑ	0.94
l	l	0.931
r	r	0.929
b	b	0.922
m	m	0.897
ˈɪ	ˈi	0.88
j	ɡ	0.857
n	n	0.814
ˈuː	ˈuː	0.8
d	d	0.799
v	w	0.783
ˈœ	ˈu	0.703
ˈeː	ˈɛ	0.68
ˈʏ	ˈu	0.664
ŋ	ŋ_ɡ	0.658
ɐ	r	0.657
x	x	0.651
ç	ɡ	0.648
ˈʊ	ˈu	0.614
ə	i	0.6
ɣ	-	0.597
ˈɒː	ˈɑː	0.588
ˈeo̯	ˈoː	0.557
p	f	0.54
ˈɛː	ˈɛ	0.509
ˈɔ	ˈo	0.499
ˈɛː	ˈɑ	0.491
ˈeo̯	ˈou̯	0.443
k	kʰ	0.433
ˈɛɪ̯	ˈio̯	0.425
ˈoː	ˈu	0.419
ˈɒː	ˈɑ	0.412
ɣ	ɡ	0.403
ə	o	0.4
ˈɛ	ˈɛ	0.356
ç	-	0.352
t	s̻	0.352
x	-	0.349
ˈɛɪ̯	ˈei̯	0.346
ˈeː	-	0.32
ˈoː	ˈo	0.314
ˈœ	-	0.297
p	p͡f	0.297
ˈɛ	ˈe	0.289
ˈʊ	ˈo	0.287
ˈɔ	ˈu	0.286
ˈoː	-	0.267
t	t	0.228
v	b	0.217
ˈɔ	ˈɑ	0.215
k	kː	0.203
ˈuː	-	0.2
ˈʏ	ˈiu̯	0.198
ɐ	ɑ_r	0.195
k	xː	0.185
ˈɛ	ˈi	0.181
k	k	0.179
ˈɛ	ˈɑ	0.175
ŋ	ɡ_ɑ	0.171
ŋ	ŋ	0.171
t	s̻ː_ɑ	0.158
j	j	0.143
t	ʦ	0.139
ˈʏ	-	0.138
ˈɛɪ̯	-	0.131
d	t	0.111
p	p	0.108
n	nː	0.102
ˈʊ	ˈuo̯	0.099
ˈɛɪ̯	ˈɛ_h	0.098
d	tː	0.09
ɐ	r_i	0.082
t	ʦː	0.08
b	f_ɑ	0.078
ˈɪ	ˈei̯	0.075
m	ɑ_n	0.074
r	r_ˈou̯	0.071
l	lː	0.069
ɐ	ɛ_r	0.066
ˈa	ˈɛ	0.06
ˈiː	ˈie̯	0.054
p	fː	0.054
