Latvian	Latvian	probability
ʧ	ʧ	1.0
ʦ	-	1.0
ʣ	ʒ	1.0
ʎ	-	1.0
ʃ	-	1.0
ɲ	ɛ_m	1.0
ɡ̊	ɡ̊	1.0
ɛː	-	1.0
æː	a	1.0
z̥	z	1.0
z	z	1.0
w_s	f	1.0
v_i	v	1.0
uː	i	1.0
u	-	1.0
t_s_#>	#>	1.0
s_t	s	1.0
s_#>	#>	1.0
r̩_s	ɐ_r	1.0
n_iɛ̯	nʲ	1.0
l̩	o	1.0
j	t_ɐ	1.0
iː	i	1.0
iɛ̯	ɛ	1.0
e	ɛ	1.0
d_u	d̥	1.0
d	d	1.0
b̥	b̥	1.0
au̯	u	1.0
ai̯	ɛ	1.0
a_r	r_a	1.0
a_#>	ɐ_#>	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#	<#_v	1.0
b	b	0.857
ɡ	ɡ	0.8
r	r	0.8
v	v	0.727
m	m	0.727
l	ɫ	0.722
i	-	0.682
ɛ	ɛ	0.667
t	t	0.667
p	p	0.667
#>	ˈ_#>	0.647
k	k	0.6
æ	ɛ	0.556
n	n	0.5
n	-	0.5
d̥	d̥	0.5
d̥	-	0.5
aː	ɔ	0.5
aː	j	0.5
a	a	0.474
uɔ̯	ɤ	0.455
k	-	0.4
t	-	0.333
p	-	0.333
s	s	0.318
v	vʲ	0.273
a	ɔ	0.263
i	ɤ	0.227
æ	ɔ	0.222
æ	-	0.222
ɡ	-	0.2
ɛ	a	0.2
r	r_ɛ	0.2
uɔ̯	ɐ	0.182
uɔ̯	j	0.182
uɔ̯	-	0.182
m	-	0.182
#>	ɐ_#>	0.176
#>	t_#>	0.176
l	l	0.167
a	-	0.158
b	bʲ	0.143
s	x	0.136
s	k_ɐ	0.136
s	a_ˈ	0.136
ɛ	ɐ	0.133
l	l_ɛ	0.111
a	o	0.105
s	ɔ_ˈ	0.091
s	n	0.091
s	k	0.091
m	mʲ	0.091
i	ɐ	0.091
