Old English	Swabian	probability
a	-	1.0
b	b	0.92
b	-	0.08
bː	-	1.0
d	d	0.932
dː	d	1.0
e	ʌ	0.373
e	a	0.251
e	ə	0.228
e	e	0.076
e	ɐ	0.054
eo̯	-	1.0
f	f	0.852
f	b	0.148
h	h	0.912
h	-	0.088
i	ɪ	0.589
i	-	0.329
i	i	0.083
iːy̯	eə̯	1.0
j	ɡ	0.779
j	-	0.113
j	j	0.108
k	kʰ	0.315
k	ɡ	0.284
k	ç	0.264
k	ʁ	0.067
kː	ɡ	1.0
l	l	1.0
lː	e	0.73
lː	l	0.27
l̥	l	1.0
m	m	1.0
mː	m	1.0
n	n	0.575
n	a	0.193
n	-	0.189
nː	n	0.551
nː	-	0.449
o	ʌ	0.683
o	-	0.208
o	a	0.108
p	f	0.913
p	b̥	0.087
pː	b̥͡f	0.529
pː	f	0.471
r	ʕ	0.448
r	ʁ	0.343
r	ʌ	0.117
r	-	0.092
rː	ʕ	1.0
r̥	ʁ	1.0
s	s	0.685
s	ʃ	0.315
t	s	0.479
t	ʦ	0.309
t	d	0.198
tː	ʦ	1.0
u	ˈao̯	1.0
v	b	0.741
v	f	0.16
v	p͡f	0.099
w	ʋ	0.812
w	-	0.123
x	ç	0.595
x	x	0.352
x	-	0.052
z	s	0.91
z	ʁ	0.09
ç	x	1.0
ð	d	1.0
ŋ	ŋ	0.916
ŋ	-	0.084
ɑ	a	0.823
ɑ	-	0.177
ɡ	ɡ	0.727
ɡ	-	0.273
ɣ	ɡ	0.811
ɣ	-	0.189
ɫ	l	1.0
ʃ	ʃ	1.0
ʃː	ʃ	1.0
ʍ	ʋ	1.0
ʤ	ɡ	1.0
ʤː	ɡ	1.0
ʧ	kʰ	0.475
ʧ	ç	0.203
ʧ	x	0.186
ʧ	-	0.135
ʧː	ɡ	1.0
ˈe	ˈɛ	0.397
ˈe	ˈɛː	0.35
ˈe	-	0.11
ˈe	ˈeː	0.073
ˈeo̯	ˈɛ	0.518
ˈeo̯	ˈeə̯	0.172
ˈeo̯	ˈe	0.152
ˈeo̯	ˈʌ	0.062
ˈeo̯	ˈiː	0.057
ˈeː	ˈiː	0.211
ˈeː	ˈiə̯	0.202
ˈeː	ˈuə̯	0.16
ˈeː	ˈa	0.15
ˈeː	ˈeə̯	0.15
ˈeː	ˈi	0.126
ˈeːo̯	ˈiə̯	0.227
ˈeːo̯	ˈae̯	0.161
ˈeːo̯	ˈəi̯	0.133
ˈeːo̯	ˈeː	0.132
ˈeːo̯	ˈiː	0.113
ˈeːo̯	ˈi	0.112
ˈeːo̯	ˈu	0.076
ˈi	ˈe	0.262
ˈi	ˈɪ	0.194
ˈi	ˈi	0.183
ˈi	ˈɛ	0.104
ˈi	ˈʌ	0.073
ˈiy̯	ˈɛː	0.499
ˈiy̯	ˈa	0.398
ˈiy̯	ˈi	0.103
ˈiː	ˈəi̯	0.829
ˈiː	ˈae̯	0.087
ˈiː	ˈɛ	0.085
ˈiːy̯	ˈəi̯	0.346
ˈiːy̯	ˈeə̯	0.276
ˈiːy̯	ˈeː	0.238
ˈiːy̯	ˈae̯	0.1
ˈo	ˈɔ	0.318
ˈo	ˈo	0.3
ˈo	ˈi	0.236
ˈo	ˈɔː	0.057
ˈoː	ˈuə̯	0.332
ˈoː	ˈɔə̯	0.186
ˈoː	ˈo	0.122
ˈoː	ˈoː	0.082
ˈoː	ˈaː	0.08
ˈoː	ˈu	0.079
ˈoː	ˈuː	0.079
ˈu	ˈo	0.62
ˈu	ˈoː	0.219
ˈu	ˈɔ	0.113
ˈuː	ˈao̯	0.783
ˈuː	ˈo	0.088
ˈuː	ˈuə̯	0.063
ˈy	ˈu	0.758
ˈy	ˈeː	0.242
ˈyː	ˈɔ	0.359
ˈyː	ˈəi̯	0.359
ˈyː	ˈao̯	0.153
ˈyː	ˈae̯	0.064
ˈyː	ˈɪ	0.064
ˈæ	ˈa	0.495
ˈæ	ˈaː	0.427
ˈæ	ˈɛ	0.077
ˈæɑ̯	ˈa	0.948
ˈæɑ̯	l	0.052
ˈæː	ˈɔː	0.659
ˈæː	ˈɔe̯	0.341
ˈæːɑ̯	ˈoː	0.36
ˈæːɑ̯	ˈao̯	0.302
ˈæːɑ̯	ˈɔː	0.208
ˈæːɑ̯	ˈaː	0.072
ˈæːɑ̯	ˈɔ	0.058
ˈɑ	ˈa	0.588
ˈɑ	ˈɔː	0.276
ˈɑ	ˈaː	0.136
ˈɑː	ˈɔe̯	0.604
ˈɑː	ˈae̯	0.193
ˈɑː	ˈa	0.112
ˈɑː	ˈeː	0.091
ˈɛ	ˈɛ	1.0
θ	d	0.947
