Portuguese	French	probability
#>	#>	0.981
<#	<#	1.0
<#_ˈo	<#	0.513
b	b	0.964
b	ʒ	0.051
d	d	0.88
d	-	0.113
ẽ	w	0.574
ẽ	ɑ̃	0.294
f	f	1.0
i	e	0.613
i	i	0.224
i	-	0.133
ĩ	i	0.229
ĩ	ɛ̃	0.229
j	-	0.538
j	i	0.152
j	j	0.14
j	a	0.125
j_t	i	1.0
j̃	i	0.304
j̃	ɛ̃	0.304
j̃	-	0.271
j̃_#>	#>	1.0
k	k	0.507
k	ʃ	0.392
k	-	0.072
k_ɐ	ʃ	0.263
l	l	0.833
l	-	0.163
m	m	0.917
m	-	0.068
m_ˈɐ̃	m	0.446
m_ˈɐ̃	ɛ	0.117
n	n	0.763
n	-	0.232
o	u	1.0
õ	ɔ̃	0.513
p	p	0.943
p	-	0.053
s	s	0.729
s	-	0.211
t	t	0.56
t	-	0.434
t_u	ɛ̃	0.513
u	ɔ	0.26
u	-	0.226
u	u	0.188
u	e	0.074
u	i	0.074
u	ø	0.063
u	œ	0.063
u	a	0.053
u_#>	#>	1.0
u_ɾ	ʁ	0.263
v	v	0.724
v	f	0.096
v	b	0.084
v	-	0.06
v_ˈɐ	v	0.594
v_ˈɐ	a	0.392
w	-	0.421
w	l	0.149
w	ø	0.149
w	o	0.098
w	ɔ	0.08
w	ə	0.08
w̃	ɛ̃	0.488
w̃	ɔ̃	0.334
w̃	n	0.124
w̃	-	0.056
z	z	0.483
z	-	0.337
z	d	0.165
ð	-	0.59
ð	d	0.206
ð	v	0.101
ð	t	0.082
ɐ	a	0.466
ɐ	-	0.244
ɐ	n	0.136
ɐ	ɛ	0.064
ɐ_#>	#>	1.0
ɐ_t	t	0.069
ɐ̃	-	0.488
ɐ̃	a	0.121
ɐ̃	n	0.121
ɐ̃	ɑ̃	0.082
ɔ	ɔ	0.461
ɔ	u	0.265
ɔ	w	0.265
ɡ	ɡ	0.795
ɡ	-	0.113
ɡ	ʃ	0.078
ɣ	ɡ	0.455
ɣ	-	0.43
ɣ	d	0.114
ɣ_u	ø	0.263
ɣ_ɾ	ʁ	1.0
ɨ	-	0.358
ɨ	ə	0.245
ɨ	ɛ	0.145
ɨ	w_a	0.127
ɨ	w	0.062
ɨ	ɔ̃	0.061
ɨ_#>	#>	1.0
ɫ	l	1.0
ɲ	ɛ̃	0.433
ɲ	ɲ	0.29
ɲ	n	0.267
ɾ	ʁ	0.953
ɾ_#>	#>	1.0
ɾ_t	ʁ	1.0
ɾ_u	e	1.0
ɾ_ɨ	ʁ	0.263
ʁ	ʁ	1.0
ʃ	-	0.324
ʃ	s	0.308
ʃ	p_l	0.189
ʃ	ʒ	0.065
ʃ	f_l	0.062
ʃ	k	0.061
ʃ_#>	#>	1.0
ʃ_k	k	0.411
ʃ_k	ʃ	0.184
ʃ_p	p	1.0
ʃ_t	t	1.0
ʎ	j	0.665
ʎ	s	0.107
ʎ	n	0.103
ʎ	-	0.059
ʎ	l	0.059
ʎ_ɐ	j	1.0
ʒ	ʒ	0.764
ʒ	-	0.1
ʒ	s	0.073
ʒ	z	0.06
ʒ_u	ʒ	0.513
ˈa	a	0.346
ˈa	ɛ	0.284
ˈa	e	0.24
ˈa	-	0.067
ˈa	l_e	0.059
ˈa_ð	e	1.0
ˈa_ɫ	o	0.758
ˈa_ɫ	a	0.139
ˈe	w_a	0.266
ˈe	i	0.257
ˈe	ɛ	0.236
ˈe	a	0.079
ˈe	ɛ_t	0.062
ˈe_ð	a	0.338
ˈe_ð	w	0.338
ˈẽ	ɑ̃	1.0
ˈi	i	0.595
ˈi	-	0.082
ˈi	e	0.08
ˈi	y	0.08
ˈi	w	0.07
ˈi_ɣ	i	0.758
ˈi_ɣ	w	0.19
ˈĩ	ɛ̃	0.561
ˈĩ	ɑ̃	0.425
ˈo	ɔ	0.24
ˈo	œ	0.189
ˈo	u	0.146
ˈo	ɥ	0.14
ˈo	o	0.105
ˈo_ð	u	1.0
ˈo_ɣ	ø	1.0
ˈõ	ɔ̃	0.857
ˈõ	w	0.127
ˈu	y	0.44
ˈu	u	0.174
ˈu	ɥ	0.174
ˈu	w	0.16
ˈu	ɛ	0.054
ˈu_v	ɥ	1.0
ˈũ	ɛ̃	1.0
ˈɐ	-	0.342
ˈɐ	ɛ	0.253
ˈɐ	w	0.177
ˈɐ	a	0.074
ˈɐ	i	0.064
ˈɐ	e	0.057
ˈɐ̃	-	0.365
ˈɐ̃	ɑ̃	0.272
ˈɐ̃	j	0.146
ˈɐ̃	ɛ	0.113
ˈɐ̃	ɛ̃	0.073
ˈɔ	œ	0.321
ˈɔ	ɔ	0.189
ˈɔ	o	0.14
ˈɔ	u	0.122
ˈɔ	w	0.093
ˈɔ	ø	0.06
ˈɛ	ɛ	0.693
ˈɛ	o	0.176
ˈɛ	i	0.064
ˈɛ	j	0.064
ˈɨ	w_a	0.66
ˈɨ	ə	0.173
β	v	0.542
β	-	0.235
β	b	0.085
β	ʃ	0.07
β	ʒ	0.07
